locative-role;['ស៊ែរប៊ី'];ប្រទេស​មួយ​នៅ​អឺរុប​ខាង​ត្បូ​ងឈាង​ខាង​កើត​ដែលមានរដ្ឋធានីប៊ែល​ហ្ក្រាដ ។
political-geographic-object;['កូរ៉េខាងជើង', 'កូរ៉េ\u200bខាងជើង', 'ប្រទេស\u200bកូរ៉េ\u200bខាងជើង'];ប្រទេស​មួយ​នៅ​​អាស៊ី​​​​ខាង​កើតដែលមានរដ្ឋធានីភ្យុងយ៉ាង ។
political-geographic-object;['ឆាដ', 'សាធារណរដ្ឋ\u200bឆាដ'];ប្រទេសមួយ​នៅ​កណ្ដាលទ្វីប​អាហ្វ្រិក ។
political-geographic-object;['បេឡារុស្ស', 'សាធារណរដ្ឋ\u200b\u200bបេឡារុស្ស', 'បេឡារុស'];ប្រទេស​មួយ​នៅ​អឺរុប​​ខាង​កើតដែលមានរដ្ឋធានីមីនស្ក៍ ។
political-geographic-object;['ស្វាហ្ស៊ីឡង់', 'ស្វាស៊ីឡង់', 'សូហ្ស៉ីឡង់'];ប្រទេស​មួយ​នៅ​អាហ្វ្រិក​ខាង​ត្បូង​ដែលមានរដ្ឋធានីអេមបាបាន ។
political-geographic-object;['បង់ក្លាដេស', 'បង់ក្លាដែស្ស', 'សាធារណ\u200bរដ្ឋ\u200bប្រជាមានិត\u200bបង់ក្លាដេស', 'បង់ក្លាដែស', 'បង់ក្លាដេស្ហ'];ប្រទេស​មួយ​នៅ​​អាស៊ី​​ខាងត្បូង ។
political-geographic-object;['ព្រះរាជាណាចក្រកម្ពុជា', 'កម្ពុជា', 'ព្រះរាជាណាចក្រ\u200bកម្ពុជា', 'cambodge', 'cambodia', 'kingdom of cambodia', 'កម្ពុជា\u200b', 'ប្រទេស កម្ពុជា', 'ប្រទេសកម្ពុជា', 'ប្រទេសខ្មែរ', 'ប្រទេស\u200bកម្ពុជា', 'ព្រះ រាជាណាចក្រ កម្ពុជា', 'ព្រះរាជអាណាចក្រ\u200bកម្ពុជា', 'ព្រះរាជាណាចក្រ កម្ពុជា', 'ស្រុកខ្មែរ', 'ស្រុុកខ្មែរ', '\u200bប្រទេស\u200bកម្ពុជា'];ប្រទេសមូយ​នៅ​អាស៊ី​ងគ្នេយ៏ ។
political-geographic-object;['ម៉ាកាវ'];តំបន់រដ្ឋបាលពិេសសមួយក្នុងចំនោមតំបន់រដ្ឋបាលពិសេសនានានៃសាធារណៈរដ្ឋប្រជានិមិតចិន (PRC)។
political-geographic-object;['ប៊ូតាន', 'ព្រះរាជាណាចក្រ\u200bប៊ូតាន', 'ប៊ូតង់'];​ប្រទេស​មួយ​នៅ​​អាស៊ី​​ខាងត្បូងដែលមានរដ្ឋធានីធីមហ្វូ ។
political-geographic-object;['ប៊ូរុនឌី', 'សាធារណរដ្ឋ\u200bប៊ូរុនឌី', 'burundí'];ប្រទេសមួយ​នៅ​ខាងកើតទ្វីប​អាហ្វ្រិក ។
political-geographic-object;['ប្រទេសអាល់ហ្សេរី', 'អាល់ហ្សេរី', 'សាធារណ\u200bរដ្ឋ\u200bប្រជាមានិត\u200bប្រជាធិបតេយ្យ\u200b\u200bអាល់ហ្សេរី'];ប្រទេស​មួយ​នៅ​អាហ្វ្រិក​ខាង​ជើងដែលមានរដ្ឋធានីអាល់ហ្សេរ ។
political-geographic-object;['បុតស្វាណា', 'សាធារណ\u200bរដ្ឋ\u200bបុតស្វាណា'];ប្រទេស​មួយ​នៅ​អាហ្វ្រិក​ខាង​ត្បូងដែលមានរដ្ឋធានីហ្គាបូរុន ។
political-geographic-object;['អាមេនី', 'សាធារណរដ្ឋ\u200bអាមេនី', 'អារមីនៀ', 'អារមេនី'];ប្រទេស​មួយ​នៅ​​អាស៊ី​​ខាង​លិច ។
political-geographic-object;['នីហ្សេរ', 'níger'];ប្រទេស​មួយ​នៅ​អាហ្វ្រិក​ខាង​លិចដែលមានរដ្ឋធានីនីអាមី ។
political-geographic-object;['កាមេរូន', 'កាមេរ៉ូន', 'សាធារណរដ្ឋ\u200bកាមេរ៉ូន'];ប្រទេសមួយ​នៅ​កណ្ដាលទ្វីប​អាហ្វ្រិក ។
political-geographic-object;['សេណេហ្គាល់', 'សេនេហ្កាល់'];ប្រទេស​មួយ​នៅ​​អាស៊ី​​ខាង​លិច​ដែលមានរដ្ឋធានីដាកា ។
political-geographic-object;['អង់ដូរ៉ា', 'ព្រះ\u200bរាជាណាចក្រ\u200bអង់ដូរ៉ា', 'អានដូរ៉ា', 'ប្រទេសអង់ដូរ៉ា'];ប្រទេស​មួយ​នៅ​អឺរុប​ខាង​ត្បូ​ងឈាង​ខាងលិចដែលមានរដ្ឋធានីអង់ដូរ៉ា​ឡឺ​វេលឡា ។
political-geographic-object;['ហ្គាបូរុន', 'gaborone'];រដ្ឋធានីរបស់ប្រទេស​​បុតស្វាណា ។
political-geographic-object;['រ៉ូម', 'ទីក្រុងរ៉ូម'];រដ្ឋធានីរបស់ប្រទេសអ៊ីតាលី​ ។
political-geographic-object;['បេណាំង', 'សាធារណរដ្ឋ\u200bបេណាំង'];ប្រទេស​មួយ​នៅ​អាហ្វ្រិក​ខាង​លិចដែលមានរដ្ឋធានីព័រតូណូវ៉ូ ។
political-geographic-object;['ប៊ូរគីណាហ្វាសូ', 'បួគីណាហ្វាសូ'];ប្រទេស​មួយ​នៅ​អាហ្វ្រិក​ខាង​លិច​ដែលមានរដ្ឋធានី​អ៊ូហ្កា​ឌូហ្គូ ។
political-geographic-object;['សៅតូម និង ព្រីនស៊ីព', 'សៅតូម៉េនិងព្រីនស៊ីប៉េ'];ប្រទេស​មួយ​នៅ​អាហ្វ្រិក​ខាង​លិច ។
political-geographic-object;['ទ្រីប៉ូលី', 'tripoli'];រដ្ឋធានី​​របស់​ប្រទេស​លីប៊ី ។
political-geographic-object;['ម៉ុងរ៉ូវៀ', 'monrovia'];រដ្ឋធានី​​របស់​ប្រទេស​លីបេរីយ៉ា ។
political-geographic-object;['លូអាន់ដា', 'luanda'];រដ្ឋធានី​របស់ប្រទេស​អង់ហ្គោឡា ។
political-geographic-object;['ប៊ូចាមប៊ុរ៉ា', 'bujumbura'];រដ្ឋធានី​របស់ប្រទេស​ប៊ូរុនឌី ។
political-geographic-object;['ហ្ស៊ីប៊ូទី'];រដ្ឋធានី​របស់​ប្រទេស​ហ្ស៊ីប៊ូទី ។
political-geographic-object;['ភ្នំពេញ', 'phnum pénh', 'ភ្នំកំពង់ត្រាច', 'phnom penh', 'ក្រុង ភ្នំពេញ', 'ក្រុង\u200bភ្នំពេញ', 'តាខ្មៅ', 'ទីក្រុងភ្នំពេញ', 'ភំ្នពេញ', 'ភ្នំ ពេញ', 'រាជធានី ភ្នំពេញ', 'រាជធានីភ្នំពេញ', 'រាជធានី\u200bភ្នំពេញ', '\u200bក្រុង\u200bភ្នំពេញ', '\u200bរាជធានីភ្នំពេញ'];រដ្ឋធានីរបស់ប្រទេសកម្ពុជា ។
political-geographic-object;['បង់គ្វី', 'bangui'];រដ្ឋធានី​​របស់​សាធារណ​រដ្ឋ​អាហ្រិក​កណ្ដាល ។
political-geographic-object;['អង់តាណាណារីវ៉ូ', 'antanànarìvo'];រដ្ឋធានី​​របស់​ប្រទេស​ម៉ាដាម៉ាដាហ្គាស្ការ ។
political-geographic-object;['ព័រតូណូវ៉ូ', 'porto-novo'];រដ្ឋធានីរបស់​ប្រទេស​បេណាំង ។
political-geographic-object;['កាអ៊ីរ៉ូ'];រដ្ឋធានី​របស់​ប្រទេស​អេហ្ស៊ីប ។
political-geographic-object;['លីឡុងវ៉េ', 'lilongwe'];រដ្ឋធានី​​របស់​ប្រទេស​ម៉ាឡាវី​ ។
political-geographic-object;['បាម៉ាកូ', 'bamako'];រដ្ឋធានី​​របស់​ប្រទេស​ម៉ាលី ។
political-geographic-object;['រ៉ាបាត', 'rabat'];រដ្ឋធានី​​របស់​ប្រទេស​ម៉ារ៉ុក ។
political-geographic-object;['គីនហ្សាសា'];រដ្ឋធានី​​របស់​សាធារណ​រដ្ឋ​ប្រជាធិបតេយ្យ​កុងហ្គោ ។
political-geographic-object;['ទ្រីប៉ូលី', 'tripoli'];រដ្ឋធានី​​របស់​ប្រទេស​លីប៊ី ។
socially-constructed-person;['សេរ៉ាឡេអូន', 'sierra leone'];ប្រទេស​មួយ​នៅ​អាហ្វ្រិក​ខាង​លិច​ដែលមានរដ្ឋធានីហ្វ្រីថោន ។
