abstract-region;['бином'];Бином, эки мүчө — алгебралык эки туюнтманын суммасы же айырмасы.
activity;['акупунктура', 'ийне менен дарылоо'];Ийне менен дарылоо — организмдин жумшак ткандарына атайын ийнелерди сайып дарылоошондой Бул ыкма Кытай, Корея, Япониянын байыркы элдик медицинасынан келген.
activity;['өндүрүш'];Өндүрүш, материалдык өндүрүш — коомдун жашап жана өнүгүү турушу үчүн эң зарыл материал байлыктарды жаратуу процесси.
activity;['томография'];Томография — изилденүүчү органдын белгилүү катмарын сүрөткө тартууга мүмкүндүк берген рентгендик изилдөө ыкмасы.Рентгеноскопия, рентгенографияда объекттин экранга жакын жери даана, алысыраак жери начар көрүнөт.
activity;['циклон'];Циклон
activity;['антициклон', 'антициклондук агым'];Антициклон - атмосферанын жогорку басымдуу аймагы. борборунда басым жогору болуп, чет жакасын карай азая баштайт.
activity;['вальс'];Вальс музыкалык жанр. жай жүрүштө тегеренип, эки адам бийлөөчү бий.
activity;['марафон салгылашы'];Марафон салгылашы грек-перс согуштарынын жүрүшүндөгү биринчи ири салгылаш.
activity;['баптизм'];Баптизм -
activity;['бриз'];Бриз – деңиз, чоң көл жана айрым ири дарыя жээктеринде мезгил-мезгили менен жүрүп туруучу жергиликтүү сыдырым жел.
activity;['баштапкы коомдук сунуш'];Баштапкы коомдук сунуш
activity;['конфликт'];Конфликт (лат.
activity;['иран-ирак согушу'];Иран-ирак согушу – Персия булуңунун чөлкөмүндө, ошондой эле ислам дүйнөсүндө жетектөөчүлүк үчүн Ирак менен Ирандын ортосундагы күрөштөн улам келип чыккан согуш.
activity;['карнавал'];Карнавал – 1
activity;['документ кино'];Документ кино – кино өнөрүнүн бир түрү. турмуштук чыныгы фактылар менен окуяларды камтыган кыска, толук метраждуу фильмдерден жана киножурналдардан турат.
activity;['футбол'];Футбо́л — оюндун куралы болгон топко кол тийгизбей, аны каршылаштардын дарбазасына киргизүүдөгү гол эсебинде, атааңдаштардан алдыда турууда жеңишке жетүүчүү командалык спорт түрү.
activity;['кино'];- маданияттын фильмдер чыгаруу жана көрсөтүү боюнча иш алып барган тармагы, искусствонун түрү.
activity;['анафeма'];Анафeма - кудайдын атынан каргоо, эң жогорку жаза катарында чиркөөдөн чыгаруу.
activity;['шахмат'];Шахмат - эки оюнчу арасында ойнолгон логикалык оюн жана спорт түрү.
activity;['баскетбол'];Баскетбол(англ.
activity;['бадминтон', 'bádminton'];Бадминтон — спорттук оюн.
activity;['бейсбол'];Бейсбол АКШда эң белгилүү эки оюндун бири болуп саналат.
activity;['теннис'];Теннис — спорт оюну.
activity;['виртуалдуу аныктык', 'виртуалдык'];Виртуалдык
activity;['виртуалдуу аныктык', 'виртуалдык'];Виртуалдуу аныктык.
activity;['таеквондо'];Таеквондо - Түштүк Кореянын улуттук спорту болуп эсептелет.
activity;['референдум'];Референдум (лат.
activity;['көлөмдүк анализ'];Көлөмдүк анализ – аныкталуучу зат менен эритмеде же газ фазасында реакцияга кирген реагент санын өлчөөгө негизделген сандык анализ түрү.
activity;['пальпация'];Пальпация — ооруга диагноз коюу максатында дененин айрым бөлүгүн кармалап, сыйпалап көрүү ыкмасы.
activity;['ямб'];Ямб – эзелки адабияттан бери эле келе жаткан кыска жана созулма муундардын айкалышы аркылуу түзүлгөн ыр түрмөгүнүн бир түрү.
activity;['төл сөз'];Төл сөз — жазылган тексттин же сүйлөнгөн сөздүн автору текстке же сөзгө цитата кийиргенде, ал цитата кимге, кайсы документке тиешелүү экенин, качан жазылганын ж.
activity;['литургия'];Литургия
activity;['тетрология', 'тетралогия'];Тетрология – автордук бир ниетке жана бири биринен оошкон сюжетке ээ, бирок, ар кимиси өз алдынча бүткөн төрт чыгарма.
activity;['наполеон согуштары'];Наполеон согуштары - Наполеон Iнин консулдугунун жана империясынын мезгилиндеги Франция согуштары.
activity;['тереңдетилген психология', 'психоанализ'];Тереңдетилген психология – азыркы ар кыл чет элдик психология багыттарынын аталышы. ал өз изилдөөсүнүн предмети кылып адамдын түпкү күчүн, кызыгуусун жана тенденциясын алып, аң-сезимдин үстүнөн кайпып өткөн процесстерге каршы коет.
activity;['гимнастика'];Гимнастика (байыркы грек.
activity;['жомок', 'жомоктор'];Жомок – оозеки чыгармачылыкта кеңири тараган, көбүнчө ойдон чыгарылган, окуяларды апыртмалуу, фантазиялуу чагылдырган, сюжети кызыктуу, баяндоо түрүндөгү чыгарма.
activity;['магнит бороону'];Магнит бороону – Жердин магнит талаасынын күчтүү дүүлүгүшү.
activity;['трахеотомия'];Трахеотомия — коко менен кекиртектен аба өтпөй калганда кекиртекти тешүү операциясы.
activity;['кератопластика'];Кератопластика - көздүн тунук челин көчүрүп тигүү операциясы.
activity;['ампутация'];Ампутация(лат.
activity;['балет'];Балет -
activity;['вазелин'];Вазелин (лат.
activity;['жарандык согуш'];Жарандык согуш – социалдык конфликтти чечүүнүн акыркы чегине жеткен курч калыбы, бир мамлекеттин чегиндеги улуттук жааттардын, социалдык топтордун, таптардын ортосундагы бийлик үчүн уюштурулган күрөш.
activity;['корей согушу'];Корей согушу — 1950—53-жылдары Түштүк жана Түндүк Кореянын ортосундагы согуш.
activity;['экинчи дүйнөлүк согуш', '2-дүйнөлүк согуш'];Экинчи дүйнөлүк согуш - эки дүйнөлүк аскерий-саясий коалициялардын согушу, адамзат тарыхындагы эң ири согуш болгон.
activity;['биринчи дүйнөлүк согуш', '1-дүйнөлүк согуш'];Биринчи дүйнөлүк согуш — адамзаттын тарыхындагы эң чоң жана татаал куралданган конфликтердин бири.
activity;['испания-америка согушу'];Испания-Америка согушу – Испаниянын Вест-Индия жана Филиппиндеги колониялык ээликтерин басып алуу максатында жүргүзгөн АКШнын согуштук агрессиясы.
activity;['кырым согушу', 'крым согушу'];Кырым согушу, Чыгыш согушу – Жакынкы Чыгыш үчүн Орусиянын Улуу Британия, Франция, Түркия, Сардиния коалициясы менен болгон согушу.
activity;['шовинизм'];Шовинизм -
activity;['зомбулук'];Зомбулук – бир адамдын КР Конституциясында кепилденген жарандын жеке колтийбестик укугун бузууга экинчи адамдын психикалык жана денебоюна таасир этүүсү.
activity;['спорт', 'атлетика'];Спорт - ар кандай дене тарбиялык көнүгүүлөр боюнча окуу-машыгууну жана мелдештерди уюштуруу жана өткөрүү системасы.
activity;['спорт', 'атлетика'];Атлетика - (гр.aJlhticоV - жарыш, мелдеш) 1) цирк искусствосунун бир түрү.
activity;['эс алуу'];Эс алуу — адамдын чарчаганын жоготуп, ишке жөндөмдүүлүгүн калыбына келтирүүчү иш-аракеттер же тынч абал.
activity;['рэкет'];Рэкет
activity;['апсет'];Апсет
activity;['алгач тергөө', 'алгачтергөө'];Алгач тергөө – кылмышты алдын-ала иликтөөнүн түрү.
activity;['социалдык кызмат'];Социалдык кызмат (ор.
activity;['кресттүүлөр жортуулдары'];Кресттүүлөр жортуулдары – 1096–1270-ж.
activity;['нейрохирургия'];Нейрохирургия — медицинанын нерв системасынын жабыркашын, ооруларын изилдөөчү жана аларды дарылоонун хирургиялык методдорун иштеп чыгуучу бөлүгү.
activity;['аскердик музыка'];Аскердик музыка - атайын аскер темасында жазылган музыкалык чыгарма.
activity;['пункция'];Пункция (лат.
activity;['электромиография'];Электромиография - электро+гр.
activity;['расизм'];РАСИЗМ. Адам расаларынын дене жана психикалык жактан бирдей эместиги жана ал айырма коомдук маданиятка, тарыхка таасир көрсөтөрүн, илгертеден адамдарды жогорку жана төмөнкү расага бөлүп келишкендиги, анын ичинде алдыңкылары цивилизация жаратуучулар болсо, ошондой эле табият аларды башкалардын үстүнөн башкара тургандай өзгөчөлүккө ээ кылып жаратса, экинчилери маданият түптөмөк тургай, аларды өздөштүрүүгө да кудурети жетпеген, эксплуатацияланууга гана жаралган жандар экендиги жөнүндөгү илимге каршы келүүчү реакциячыл мазмундагы концепциялардын жыйындысы.
activity;['жогорку билим'];Жогорку билим – системалаштырылган билимдердин жана практикалык көндүмдөрдүн биримдиги.
activity;['биринчи жардам'];Биринчи жардам — кырсыкка учураганда, капысынан кармаган ооруларда кырсык болгон жерге медициналык кызматкер келгенче же дарылоо мекемесине жеткиргенче кишинин өмүрүн сактоо максатында токтоосуз көрүлүүчү чаралар.
activity;['рентгеноскопия'];Рентгеноскопия - сөз жасоо органдарынын сүрөтүн рентген аппаратынын жардамы менен түшүрүп алуу.Рентгеноскопия — рентген-диагностика ыкмасынын бири.
activity;['эндоскопия'];Эндоскопия — атайын аспаптын жардамы менен ички органдарды изилдөө ыкмасы.
activity;['оор атлетика'];Оор атлетика - спорттун оордуктарда штанга, гиря, эспандер, гантель ж.б.) көтөрүү боюнча машыгууга негизделген түрү.
activity;['бокс'];Бокс — (от англ.
activity;['абсентеизм'];Абсентеизм - бийликтин өкүлчүлүк уюмдарын, мамлекет башчыларын шайлоодо шайлоочулардын добуш берүүдөн баш тартышы.
activity;['диагноз'];Диагноз — оорулуунун абалы жана оору жөнүндө кыскача медициналык корутунду.
activity;['клизма'];Клизма - медициналык процедура. арткы тешик аркылуу ичегиге суюктукту жиберүү.
activity;['карантин'];Карантин
activity;['массаж'];Массаж — органдарга жана ткандарга атайын аппарат же кол менен механикалык, рефлекстик таасир кылуучу дарылоо ыкмасы.
activity;['аускультация', 'aускультация'];Аускультация—ички органдардагы үн кубулуштарын тыңшоого негизделген врачтык изилдөө ыкмасы.
activity;['офорт'];Офорт – ийне же штрих офорту. металлдагы тереңдетилген оюп чекменин кеңири колдонулган техникалык бир түрү.
activity;['ратификация'];РАТИФИКАЦИЯ – мамлекеттин дайындалган өкүлдөрү тарабынан түзүлгөн эл аралык келишимди мамлекеттик жогорку бийликтин бекитиши.
activity;['антропометрия'];Апропометрия —(от греч.
activity;['лотерея'];Лотерея
activity;['таксономия'];Таксономия
activity;['мөндүр'];Мөндүр – кичине томолок, ныкталган муз түрүндө жааган атмосфералык жаан-чачын.
activity;['педикюр'];Педикюр — буттун терисин жана тырмактарын атайылап багуу.
activity;['маникюр'];Маникюр — колдун тырмактарын гигиеналык, косметикалык максатта тазалап багуу.
activity;['массалык анализ'];Массалык анализ – аныкталуучу заттар массасын өлчөөгө негизделген сандык анализ химимялык методу.
activity;['электр-кардиограмма'];Электр-кардиограмма — иштеп жаткан жүрөктө пайда болгон электр чыңалууну каттоодон кагазга же фотоплёнкага түшкөн ийри сызык.
activity;['ангиография'];Ангиография — түрдүү органдардын лимфа жана кан тамырларын рентгендик изилдөө методу.
activity;['сугат'];Сугат, ирригация - ным жетишсиз талааларга суу жеткирүү жана топурактын нымын көбөйтүү. мелиорациянын бир түрү.
activity;['пластикалык операция'];Пластикалык операциялар — дененин айрым бөлүктөрүнүн же мүчөсүнүн тубаса же оорунун, кырсыктын натыйжасында бузулган формасын жана кызматын калыбына келтирүү үчүн жасалган хирургиялык операция.
activity;['эмдөө'];Эмдөө — организмди иммундук касиети бар кан сары суусу, гамма-глобулин, вакцина, анатоксин менен эмдеп, анын жугуштуу ооруга туруктуулугун арттыруу.
activity;['аккредитациялоо'];Аккредитациялоо (лат.
activity;['эксперимент', 'тажрыйба'];Эксперимент (лат.
activity;['остракизм'];Остракизм
activity;['ишендирүү'];Ишендирүү – окууга жана башка коомдук пайдалуу иштерге үйрөтүү жана терс жүрүм-турумдан сактоо максатында жүргүзүлүүчү тарбия ыкмасы.
activity;['баскынчылык', 'агрессия'];Агрессия (баскынчылык) (лат.
activity;['менеджмент'];Менеджмент – базар мамилелеринин шартында ишкананы башкаруу формасынын, принциптеринин жана ыкмаларынын жыйындысы.
activity;['социалдык адаптация'];Социалдык адаптация – индивиддин жаңы социалдык коомдун шарттарына көнүгүү процесси.
activity;['узундукка секирүү', 'секирүү'];Секирүү, ыргытуу, түртүү көнүгүүлөрү чуркоого, басууга караганда дем алуу жана кан айланууга азыраак таасир этет.
activity;['адъюдикация'];Адъюдикация
activity;['иньекция'];Иньекция — дарылардын аз өлчөмүн эритме же эмульсия түрүндө ийне менен шприц аркылуу териге, тери астына, булчуңга же венага куюу ыкмасы.
activity;['кератопластика'];Кератопластика - көздүн тунук челин көчүрүп тигүү операциясы.
activity;['фотография'];Фотография
activity;['лексикография'];Лексикография - тил илиминин сөздүк түзүү практикасы жана теориясы жөнүндөгү бөлүгү.
activity;['байланыш-катыш'];Байланыш-катыш.
activity;['лидерчилик'];Лидерчилик (англ.
activity;['компания'];Компания – коммерциялык же өндүрүштүк ишмердик үчүн түзүлгөн жактардын ассоциациясы.
activity;['аккультурация'];Аккультурация
activity;['театр', 'teaтp'];Тeaтp – искусствонун бир түрү, анын туюнтуу каражаты – актёрдун эл алдында оюн көрсөтүү процессинде келип чыгуучу сахна окуясы.
activity;['туризм'];Туризм - бош убакытта саякаттоо, келечекке чон кадам койуу.жаратылыш менен омур суруу активдүү эс алуунун бир түрү, 24сааттан ашык башка жакка чыгып эс алуу.
activity;['месса'];Месса – католиктердин чиркөөдө кудайга сыйынуу адатынын музыка менен ишке ашырылуучу эң негизги салты, православныйлардын литургиясына окшош.
activity;['нумизматика'];Нумизматика (от лат.
activity;['октябрь революциясы'];Октябрь революциясы - 1917-ж.
activity;['көркөм өнөр', 'иcкуccтво'];Көркөм өнөр, (орус.
activity;['аары чарбасы'];Аары чарбасы - чарба тармагы.
activity;['апофеоз'];Апофеоз 1
activity;['жаан-чачын'];Жаан-чачын - жаан – жамгыр, кар жана башка түрүндө жер бетине түшүүчү атмосфералык суу.
activity;['акробатика'];Акробатика – 1
activity;['анимация'];Анимация - графиктик сүрөттөлүштөрдү кыймылдатуу, жылдыруу.
activity;['картография'];Картография – картография эмгектердин теориясы, методикасы, аларды түзүү жана пайдалануу ыкмалары жөнүндөгү илим.
activity;['аба ырайы'];Аба ырайы — белгилүү бир убакта же учурда бир аймактагы атмосферанын абалы, атмосферанын космос жана жер бети менен өз ара аракетинен пайда болгон физикалык процесс.
activity;['төңкөрүш', 'революция'];Төңкөрүш – жаратылыш, коом же таанымдын кайсы бир кубулуштарынын өсүшүндөгү терең, түп-тамырынан, радикалдуу жаңылануу, сапат жагынан өзгөрүү. жаратылыштын өнүгүүсүндөгү секирик.
activity;['актёрдук искусство'];Актёрдук искусство - сахналык образ түзүү өнөрү.
activity;['чай'];Чай 1айрым учурда камелиялар уруусуна киргизишет
activity;['журналистика', 'журналист'];Журналистика
activity;['аукцион'];Аукцион
activity;['ассонанс'];Ассонанс
activity;['важиб', 'милдет'];Важиб парз сыяктуу такай аткарылышы талап кылынбаган, бирок күчтүү далилдер менен аныкталган иш-аракет жана милдеттер.
activity;['чана спорту', 'чана тебүү', 'чана тепмей'];Чана тебүү — кышкы оюн-зоок.
activity;['жаа атуу'];== Шарты ==
activity;['ленд-лиз'];Ленд-лиз
activity;['нур менен дарылоо'];Нур менен дарылоо — дарылоо максатында иондоштуруучу нурлардын ар кайсы түрүн колдонуу.
activity;['психотерапия'];Психотерапия
activity;['химия терапиясы'];Химия терапиясы — оору козгоочу микробдор менен мителердин тиричилик аракетин жана шишиктердин өсүүсүн басаңдатуучу дары-дармектер менен жугуштуу жана мите ооруларын, шишиктерди дарылоо.
activity;['масс-спектрометрия'];Масс-спектрометрия – масс-спектроскопия, М.-с.
activity;['согуш'];Согуш – мамлекеттердин же таптардын ортосунда белгилүү бир саясий же экономикалык максатка жетүү үчүн болгон куралдуу күрөш. таптар менен мамлекеттердин саясатынын зомбулук «куралдары» менен улантылышы.
activity;['дискриминация'];Дискриминация –
activity;['акшдагы граждандык согушу'];АКШдагы граждандык согушу, - Америка революциясы - АКШнын түндүк жана түштүк штаттарынын ортосунда болгон согуш.
activity;['ультра үн', 'ультразвук'];Ультра үн — газ, суюктук жана катуу нерселердеги жыштыгы 20 кгцтен ашкан механикалык термелүүлөр.
activity;['орус-япон согушу'];Орус-япон согушу – Ыраакы Чыгыш үчүн Россия менен Япониянын ортосунда чыккан согуш Анда империалисттик державалардын Корея менен Кытайды бөлүп алуу максатын көздөгөн.
activity;['жамгыр', 'жаан'];Жамгыр – суу тамчысы түрүндө жер бетине түшүүчү жаан.
activity;['аскерден качуу'];Аскерден качуу – аскердик милдетин өтөөдөн баштартуу максатында аскер бөлүгүн же кызмат ордун өз бетинче таштап кетүү коштогон аскердик кылмыш.
agentive-figure;['баатырдык'];Баатырдык – жалпы элдин, алдыңкы таптардын кызыкчылыгына шайкеш келген, адамдан жекече эрдикти, чыдамкайлыкты, өзүн-өзү кыюуга даяр болгондукту талап кылган коомдук мааниси бар аракет жасоо жагы.
agentive-figure;['амазонкалар'];Амазонкалар — грек мифологиясындагы Арес кудайы менен Гармониядан таркаган согушчан аялдардын уруусу.
agentive-figure;['колхоз'];Колхоз - бул орус тилиндеги "жамааттык чарба" деген сөздүн кыскартылган түрү.
agentive-figure;['акционердик коом'];Акционердик коом – өз ишмердигин пайда табуу максатында ишке ашырган, акцияларды чыгаруу жана жайгаштыруу менен каражат тартуучу юридикалык жак.
agentive-figure;['картель', 'трест'];Картель – экономикалык жана юридикалык жактан бири-бирине көз каранды эмес ишканалардын көбүрөөк пайда көрүү үчүн экономикалык биригүү формасы.
agentive-figure;['ажыдаар', 'улуу'];Ажыдаар
agentive-figure;['акш аскеринин атайын багыттагы күчтөрү', 'акш армиясынын атайын багыттагы күчтөрү'];АКШ армиясынын атайын багыттагы күчтөрү (англ.
agentive-figure;['родион романович раскольников'];Орус жазуучу Достоевскийдин Кылмыш жана Жаза романынын башкы каарманы.
agentive-figure;['шерлок холмс', 'sherlock holmes'];Шерлок Холмс (англ.
agentive-figure;['махаяна'];Махаяна – буддизмдин жаңы багыты.
agentive-figure;['ахилл'];Ахилл, Ахиллес — грек мифологиясындагы Троя согушунун башкы каарманы, Троя шаарын багындырууга барган грек баатыры.
agentive-figure;['мамлекет', 'өлкө', 'журт', 'улут'];Мамлекет – 1) укук теориясында коомду уюштуруунун белгилүү ыкмасы, баардык коомго таралуучу, анын ырасмий өкүлү катары чыгуучу жана аргасыз кылуу каражаттары менен чараларына таянган саясий тутумдун, жалпы саясий бийликти уюштуруунун негизги катышы.
agentive-figure;['бала бакча', 'балдар бакчасы'];Бала бакча - мектепке чейинки курактагы балдарды тарбиялоочу коомчулук жана жекече адамдар тарабынан уюштурулган мекеме.
agentive-figure;['жатаканалуу мектеп', 'мектеп-интернат'];Жатаканалуу мектеп -, мектеп интернат
agentive-figure;['орто билим'];Орто билим – коомдук пайдалуу эмгекке же атайын жогорку билим алууга керектүү болгон билимдердин, ыктардын жана машыгуулардын жыйындысы.
agentive-figure;['башталгыч мектеп'];Башталгыч мектеп – кенже курактагы балдарга башталгыч билим берүүгө багытталган атайын мекеме.
agentive-figure;['ку-клукс-клан', 'ku klux klan'];Ку-Клукс-Клан (англ.
agentive-figure;['диний секта'];Диний секта (лат.
agentive-figure;['бүткүл дүйнөлүк банк'];Бүткүл дүйнөлүк банк – БУУнун адистештирилген мекемелеринин бири: Эларалык кайра куруу жана өнүктүрүү банкы, Эларалык каржы корпорациясы, Эларалык өнүктүрүү ассоциациясы, Көп тараптуу инвестициялык кепилдиктер боюнча агенттиги, Эларалык инвестициялык талаштарды жөнгө салуу боюнча борбор кирет.
agentive-figure;['бүткүл дүйнөлүк саламаттык сактоо уюму'];Бүткүл Дүйнөлүк саламаттык Сактоо Уюму
agentive-figure;['буунун балдардын укуктары жөнүндө конвенциясы', "united nations international children's emergency fund"];БУУнун Балдардын Укуктары жөнүндө Конвенциясы - 1946-жылы түзүлгөн.
agentive-figure;['юнеско', 'буу билим, илим жана маданият уюму'];ЮНЕСКО
agentive-figure;['туроператор'];Туроператор - турларды комплектациялоочу, аларды сатуучу жана туристтерге ар кандай кызмат көрсөтүүлөрдү ишке ашыруучу уюм.
agentive-figure;['күнкорсуз мамлекеттер шериктештиги', 'көзкарандысыз мамлекеттердин шериктештиги', 'көз карандысыз мамлекеттердин шериктештиги'];Көз карандысыз мамлекеттердин шериктештиги – эгемендүү, көз карандысыз мамлекеттердин өз ара макулдашууларынын жана келишимдеринин негизинде түзүлгөн мамлекеттер аралык бирикме.
agentive-figure;['консорциум'];Консорциум
agentive-figure;['улуттар шериктештиги'];Улуттар Шериктештиги ...
agentive-figure;['институт'];Институт
agentive-figure;['каарман'];Каарман
agentive-figure;['академия', 'университет'];Академия – жогорку байтүп жана жогорку окуу жайынан кийинки кесиптик билим берүү программаларын жүзөгө ашыруучу жогорку окуу жайы, белгилүү бир илимий жана илимий-педагогикалык тармактар үчүн жогорку адистиктеги кызматкерлерди даярдайт жана/же кайра даярдайт, кесиптик билимдерин өркүндөтөт. фундаменталдык жана колдонмо илимий изилдөөлөрдү ишке ашырат. өз тармагы боюнча жетектөөчү жана илимий усулдук борбор болуп саналат.Мифтик каарман Академдин жана Афинанын жанындагы анын ысымына байланыштуу жердин атынан келип чыккан.
agentive-figure;['коллеж'];Коллеж
agentive-figure;['таку', 'түндүк атлантикалык конвенция уюму'];ТАКУ, Түндүк Атлантика Келишим Уюму расмий түрдө ачылышына да 2-Дүйнөлүк Согушунан кийин башталган саясий айрылышынын натыйжасында уюштурулган.
agentive-figure;['европа биримдиги', '🇪🇺', 'евро биримдиги'];Европа биримдиги — Европа өлкөлөрүнүн аймактык саясий жана экономикалык бирикмеси
agentive-figure;['араб өлкөлөрүнүн лигасы'];Араб өлкөлөрүнүн лигасы, жамиат ад-дууалаль-арабия - араб мамлекеттеринин өз ара карым-катнашын чыңдоо, саясий аракеттерин координациялоо, көз каранды эместигин, суверенитетин жана жалпы эле араб өлкөлөрүнүн таламдарын коргоо максатында түзүлгөн уюм
agentive-figure;['бириккен улуттар уюму', 'буу'];Бириккен Улуттар Уюму – эл аралык тынчтыкты, коопсуздукту колдоо жана бекемдөө, мамлекеттер аралык тынчтык кызматташтыгын өнүктүрүү максатында суверендүү мамлекеттердин ыктыярдуу биригүүсүнүн негизинде түзүлгөн эл аралык уюм.
agentive-figure;['баптизм'];Баптизм -
agentive-figure;['православие'];Православие – христиан дининин бир багыты.
agentive-figure;['квартет'];Квартет – 1аспапчылардан же вокалисттерден
agentive-figure;['геракл'];Геракл [байыркы грек тилинде Ἡρακλῆς. латынча Herculēs ] – грек мифологиясынын каарманы [төрөлгөндөгү аты Алкид ]. Зевс менен Алкменанын уулу.
agentive-figure;['дин', 'ишеним', 'динчил адам'];Ишеним (орус.
agentive-figure;['дин', 'ишеним', 'динчил адам'];Дин — арабча сөз Баардык ааламды жараткан Жалгыз Аллах Тааладан келген акыйкат кабар эскертүү буйрук, дин аль хак акыйкат дин, дин аль батл жалган дин болуп экиге бөлүнөт, акыйкат дин жалгыз ислам, калганы адамдардын өз каалоолоруна жараша акыйкатты бурмалаганы == Колдонулган адабияттар == “Кыргызстан”.
agentive-figure;['дин', 'ишеним', 'динчил адам'];Адамдын жүрөгү 4 камерадан, магистралдык тамырлардан жана клапандардан турат.
agentive-figure;['ислам'];Ислам, мусулманчылык – дүйнөдөгү үч ири диндин бири, монотеисттик дин.
agentive-figure;['сунниттер'];Сунниттер (ар.
agentive-figure;['шиизм'];Шиизм – ислам дининдеги негизги багыттардын бири.
agentive-figure;['индуизм'];Индуизм – Индиянын байыркы салттык дини. Индияда ошондой эле индиялыктар жашаган чыгыш өлкөлөрүндө таралган.
agentive-figure;['советтик социалисттик республикалар союзу', 'ксрб', 'кеңештер бирлиги', 'кеңештик сосиалисттик республикалар бирлиги', 'кеңештик сосиалисттик республикалaр бирлиги', 'кеңештик социалистик республикалар бирлиги', 'кеңештик социалисттик республикалар бирлиги', 'советтер биримдиги', 'советтер союзу', 'советтик социалисттик республикалaр союзу', 'советтик социалисттик республикалардын биримдиги', 'советтик социалисттик республикалардын союзу', 'союз советских социалистических республик', 'ссрб', 'ссрс', 'ссср'];Кеңештик Сосиалисттик Республикалар Бирлиги, ошондой эле КСРБ жана Кеңештер Бирлиги мана КСР Бирлиги
agentive-figure;['дон кихот'];"Дон Кихот"
agentive-figure;['«ыйык рим империясы»', 'ыйык рим империясы'];Ыйык Рим империясы — Рейнден чыгышка чейинки немис аймактарын, ошондой эле Түндүк жана Ортонку Италияны камтыган о.
agentive-figure;['федералдык чалгындоо кызматы'];Федералдык Чалгындоо Кызматы - Америка Кошмо Штаттарынын Адилет министрлигине караштуу мамлекеттик чалгындоо агенттиги.
agentive-figure;['гестапо', 'gestapo'];Гестапо – Үчүнчү рейхтин тушундагы саясий полиция.
agentive-figure;['эларалык деңиз уюму'];Эларалык деңиз уюму – эларалык өкмөттөр аралык уюм, БУУнун адистештирилген мекемеси.
agentive-figure;['буу азык-түлүк жана айыл-чарба маселелери боюнча уюму'];БУУ Азык-түлүк жана Айыл-чарба Маселелери боюнча Уюму - 1945-жылы курулган.
agentive-figure;['ламаизм'];Ламаизм – 19 к.
agentive-figure;['грифон'];Грифон – өткөн замандын жасалга-колдонмо көркөм искусствосунда – арстан денелүү жана бүркүттүн канаттары менен башынан турган фантастикалык жаныбар.
agentive-figure;['альма-матер', 'alma máter'];А́льма-ма́тер
agentive-physical-object;['андреналар', 'andrena'];Андреналар (лат.
agentive-physical-object;['күрмөк', 'echinochloa'];Күрмөк – дан өсүмдүктөр тукумундагы түр.
agentive-physical-object;['ноутбук'];Ноутбук – энергия булагы автономдуу системалуу, көтөрүп жүрүүчү микрокомпьютер.
agentive-physical-object;['калико', 'pomoxis nigromaculatus'];Калико — (лат.
agentive-physical-object;['краппи', 'pomoxis annularis'];Краппи — (лат.
agentive-physical-object;['эмен'];Макала жазылууда, жардам бергениңизге ыраазычылык билдирем, Maksat 10:35, 8 Октябрь 2014
agentive-physical-object;['бонсай', 'bonsái', 'өспөгөн дарактар'];Бонсай - өзгөчө ыкмалар менен дарактардын гүл койгучтардын ичинде буталып өстүрүлүшү.
agentive-physical-object;['линотип'];Линотип
agentive-physical-object;['нимфа'];Нимфа
agentive-physical-object;['жаныбар', 'жаныбарлар', 'animalia'];Жаныбарлар айбанаттар - тирүү организмдер дүйнөсүнүн эң чоң бөлүмү. органикалык дүйнөдөгү негизги эки топтун бири.
