activity;['ᨅᨔ ᨄᨛᨑᨚᨁᨛᨑᨆᨗ', "basa ma'program", 'basa programming'];ᨅᨔ ᨄᨛᨆᨚᨑᨚᨁᨛᨑᨆ ᨕᨗᨐᨊᨑᨚ ᨅᨔᨅᨔ ᨀᨚᨇᨘᨈᨛᨑᨛ ᨊᨄᨙᨀᨕᨗ ᨄᨚᨑᨚᨁᨛᨑ ᨆᨕᨛᨅᨘ ᨄᨚᨑᨚᨁᨛᨑ ᨀᨚᨇᨘᨈᨛᨑᨛ᨞
agentive-figure;['islam'];Selleng iana séuwa agama deceng.
agentive-physical-object;['komputer desktop'];Komputer desktop merupakan seuwa mesina komputer elektronik iana pasule-ki raw data mancaji information.
agentive-physical-object;['komputer', 'komputere'];Komputer-é ianaro alatang-alatang napaguna mangurusu data-e.
agentive-physical-object;['meong', 'felis silvestris catus', 'felis catus'];Meong, Nyaung, Choki Yanaritu mamalia karnivor baeccu' napelihara taué supaya naunu balesu yarega balawoé.
geographical-object;['sulawési'];Sulawesi iyanaritu séddi polé eppa Libukeŋ Sunda Indonesia na terletak ri antara Borneo sibawaŋ Libukeŋ Maluku.
information-realization;['ᨄᨛᨑᨚᨁᨛᨑᨆ ᨀᨚᨇᨘᨈᨛᨑᨛ', 'program'];ᨄᨛᨑᨚᨁᨛᨑᨆ ᨀᨚᨇᨘᨈᨛᨑᨛ ᨕᨗᨕᨊ ᨀᨚᨙᨒᨔᨗ ᨄᨔᨘᨑᨘᨔᨘᨑᨘ ᨀᨚᨇᨘᨈᨛᨑᨛᨙᨕ᨞
language;['ᨅᨔ ᨀᨚᨇᨘᨈᨛᨑᨛ'];ᨅᨔ ᨀᨚᨇᨛᨈᨛᨑᨛ ᨕᨗᨕᨊ ᨅᨔ ᨆᨄᨔᨘᨑᨘ ᨀᨚᨄᨘᨈᨛᨑᨛ ᨆᨕᨛᨅᨘ ᨈᨘᨁᨔ᨞ ᨕᨛᨃ ᨉᨘᨕ ᨀᨈᨛᨁᨗᨊ ᨅᨔ ᨀᨚᨇᨘᨈᨛᨑᨛ ᨕᨗᨕᨑᨚ ᨅᨔ high-level ᨔᨗᨅᨓ ᨅᨔ low-level᨞
language;['c'];C iyye sabua basa ma'programé napabbui Dennis Ritchie ri taun 1972 ri Bell Telephone Laboratories paguna-na sistém operasi Unix.
language;['ᨅᨔ ᨕᨗᨋᨗᨔᨗ', 'bahasa inggris', 'basa inrisi'];ᨅᨔ ᨕᨗᨋᨗᨔ: Basa Inrisi naseng basa West Germanic iyana basa dominan ri United Kingdom, Amerika Serika', maega wanua Komanwel pada Australia na Kanada, sibawa sininna bekas koloni British.
language;['lingua urdu', 'urdû'];U urdu hè u nome di una di e lingue parlate in l'Asia di Sud.
locative-role;['edirne'];Edirne, iyanaritu seddi kota ri Porovensi Edirne ri Turki.
locative-role;['ho chi minh city'];Dong Hoi iyanaritu seddi kota ri porovensi Dong Nam Bo, Vietnam.
locative-role;['nice'];Nice iyanaritu séuwa komun ri déparetema Alpes-Maritimes ri Perancis.
locative-role;['liverpool'];Liverpool ᨕᨗᨕᨊᨑᨗᨈᨘ ᨙᨔᨘᨕᨘᨓ ᨅᨉᨑᨐ ᨉᨗ ᨕᨛᨂᨙᨒᨛᨊ᨞
locative-role;['cannes'];Cannes iyanaritu séuwa komun ri déparetema Alpes-Maritimes ri Perancis.
locative-role;['bordeaux'];Bordeaux iyanaritu séuwa komun ri déparetema Gironde ri Perancis.
locative-role;['são paulo'];São Paulo iyanaritu kuta paliŋ maéga lisěna ri Brasilë énrengé kuta paliŋ maéga lisěna ri linoë.
locative-role;['manorang'];ᨆᨊᨚᨑ ᨕᨗᨕᨊᨑᨗᨈᨘ ᨙᨔᨉᨗ ᨕᨂᨚᨒᨚ ᨑᨗᨒᨒᨛ ᨀᨚᨇᨔ᨞ ᨆᨊᨚᨑ ᨔᨗᨒᨒᨘᨊ ᨕᨛᨃ ᨑᨗᨕᨔᨛᨊ ᨄᨛᨈᨙᨕ᨞
locative-role;['chicago'];Chicago iyanaritu kuta paliŋ maéga lisěna ri United Statesë énrengé kuta paliŋ maéga lisěna ri linoë.
locative-role;['valparaiso'];Valparaiso iyanaritu seddi kuta ri Chili.
locative-role;['rio de janeiro'];Rio de Janeiro iyanaritu seddi kuta ri Brasilë.
locative-role;['kuta new york', 'new york city'];New York iyanaritu kuta paliŋ maéga lisěna ri United Statesë énrengé kuta paliŋ maéga lisěna ri linoë.
non-physical-collection;['islam'];Selleng iana séuwa agama deceng.
physical-body;['neutron', 'netron'];Neutron a netron partikel subatomik béla dék mallurengang éréngé mappunanngi massa 940 MeV/c2 ceddek lebih bunek ri proton.
physical-body;['elektron'];Elektron partikel subatomik.
physical-object;['ᨔᨛᨙᨄᨉ'];ᨔᨛᨙᨄᨉ ᨕᨗᨕᨊ ᨀᨛᨉᨛᨑᨕ ᨕᨛᨃ ᨉᨘᨕ ᨑᨚᨉᨊ ᨆᨁᨛᨑ ᨄᨙᨀ ᨙᨄᨉᨒ᨞ ᨊᨕᨛᨅᨘᨕᨗ ᨈᨕᨘ ᨑᨗ ᨕᨅ 19᨞
physical-object;['oto'];Séuwa Oto iana kenderaan penumpang maroda.
physical-object;['ᨆᨚᨈᨚᨑᨚᨔᨛᨙᨄᨉ'];ᨆᨚᨈᨚᨑᨚᨔᨛᨙᨄᨉᨙᨕ ᨕᨗᨕᨊᨕ ᨙᨔᨕᨘᨓ ᨙᨔᨉᨗ ᨒᨒᨘᨕ, ᨉᨘᨕ ᨑᨚᨉ ᨀᨛᨋᨕ ᨆᨚᨈᨚᨑᨚ ᨕᨛᨃ ᨙᨕᨏᨗᨊ᨞
physical-object;['ᨔᨛᨙᨄᨉ'];ᨔᨛᨙᨄᨉ ᨕᨗᨕᨊ ᨀᨛᨉᨛᨑᨕ ᨕᨛᨃ ᨉᨘᨕ ᨑᨚᨉᨊ ᨆᨁᨛᨑ ᨄᨙᨀ ᨙᨄᨉᨒ᨞ ᨊᨕᨛᨅᨘᨕᨗ ᨈᨕᨘ ᨑᨗ ᨕᨅ 19᨞
political-geographic-object;['edirne'];Edirne, iyanaritu seddi kota ri Porovensi Edirne ri Turki.
political-geographic-object;['ho chi minh city'];Dong Hoi iyanaritu seddi kota ri porovensi Dong Nam Bo, Vietnam.
political-geographic-object;['nice'];Nice iyanaritu séuwa komun ri déparetema Alpes-Maritimes ri Perancis.
political-geographic-object;['korea utara'];Korea Utara éngka seddi wanua ri Asia Timur.
political-geographic-object;['norge'];Norge asengna seddi wanua ri Eropah.
political-geographic-object;['belanda'];Belanda asengna seddi wanua ri Eropah
political-geographic-object;['ᨍᨛᨄ', 'jepang'];ᨓᨊᨘᨕ ᨍᨛᨄ ᨕᨗᨕᨊ ᨙᨔᨕᨘᨓ ᨓᨊᨘᨕ ᨑᨗ ᨕᨔᨗᨕ Timur, ᨕᨗᨕᨑᨚ ᨑᨗ ᨈᨛᨂ-ᨈᨛᨂᨊ Lautan Pasifik ᨑᨗ ᨔᨘᨒᨄ barat, ᨔᨗᨅᨓ semenanjung ᨀᨚᨙᨑᨕ ᨑᨗ ᨔᨘᨒᨄ timur.
