abstract-quality;['personhood'];Finding her own personhood as a campus activist
abstract-quality;['personality', "children's personality", 'human personality', 'personailty'];Their different reactions reflected their very different personalities
abstract-quality;['personality', "children's personality", 'human personality', 'personailty'];It is his nature to help others
abstract-quality;['personal identity', 'identity', 'individuality', 'bundle theory of the self', 'continuity of identity', 'personal continuity', 'self-identified', 'self-identify'];You can lose your identity when you join the army
abstract-region;['value'];The Shakespearean Shylock is of dubious value in the modern world
abstract-region;['product', 'mathematical product', 'products in linear algebra'];The product of 2 and 3 is 6
abstract-region;['double'];36 is the double of 18
abstract-region;['dependent variable'];If f(x)=y, y is the dependent variable
abstract-region;['multiple', 'integer multiple', 'sub-multiple', 'submultiple'];36 is a multiple of 9
abstract-region;['least common multiple', 'lowest common multiple', 'lcm', 'smallest common multiple', 'l.c.m', 'common multiples', 'lowest common multiplier', 'minimal common multiple', 'nww'];The least common multiple of 12 and 18 is 36
abstract-region;['voter turnout', 'vote', 'election turnout', 'measuring turnout', 'voter participation'];They are expecting a large vote
activity;['base on balls', 'walk', 'pass', 'bb', 'base on ball', 'baseball statistics/bb', 'bases on balls'];He worked the pitcher for a base on balls
activity;['culture', 'microbiological culture', 'bacterial culture', 'culture collection', 'culture collections', 'cultured bacteria', 'liquid culture', 'microbial culture', 'microbial culture repository', 'microbiologic culture', 'microbiological cultures', 'microbiology cultures', 'pure culture', 'tissue culture', 'wound culture'];The culture of cells in a Petri dish
activity;['rub up'];I need a rub up on my Latin
activity;['clawback', 'claw back', 'clawbacks in economic development'];The Treasury will find some clawback for the extra benefits members received
activity;['sin', 'hell'];They began to fight like sin
activity;['email', 'electronic mail', 'e-mail', '📧', 'e mail', 'internet mail', 'message handling service', '.eml', 'anonymous mailer', 'benefits of e-mail', 'corporate email', 'courriel', 'e-address', 'e-mail account', 'e-mail header', 'e-mail headers', 'e-mail message', 'e-mailed', 'e-mails', 'e mails', 'electron mail', 'electronic mail box', 'electronic mails', 'electropost', 'email account', 'email accounts', 'email etiquettes', 'email header fields', 'email headers', 'email message', 'email security', 'email stationery', 'email system', 'email types', 'emailed', 'emails', 'how email works', 'inbox', 'internet message format', 'mail headers', 'mass email', 'outbox', 'paid email', 'premium e-mail', 'premium email', 'premiumemail', 'protected email', 'public email address', 'reply-to', 'reply all', 'rfc822', 'rfc 2822', 'rfc 5322', 'rfc 822', '📤', '📥', '📨', '📩', '🖄'];You cannot send packages by electronic mail
activity;['production', 'manufacturing', 'average product', 'economic producer', 'economic production', 'producer theory', 'production economics', 'production in commerce', 'production theory basics', 'total product'];He introduced more efficient methods of production
activity;['centering', 'snap'];The quarterback fumbled the snap
activity;['trojan war', 'the trojan war', 'trojan wars', 'battle of troy', 'fall of troy', 'siege of troy', 'trojan army', 'troy war', 'troyan war', 'war of troy'];The story of the Trojan War is told in Homer's Iliad
activity;['natural'];A natural scale
activity;['natural'];B natural
activity;['fix'];She needed a fix of chocolate
activity;['wash'];At the end of the year the accounting department showed that it was a wash
activity;['lawsuit', 'case', 'suit', 'cause', 'causa', 'legal case', 'court case', 'trial', 'civil court', 'case law', 'court action', 'court decision', 'judicial proceeding', 'legal dispute', 'legal issue', 'civil actions', 'civil case', 'civil court case', 'civil courts', 'civil lawsuit', 'filed suit', 'judicial proceedings', 'law suit', 'law suits', 'lawsuits', 'legal battle', 'legal battles', 'litigants', 'litigate', 'litigated', 'litigates', 'litigating', 'litigations', 'litigators', 'litigious', 'satellite litigation', 'sued', 'suing', 'suit in law'];The family brought suit against the landlord
activity;['number', 'grammatical number', 'paucal', 'trial', 'classifiers with number morphology', 'distributive plural', 'general number', 'grammatical plural', 'nullar', 'nullar number', 'paucal number', 'plural number', 'trans-numeral', 'transnumeral', 'transnumeric', 'trial grammatical number', 'trial number'];In English the subject and the verb must agree in number
activity;['appointment'];She allocated part of the trust to her church by appointment
activity;['production'];The appellate court demanded the production of all documents
activity;['trial', 'case', 'court case', 'lawsuit', 'bad court thinggie', 'civil trial', 'court trial', 'criminal case', 'due trial', 'legal trial', 'legal trials', 'mis-trial', 'mistrials', 'pending trial', 'pre-trial', 'trials', 'tried', 'tryers', 'under trial'];Most of these complaints are settled before they go to trial
activity;['trial', 'case', 'court case', 'lawsuit', 'bad court thinggie', 'civil trial', 'court trial', 'criminal case', 'due trial', 'legal trial', 'legal trials', 'mis-trial', 'mistrials', 'pending trial', 'pre-trial', 'trials', 'tried', 'tryers', 'under trial'];He had a fair trial and the jury found him guilty
activity;['dissent'];He expressed his dissent in a contrary opinion
activity;['channel', 'communication channel', 'line'];It must go through official channels
activity;['channel', 'communication channel', 'line'];Lines of communication were set up between the two firms
activity;['round'];The doctor goes on his rounds first thing every morning
activity;['round'];The postman's rounds
activity;['round'];We enjoyed our round of the local bars
activity;['strangulation'];Strangulation of the intestine
activity;['pass', 'toss', 'flip'];The pass was fumbled
activity;['call'];He was ejected for protesting the call
activity;['break', 'break of serve'];He was up two breaks in the second set
activity;['relation'];International relations
activity;['devotion'];He returned to his devotions
activity;['hands', 'custody'];My fate is in your hands
activity;['hands', 'custody'];Too much power in the president's hands
activity;['hands', 'custody'];Your guests are now in my custody
activity;['hands', 'custody'];The mother was awarded custody of the children
activity;['talk'];I attended an interesting talk on local history
activity;['hitting', 'striking', 'hit'];Repeated hitting raised a large bruise
activity;['hitting', 'striking', 'hit'];After three misses she finally got a hit
activity;['fastball', 'heater', 'smoke', 'hummer', 'bullet', 'fast ball', 'fastballs', 'rising fastball', 'two-seam'];He showed batters nothing but smoke
activity;['fastball', 'heater', 'smoke', 'hummer', 'bullet', 'fast ball', 'fastballs', 'rising fastball', 'two-seam'];He swung late on the fastball
activity;['fight', 'contend', 'struggle'];The tribesmen fought each other
activity;['fight', 'contend', 'struggle'];Siblings are always fighting
activity;['fight', 'contend', 'struggle'];Militant groups are contending for control of the country
activity;['short shrift', 'summary treatment'];They made short shrift of my request
activity;['shower', 'rain shower', 'chubasco'];The game was interrupted by a brief shower
activity;['call'];He deserves to be called on that
activity;['stopover', 'stop', 'layover'];They made a stopover to visit their friends
activity;['operation', 'arithmetic and logic operation'];It can perform millions of operations per second
activity;['leveraged buyout', 'lbo', 'bootstrap acquistion', 'bootstrap transaction', 'highly-leveraged transaction', 'leverage buyout', 'leveraged buy-out', 'leveraged buy-outs', 'leveraged buy out', 'leveraged buyouts', 'leveraged finance', 'leveraged takeover', 'secondary buyout', 'take private', 'taken private'];A leveraged buyout by upper management can be used to combat hostile takeover bids
activity;['reform', 'reclaim', 'regenerate', 'rectify'];The Church reformed me
activity;['reform', 'reclaim', 'regenerate', 'rectify'];Reform your conduct
activity;['call out'];Aaron Burr called out Alexander Hamilton
activity;['dare', 'daring'];He could never refuse a dare
activity;['liaison', 'link', 'contact', 'inter-group communication'];He provided a liaison with the guerrillas
activity;['vote', 'ballot', 'voting', 'balloting', 'ballot paper', 'voting paper', 'papel de votación', 'papeleta de papeleta', 'ballot design', 'ballot papers', 'ballot voting', 'ballots', 'butterfly ballot', 'i voted', 'paper ballot', 'psephocracy', 'punch-card ballot', 'retrospective vote', 'retrospective voting', 'votation', 'vote and voting', 'vote required', 'vote required for adoption', 'voted', 'voter rights', 'voters', 'voting bases', 'voting basis', 'voting citizen', 'voting in broward county', 'voting methods', 'worldwide voting'];There were only 17 votes in favor of the motion
activity;['vote', 'ballot', 'voting', 'balloting', 'ballot paper', 'voting paper', 'papel de votación', 'papeleta de papeleta', 'ballot design', 'ballot papers', 'ballot voting', 'ballots', 'butterfly ballot', 'i voted', 'paper ballot', 'psephocracy', 'punch-card ballot', 'retrospective vote', 'retrospective voting', 'votation', 'vote and voting', 'vote required', 'vote required for adoption', 'voted', 'voter rights', 'voters', 'voting bases', 'voting basis', 'voting citizen', 'voting in broward county', 'voting methods', 'worldwide voting'];They allowed just one vote per person
activity;['circus', 'circus performer', 'circus troupe', 'circus artist', 'circus artists', 'circus performers', 'circus elephant', 'circus manege', 'circus ring', 'circuses', 'history of circuses', 'history of the circus', 'manege', 'the circus', 'three ring circus', 'traveling circus', 'travelling circus', '🎪'];He ran away from home to join the circus
activity;['embrace', 'bosom'];His willing embrace of new ideas
activity;['embrace', 'bosom'];In the bosom of the family
activity;['invite'];He didn't get no invite to the party
activity;['return', 'homecoming'];On his return from Australia we gave him a welcoming party
activity;['cooperative'];A cooperative effort
activity;['adjoin', 'meet', 'contact', 'touch'];The two buildings touch
activity;['adjoin', 'meet', 'contact', 'touch'];Their hands touched
activity;['adjoin', 'meet', 'contact', 'touch'];The wire must not contact the metal cover
activity;['adjoin', 'meet', 'contact', 'touch'];The surfaces contact at this point
activity;['war'];The war against crime
activity;['war'];The war on poverty
activity;['sop'];The offer was a sop to my feelings
activity;['hit', 'smash', 'smasher', 'strike', 'bang'];That song was his first hit and marked the beginning of his career
activity;['hit', 'smash', 'smasher', 'strike', 'bang'];That new Broadway show is a real smasher
