activity;['go', 'go-peli', 'go suomessa', 'mennä peli'];Eräs alkujaan kiinalainen lautapeli.
activity;['suudelma', 'pusu', 'suukko', 'suutelu', 'suuteleminen', 'pussaaminen', 'pussaus', 'suudella', 'buss'];Koskettaminen huulilla rakkauden tai kiintymyksen merkkinä.
activity;['dokumenttielokuva', 'dokumentti', 'dokudraama', 'dokumentaari', 'tietoviihde', 'dokumenttiteos', 'dokkari', 'draamadokumentti', 'dokumenttifilmi', 'docudrama', 'doku-draama', 'dokumentaristi', 'dokumentteja', 'dokumentti elokuva', 'dokumenttielokuvia', 'dokumenttisarja', 'draama dokumentti', 'elokuva dokumentti', 'infotainment'];Elokuva, jossa esitetään todellinen tapahtuma, aikakausi tai elämäntarina totuudenmukaisesti ja jossa on vain vähän tai ei lainkaan kuvitelmaa.
activity;['dokumenttielokuva', 'dokumentti', 'dokudraama', 'dokumentaari', 'tietoviihde', 'dokumenttiteos', 'dokkari', 'draamadokumentti', 'dokumenttifilmi', 'docudrama', 'doku-draama', 'dokumentaristi', 'dokumentteja', 'dokumentti elokuva', 'dokumenttielokuvia', 'dokumenttisarja', 'draama dokumentti', 'elokuva dokumentti', 'infotainment'];Elokuva, tv-ohjelma, kirja tms, joka kertoo todenmukaisesti ja tiedottavasti.
activity;['väestönlaskenta', 'laskenta', 'väestölaskenta', 'census', 'väestönlasku', 'nenä count', 'nosecount'];Yleensä tietyn alueella asuvan ihmis- tai muun populaation jäsenten laskenta, joka usein suoritetaan säännöllisin väliajoin.
activity;['ohjaus', 'ennakko'];Matka, jonka verran ampuja tähtää liikkuvan kohteen eteen, jotta ammus osuisi siihen.
activity;['ohjelma', 'lähetys', 'esitys'];Viihdenumero tai muu lähetys radiossa tai televisiossa.
activity;['vallankaappaus', "coup d'état", 'sotilasvallankaappaus', 'sotilasvallankaappauksen', "vallankaappaus-d'etat", 'vallankaappausta'];Hallituksen äkillinen kaataminen.
activity;['aaria', 'air', 'aarioita', 'aria'];Solistille ja sitä säestäville soittimille (yleensä orkesterille) tehty musiikkikappale.
activity;['ristiretki', 'ristiretket', 'crusade'];Euroopan kristittyjen keskiajalla tekemä sotaretki, jolla pyrittiin valloittamaan Jerusalemin Pyhän haudan kirkko takaisin.
activity;['lumi', 'lumisade', 'hanki', 'kinos', 'loska', 'lumihanki', 'lumisohjo', 'nuoska', 'sohjo', 'suojalumi', 'viti', 'lunta'];Yleisin jäätyneen veden sadetyyppi, joka tavallisesti esiintyy hiutaleina tai tähtimäisinä kiteinä, toisiinsa takertuneina jääneuloina, tai edellä mainittujen yhdistelminä, ja usein huurteen peittäminä.
activity;['hysterektomia', 'kohdunpoisto', 'kohdunpoistoleikkaus', 'hysterectomies', 'kohdun poisto'];Kohdun poistaminen kirurgisesti.
activity;['taide', 'taideteos', 'taiteellinen luomus', 'design', 'taidetta', 'taiteellinen luominen', 'taiteellinen tuotanto', 'taiteellisen ilmaisun', 'taiteen'];Kauniiden tai muutoin merkityksellisten teosten luominen.
activity;['amnestia', 'armahdus', 'anteeksi', 'anteeksianto', 'rangaistuksen anteeksianto', 'yleinen armahdus', 'armahduksen', 'kuninkaallinen armahdus', 'presidentin armahduksen', 'vapaa anteeksi'];Huudahdus, joka osoittaa että henkilö ei ymmärrä ja toivoo toisen toistavan sanomansa.
activity;['huutokauppa', 'pakkohuutokauppa', 'hiljainen huutokauppa', 'huutokaupanpitäjät', 'huutokaupat', 'huutokauppakamari', 'huutokauppakamarit', 'vendue'];Julkinen tilaisuus, jossa irtainta tai kiinteää omaisuutta myydään eniten tarjoavalle.
activity;['sade', 'vesisade', 'sadevesi', 'konvektiivinen sade', 'konvektiosade', 'lumisade', 'lumisateet', 'orografinen sade', 'ortografinen sade', 'rintamasade', 'rankkasade', 'sade myrsky', 'sademäärä'];Yli 0,5 millimetrin kokoisina pisaroina maahan putoava nestemäinen vesi.
agentive-figure;['kerho', 'klubi', 'seura', 'yhdistys'];Samanlaisista asioista kiinnostuneiden ihmisten muodollinen (tai formaali) yhdistys.
agentive-figure;['valtio', 'res publica', 'itsenäinen valtio', 'maa', 'kansakunta', 'kansalaiset', 'poliittinen elin', 'yhteiskunta', 'kansa', 'valtion ja kunnan tehtävät', 'valtion tehtävät', 'valtiontalous', 'valtiovalta', 'kansakunnan', 'valtion', 'julistava teorian valtio', 'kansallisesti', 'kansojen', 'maassa', 'poliittisen yhteiskunnan', 'suvereeni valtio', 'valtiorakennelma'];Itsenäinen poliittinen taho, joka toimii laajan maantieteellisen alueen ylimpänä auktoriteettina.
agentive-figure;['valtio', 'res publica', 'itsenäinen valtio', 'maa', 'kansakunta', 'kansalaiset', 'poliittinen elin', 'yhteiskunta', 'kansa', 'valtion ja kunnan tehtävät', 'valtion tehtävät', 'valtiontalous', 'valtiovalta', 'kansakunnan', 'valtion', 'julistava teorian valtio', 'kansallisesti', 'kansojen', 'maassa', 'poliittisen yhteiskunnan', 'suvereeni valtio', 'valtiorakennelma'];Tiettyä maa-aluetta pysyvästi asuttava kansa, jonka lait, tavat ja perinteet yhdistävät poliittiseksi toimielimeksi, joka järjestäytyneen hallinnon avulla itsenäisesti hallitsee ja valvoo kaikkia ihmisiä ja asioita alueellaan, paitsi jos tai kunnes valta luovutetaan muiden valtioiden muodostamalle liitolle.
agentive-figure;['lastentarha', 'päiväkoti', 'esikoulu', 'lasten päivähoito', 'tarha', 'päivähoito', 'päiväkodit'];Kasvatuslaitos, jossa lapset käyvät yleensä ennen peruskoulua.
agentive-figure;['esikoulu', 'lastentarha', 'päiväkoti', 'ensiopetus', 'esiopetus', 'eskari', 'esikouluikäinen', 'esikouluissa', 'esikoululaiset', 'päiväkodit'];Kasvatuslaitos, jossa lapset käyvät yleensä ennen peruskoulua.
agentive-physical-object;['kannettava tietokone', 'sylimikro', 'läppäri', 'kannettava', 'salkkumikro', 'sylitietokone', 'kannettavia tietokoneita'];Kannettava tietokone, joka on riittävän pieni ja kevyt jotta sitä voi käyttää sylissään.
agentive-physical-object;['kannettava tietokone', 'muistikirjamikro', 'läppäri', 'sylimikro', 'kannettavan tietokoneen'];Kannettava tietokone, joka on riittävän pieni ja kevyt jotta sitä voi käyttää sylissään.
agentive-physical-object;['riista', 'riistaliha', 'riistaeläin', 'riistaeläimet', 'riistalintu', 'peli', 'gamebird', 'luonnonvaraisen riistan', 'riistaeläinten', 'riistalintujen', 'riistan'];Huvin, ruuan tai tuoton vuoksi metsästettävät villieläimet, mukaan lukien linnut ja kalat.
agentive-physical-object;['riista', 'riistaliha', 'riistaeläin', 'riistaeläimet', 'riistalintu', 'peli', 'gamebird', 'luonnonvaraisen riistan', 'riistaeläinten', 'riistalintujen', 'riistan'];Huvin, ruuan tai tuoton vuoksi metsästettävät villieläimet, mukaan lukien linnut ja kalat.
agentive-physical-object;['ihminen', 'ihmiset', 'homo sapiens sapiens', 'homo sapiens', 'ihmiskunta', 'luettelo ihmisistä', 'luettelo ihmislajeista', 'nykyihminen', 'ihmisen', 'homo', 'ihmislajin'];Ihmislajin jäsen.
agentive-physical-object;['varpunen', 'varpuset', 'passeridae', 'totta varpunen'];Pieni Passeridae-heimon laululintu.
agentive-physical-object;['saunamaija', 'kyhmysiira', 'maasiira', 'siira', 'slater'];Oniscideoiden alalahkoon kuuluva maalla elävä äyriäinen. Niillä on jäykkä, jaokkeinen ja kalkkipitoinen ulkoinen tukiranka ja neljätoista nivelikästä raajaa. Niitä esiintyy tavallisesti kosteissa, pimeissä paikoissa kuten kivien ja pölkkyjen alla.
agentive-physical-object;['omenapuu', 'omena'];Sukuun ''Malus'' kuuluva puu.
agentive-physical-object;['kana', 'gallus gallus', 'gallus gallus domesticus', 'kanaa'];Eräs Galliformes-lahkoon kuuluva kesy lintu, jota usein kasvatetaan siipikarjana (Gallus gallus domesticus).
agentive-physical-object;['sika', 'possu', 'siat', 'sus scrofa', 'syöttökarju', 'karju', 'emakko', 'kesysika', 'porsas', 'possunen', 'potsi', 's. domesticus', 'suini', 'sus domestica', 'sus domesticus', 'sus scrofa domestica', 'sus scrofa domesticus', 'sikoja kotieläiminä'];Yleinen nelijalkainen eläin (Sus scrofa), jolla on sorkat, harjakset ja kaivamiseen sopeutunut nenä ja jota ihmiset pitävät karjana lihan vuoksi.
agentive-physical-object;['kissa', 'kesykissa', 'mirri', 'kissaeläin', 'katti', 'kisu', 'kotikissa', 'felis catus', 'felis catus domestica', 'felis silvestris catus', 'felis domestica', 'felis domesticus', 'felis sylvestris catus', 'kissanpentu', 'kissanpoika', 'kissanpoikanen', 'kollikissa', 'domestic cat', 'true kissa'];Yleinen nelijalkainen eläin (Felis silvestris catus), jota pidetään usein sisälemmikkinä.
agentive-physical-object;['tamma', 'naarashevonen', 'naaras hevonen', 'tammojen'];Aikuinen naarashevonen.
agentive-physical-object;['kahvimylly', 'kahvimyllyllä'];Kodissa käytettävä laite, jolla jauhetaan kahvipapuja.
agentive-physical-object;['kollikissa', 'kolli', 'uroskissa'];Urospuolinen kesykissa.
agentive-physical-object;['malus pumila', 'omena', 'tarhaomenapuu', 'omenapuu', 'orchard omenapuu'];Sukuun ''Malus'' kuuluva puu.
agentive-physical-object;['myyrä', 'maamyyrä'];Musta hyönteisiä syövä nisäkäs, joka elää maanalaisissa käytävissä, jotka se kaivaa raajoillaan.
agentive-physical-object;['kookospalmu', 'cocos nucifera', 'kookos', 'kookospähkinä', 'coco', 'coco palm', 'coconut tree', 'kaakao palmu', 'kookos puu'];Kookospalmun iso, kovakuorinen, soikea pähkinä, jossa on kuituinen pintakerros.
agentive-physical-object;['picea abies', 'kuusi', 'metsäkuusi', 'euroopankuusi', 'näre', 'picea abies ssp. abies', 'euroopanmetsäkuusi', 'kuusen', 'picea excelsa'];Eräs havupuu.
agentive-physical-object;['seepia', 'seepiat', 'mustekala', 'sepiida', 'mustekalan'];Mikä tahansa merinilviäinen (mustekala), joka tietyissä tilanteissa ruiskuttaa mustaa nestettä ja jolla on huokoinen luu selässä.
agentive-physical-object;['siira', 'saunamaija', 'kylvää bug', 'woodlice'];Oniscideoiden alalahkoon kuuluva maalla elävä äyriäinen. Niillä on jäykkä, jaokkeinen ja kalkkipitoinen ulkoinen tukiranka ja neljätoista nivelikästä raajaa. Niitä esiintyy tavallisesti kosteissa, pimeissä paikoissa kuten kivien ja pölkkyjen alla.
amount-of-matter;['kofeiini', 'c8h10n4o2', '1,3,7-trimetyyliksantiini', 'teiini', 'kofeiinia'];Alkaloidi, C8H10NO2, jota esiintyy luonnostaan tee- ja kahvikasveissa ja jolla on lievä keskushermostoa kiihottava vaikutus.
amount-of-matter;['vesi', 'h2o', 'h₂o', 'divetymonoksidi', 'divetyoksidi', 'vettä', 'dhmo', 'vesimolekyyli', 'vetyhappo', 'vetyhydroksidi', 'nestemäisen veden'];Yleinen neste (H₂O), joka muodostaa sadetta, jokia, meriä, jne. ja josta suuri osa organismien kudoksista koostuu.
amount-of-matter;['ilma', 'heterosphere', 'maan ilmakehään', 'maapallon ilmakehään'];Maanpinnan yläpuolinen tila, jossa lentokoneet lentävät.
amount-of-matter;['metalliseos', 'lejeerinki', 'metalli', 'seos', 'billon', 'metalli-rikas', 'metallicity', 'seosaineiden', 'tähtien väestö', 'tähtien väestön', 'väestö iii tähteä', 'vähämetallisen'];Mikä tahansa monista aineista, joilla on metallin ominaisuudet ja koostuvat vähintään kahdesta alkuaineesta. harvoja poikkeuksia lukuun ottamatta aineen osat ovat metallisia alkuaineita.
amount-of-matter;['kolesteroli', 'hdl-kolesteroli', 'kolesteriini', 'kolestroli', 'haittavaikutuksista'];Sterolien ryhmän lipidi, jota yhtäältä syntyy kehossa ja toisaalta saadaan eläinperäisistä ruokavalmisteista.
amount-of-matter;['karboksyylihappo', 'karboksyylihapot', 'karboksyyliryhmä', 'karboksi', 'karboksiryhmä', 'karboksyyli-ryhmä'];Jokin orgaaninen happo, jossa on olennaisena osana karboksyyliryhmä kaavaltaan -(C=O)-OH, tavallisesti kirjoitettuna -COOH.
amount-of-matter;['bitumi', 'asfaltti', 'bitumen'];Yleisluontoinen termi, jota käytetään väriltään, kovuudeltaan ja haihtuvuudeltaan vaihtelevista helposti syttyvistä aineista, jotka koostuvat pääasiassa hiilivetyjen yhdistelmistä ja joissa ei käytännössä ole hapettuneita hiukkasia.
amount-of-matter;['lipidi', 'lipoidi', 'lipidit', 'rasva-aine', 'rasva-aineet', 'glycerolipid', 'lipide', 'lipidien', 'lipoid', 'rasva'];Pitkäketjuisia alifaattisia hiilivetyjä sisälvien yhdisteiden ja niiden johdannaisten luokkaan kuuluva molekyyli kuten rasvahapot, alkoholit, amiinit, aminoalkoholit ja aldehydit. näihin lukeutuu vahoja, rasvoja ja johdannaisyhdisteitä.
biological-object;['rakkula', 'iso vesirakkula', 'rakko', 'vesikello', 'vesirakkula', 'bleb', 'ihon haavauma', 'ihon tila', 'ihovaurioita', 'jäkälöityminen', 'kovettuma', 'märkärakkulat', 'rakkuloita', 'vaaleampia'];Pieni ihonalainen nestetasku, joka syntyy kuumuuden, paineen tai tulehduksen seurauksena.
biological-object;['kieli', 'iltti', 'lingua', 'sublinguaalinen', 'kielen', 'glossa'];Suussa oleva monipuolinen ja lihaksikas elin, jota käytetään ruuan liikutteluun, maistamiseen ja jolla eri asentoihin asettamalla ohjataan keuhkoista tulevaa ilmavirtaa erilaisten äänien tuottamiseksi.
biological-object;['saksi', 'kynsi', 'kynnet', 'chela', 'chelae', 'cheliped', 'kynsiä', 'tasapurenta'];Varpaan, sormen tai niveljalkaisten nilkan päästä kasvava käyrä, teräväkärkinen jatke.
biological-object;['muna'];Iso naaraspuolinen sukusolu, jota ympäröi huokoinen ja kalkkinen tai nahkainen kuori ja joita tuottavat linnut ja liskot.
biological-object;['lihas', 'lihaskudos', 'lihaksikas', 'lihaskudoksen', 'lihasmassaa'];Supistumaan kykenevästä kudoksesta muodostuva elin, joka liikuttaa muita elimiä.
biological-object;['omena', 'omppu', 'fibeli', 'fiblari', 'fiblu', 'knibeli', 'snibeli', 'vibeli', 'green apple', 'malus domestica', 'omenat'];Kirpeä, muodoltaan pyöreä omenapuun hedelmä, kuori väriltään yleensä punainen, keltainen tai vihreä, hedelmäliha vaalea, sisällä siemeniä.
