activity;['សង្គ្រាមគ្រីមៀ'];ជម្លោះយោធាមួយក្នុងទស្សវត្តឆ្នាំ១៨៥០
activity;['បដិវត្តន៍ខែតុលា'];ការបះបោររបស់ក្រុមបុលសេវិកនៅក្នុងបដិវត្តន៍រុស្ស៊ីឆ្នាំ១៩១៧
agentive-physical-object;['ត្រកៀតប៉ោង', 'eichhornia crassipes'];អម្បូររុក្ខជាតិ
agentive-physical-object;['ចកបាយទា'];ចក
agentive-physical-object;['ខ្ទឹមស', 'allium sativum'];អម្បូររុក្ខជាតិ
agentive-physical-object;['អំពិលទឹក'];អម្បូររុក្ខជាតិ
agentive-physical-object;['ក្បាច់គិតលេខ', 'ក្បាច់'];ឧបករណ៍គណនាលេខ
amount-of-matter;['ទឹក', 'h₂o'];រូបធាតុគីមី
functional-matter;['ស៊ីម៉ង', 'ស៊ីម៉ងត៍'];សំភារសំណង់
functional-matter;['ពុយមីស'];សិលាភ្នំភ្លើង មានពណ៌ស្រាល និងស្នាមពពុះខ្លាំង
geographical-object;['ទន្លេមេគង្គ', 'ទន្លេមេកុង', 'មេគង្គ', 'mékong', 'ទនេ្លមេគង្គ'];តើទន្លេមេគង្គមានប្រវែងប៉ុន្មានkm
gestalt;['ត្រីកោណកែង', 'ត្រីកោណ កែង'];ត្រីកោណ មានមុំកែង (៩០ ដឺក្រេ) មួយ
locative-role;['ឡូស\u200bអាន់\u200bជ័រ\u200bលេស', 'los angeles', 'ទីក្រុង los angeles'];រដ្ឋនៅក្នុងរដ្ឋកាលីហ្វញ៉ានៃសហរដ្ឋអាមេរិក
locative-role;['សហភាពឥណ្ឌូចិន'];អតីតរដ្ឋសហព័ន្ធនៅអាស៊ីអាគ្នេយ៍
non-physical-collection;['ឧច្ឆេទទិដ្ឋិ'];ទស្សនៈហួសហេតុ
political-geographic-object;['ឡូស\u200bអាន់\u200bជ័រ\u200bលេស', 'los angeles', 'ទីក្រុង los angeles'];រដ្ឋនៅក្នុងរដ្ឋកាលីហ្វញ៉ានៃសហរដ្ឋអាមេរិក
political-geographic-object;['ភ្នំពេញ', 'phnum pénh', 'ភ្នំកំពង់ត្រាច', 'phnom penh', 'ក្រុង ភ្នំពេញ', 'ក្រុង\u200bភ្នំពេញ', 'តាខ្មៅ', 'ទីក្រុងភ្នំពេញ', 'ភំ្នពេញ', 'ភ្នំ ពេញ', 'រាជធានី ភ្នំពេញ', 'រាជធានីភ្នំពេញ', 'រាជធានី\u200bភ្នំពេញ', '\u200bក្រុង\u200bភ្នំពេញ', '\u200bរាជធានីភ្នំពេញ'];រាជធានីនៃព្រះរាជាណាចក្រកម្ពុជា
practice;['សេរីភាព', 'ក្រសាន', 'ធ្យាន'];សន្តិភាព( មិនមែនសេរីភាពទេ)
region;['ចំនួនសនិទាន', 'ℚ'];ចំនួនដែលអាចត្រូវបានបង្ហាញជាផលចែកនៃចំនួនគត់ពីរ។
region;['ចំនួនបឋម', 'ចំនួន បឋម', 'ចំនួន\u200bបឋម'];ចំនួនគត់ធម្មជាតិធំជាងមួយ មានតួចែកគឺ ១ និងខ្លួនឯង
situation;['ភាសាខែ្មរ', 'និកម្មភាព', 'អកម្មភាព'];ភាសាខែ្មរ
socially-constructed-person;['ចូសេហ្វ ហិនរី', 'joseph henry'];អ្នកវិទ្យាសាស្រ្ត ជនជាតិអាមេរិក
socially-constructed-person;['dante gabriel rossetti'];វិគីភីឌា:អសង្ស័យកម្ម
socially-constructed-person;['វ្លាឌីមៀរ អ៊ីលីច លេនីន', 'លេនីន', 'vladimir ilyich lenin', 'vladimir lenin', 'វ្លាឌីមៀរ លេនីន', 'វ្លាឌីមៀរ អ៊ីលីច ឡេនីន', 'វ្លាឌីមៀរ អ៊ីលីច អ៊ូលីយ៉ាណូវ', 'វ្លាឌីមៀរ អ៊ូលីយ៉ាណូវ', 'វ្ល៉ាឌីមៀរអ៊ីឡិចលេនីន', 'ឡេនីន'];អ្នកនយោបាយរុស្ស៊ី, និងជាអ្នករកឃើញសហភាពសូវៀត
socially-constructed-person;['ហ្សូសែហ្វ ស្តាលីន', 'ចូសែហ្វ ស្តាលីន'];មេដឹកនាំសហភាពសូវៀត
temporal-region;['ថ្ងៃសុក្រ', 'ថ្ងៃសុករ', 'ថ្ងៃ សុក្រ'];ថ្ងៃក្នុងសប្តាហ៍
