agentive-physical-object;['pesciu rondina'];Spezia di pesciu
amount-of-matter;['calciu', 'ca'];elementu chimicu
geographical-object;['guadalupa'];dipartimentu è regione di a Francia
language;['lingua danese', 'danesu', 'da', 'dan', 'lingua danesa', 'danese', 'dansk'];Lingua
language;['irlandese', 'gaelicu irlandese'];lingua celtica
language;['cantunese', 'cantonese', 'cantonesu', 'lingua cantunese', 'lingua cantonese'];Gruppu di dialetti ò lingui di a lingua chinese
language;['gaelicu scuzzese', 'gaelicu scuzzesu'];lingua
language;['nurmannu', 'normandu', 'normannu'];lingua rumanica
language;['maori', 'māori'];lingua
language;['lingua àraba', 'arabu', 'àrabu', 'lingua araba'];lingua semìtica
language;['lingua ceca', 'lingua cecca'];Lingua
language;['lingua tedesca', 'tedescu', 'alemanu'];Lingua
language;['neerlandese', 'lingua neerlandese', 'olandese', 'neerlandesu', 'lingua nederlandesa', 'lingua nederlandese', 'lingua nierlandese', 'lingua olandese', 'lingua ulandesa', 'lingua ulandese', 'nederlandese', 'nierlandese', 'ulandese'];Lingua germanica
locative-role;['firenze', 'fiurenza'];Cumuna taliana
locative-role;['pisa'];Cumuna taliana
locative-role;['burgogna'];regione francese
locative-role;['isula di francia', 'île-de-france'];regione francese
locative-role;['genuva', 'gènuva', 'genova', 'ghjenuva', 'ripublica di ghjenuva'];Cumuna taliana
locative-role;['paesi di a loira', 'pays de la loire'];regione francese
locative-role;['turinu', 'torinu', 'torino'];cumuna italiana di a regione di u Piemonte
locative-role;['milanu', 'milano'];Cumuna taliana
political-geographic-object;['firenze', 'fiurenza'];Cumuna taliana
political-geographic-object;['pisa'];Cumuna taliana
political-geographic-object;['mauritania'];Paese di africa
political-geographic-object;['catalunia', 'catalogna', 'catalunya'];cumunità autonoma di a Spagna
political-geographic-object;['germania', 'alemagna', 'alimagna', 'allemagna', 'ghjermania', 'alemannu'];paese di Europa
political-geographic-object;["costa d'avoriu", "republica di a costa d'avoriu", "ripublica di a costa d'avoriu"];statu d'Africa occidentale
political-geographic-object;['senegal', 'republica di u senegal'];statu di l'Africa occidentale
political-geographic-object;['genuva', 'gènuva', 'genova', 'ghjenuva', 'ripublica di ghjenuva'];Cumuna taliana
political-geographic-object;['bassa sassonia', 'niedersachsen'];statu federale (land) di Germania
political-geographic-object;['california'];statu federale di i Stati Uniti d'America
political-geographic-object;['praga'];capitale di a Cecchìa
political-geographic-object;['giacarta', 'ghjacarta'];capitale di l'Indunesia
political-geographic-object;['roma'];Cumuna taliana
political-geographic-object;['turinu', 'torinu', 'torino'];cumuna italiana di a regione di u Piemonte
political-geographic-object;['parighji', 'pariggi', 'parigi', 'lutezia', 'paris'];Capitale di a Francia
political-geographic-object;['tokiu', 'tochiu', 'tochju', 'tōkyō'];Capitale di u Giappone
political-geographic-object;['milanu', 'milano'];Cumuna taliana
political-geographic-object;['perth'];capitale di l'Australia Occidentale
socially-constructed-person;['mahatma gandhi'];Capu puliticu puliticu indianu
