abstract-quality;['personalidade', 'personalidades', 'pessoa', 'temperamento'];Sentir e agir
abstract-region;['limite', 'convergência', 'limite duplo', 'limites', 'sequência convergente', 'sucessão convergente', 'ponto limite', 'limite de pontos', 'ponto de acumulação'];Conceito matemático relacionado com convergência.
abstract-region;['sequência', 'seqüência', 'episódio', 'sequencia'];Termo usado no cinema, com várias acepções.
activity;['métrica', 'medida', 'metro', 'ritmo', 'métrica poética', 'octossílabo', 'medidor quantitativa', 'verso quantitativo'];Um conceito relacionado ao ritmo de um poema.
activity;['batalha de magenta'];Da Segunda Guerra de Independência Italiana
activity;['batalha de tannenberg', 'tannenberg'];Episódio decisivo da Primeira Guerra Mundial.
activity;['batalha de gettysburg', 'picket’s charge'];Ocorrida em Gettysburg, Pensilvânia, de 1 a 3 de julho de 1863.
activity;['damas chinesas'];Um jogo criado na Alemanha no Século XIX e que usa um tabuleiro em forma de estrela de seis pontas.
activity;['curta-metragem', 'curta', 'curtas-metragens', 'curta-metragens', 'curta metragem', 'filme de curta metragem', 'assunto curto', 'curtas de animação', 'filme curto'];Filme de curta duração
activity;['batalha de okinawa', 'campanha de okinawa'];Batalha na ilha de Okinawa teve lugar durante a Segunda Guerra Mundial.
activity;['beijo', 'ósculo', 'osculação', 'selinho', 'filematologia', 'beijar', 'beijoca'];Gesto humano de carinho
activity;['amarelinha', 'jogo da macaca', 'pular macaca'];Jogo tamb ´ me conhecido como sapata
