abstract-region;['ടെൻസർ വിശ്ലേഷണം', 'പ്രദിശം', 'tensor'];പ്രയുക്ത ഗണിതത്തിന്റെ ഒരു ആധുനിക ശാഖ.
abstract-region;['ബഹുപദം', 'polynomial', 'ബഹുപദസമവാക്യം'];ഗണിതശാസ്ത്രത്തിൽ ഒന്നോ അതിലധികമോ പദങ്ങളുടെ ബീജീയ വ്യഞ്ജനം ആണ് ബഹുപദം.
abstract-region;['ദ്വിപദം', 'binomial'];മൗലിക ബീജഗണിതത്തിൽ ദ്വിപദം എന്നാൽ രണ്ട് പദങ്ങളുള്ള ഒരു ബഹുപദമാണ്.
abstract-region;['സദിശ ഗുണകാങ്കം', 'cross product', 'vector product', 'സദിശ ഗുണനം'];അളവുകൾ രണ്ടു തരത്തിൽ വർഗീകരിചിരിക്കുന്നു.
abstract-region;['ലഘുതമ സാധാരണ ഗുണിതം', 'least common multiple', 'ല.സാ.ഗു.', 'ല.സാ.ഘു.', 'ല സാ ഗു', 'ലഘുതമസാധാരണഗുണിതം', 'ലസാഗു'];രണ്ടു സംഖ്യകളുടെ പൊതുഗുണിതങ്ങളിൽ ഏറ്റവും ചെറിയ സംഖ്യയെയാണ്‌ ലഘുതമ സാധാരണ ഗുണിതം അഥവാ ല.സാ.ഗു.
activity;['റഗ്\u200cബി', 'rugby football'];പ്രധാനമായും ബ്രിട്ടണിൽ പ്രചാരത്തിലുള്ള ഒരു പ്രത്യേകതരം ഫുട്ബോൾ കളിയാണ് റഗ്‌ബി.
activity;['അക്യുപങ്ചർ', 'acupuncture'];അക്യുപങ്‌ചർ ഒരു ബദൽ ചികിത്സാരീതിയാണ്, പരമ്പരാഗത ചൈനീസ് ചികിസ്താരീതിയുടെ ഒരു പ്രധാന ഘടകമാണ് ഇത്.
activity;['ഇ-മെയിൽ', 'ഇലക്ട്രോണിക് മെയിൽ', 'e-mail', 'email', 'ഇമെയിൽ', 'ഇലക്ട്രോണിക്-മെയിൽ', 'ഈമെയിൽ'];ഇലക്ട്രോണിക് മെയിൽ എന്നതിന്റെ ചുരുക്കപ്പേരാണ് ഇ-മെയിൽ.
activity;['ഡെസ്ക്ടോപ്പ്\u200c പബ്ലിഷിങ്', 'd.t.p', 'desk top publishing', 'dtp', 'ഡിറ്റിപി', 'ഡെസ്ക് റ്റോപ് പബ്ലിഷിങ്', 'ഡെസ്ക് റ്റോപ് പബ്ളിഷിങ്'];കംപ്യൂട്ടർ, ലേസർ പ്രിന്റർ, വിവിധതരം സോഫ്റ്റ്‌വേർ എന്നിവയുടെ സഹായത്തോടെ പേജുകൾ തയ്യാറാക്കി അച്ചടിക്കുന്ന രീതിയാണ്‌ ഡെസ്ക് ടോപ്പ് പബ്ലിഷിംങ് ഇത് ഡിറ്റിപി എന്ന ചുരുക്കപ്പേരിലും അറിയപ്പെടുന്നു.
activity;['മോഡുലേഷൻ', 'മോഡുലനം', 'modulation'];റേഡിയോ പ്രക്ഷേപണത്തിനായി സന്ദേശ തരംഗങ്ങളെ വാഹക തരംഗങ്ങളുമായി കൂട്ടിയിണക്കുന്ന പ്രക്രിയയാണ് മോഡുലനം അഥവാ സ്വരസംക്രമം എന്നറിയപ്പെടുന്നത്.
activity;['ട്രോജൻ യുദ്ധം', 'trojan war'];ഗ്രീക്കുകാർ ട്രോയിക്കെതിരെ നടത്തിയ യുദ്ധത്തെയാണ് ട്രോജൻ യുദ്ധമായി ഗ്രീക്ക് പുരാണത്തിൽ പരാമർശിക്കുന്നത്.
activity;['വെയ്ക്കി', 'go', 'go game', 'ഗോ കളി'];2000 വർഷങ്ങൾക്ക് മുൻപ് ചൈനയിൽ ഉടലെടുത്ത ഒരു പലകക്കളത്തിൽ കളിക്കുന്ന കളിയാണ് വെയ്ക്കി അല്ലെങ്കിൽ ഗൊ ‌.
activity;['ടോമോഗ്രാഫി', 'tomography', 'ടോമോഗ്രഫി'];തുളച്ചു കയറാൻ കഴിവുള്ള തരംഗങ്ങൾ ഉപയോഗിച്ച് പാളികൾ അല്ലെകിൽ ഖണ്ഡം തിരിച്ചു പ്രതിച്ഛായ ഉണ്ടാകുന്ന രീതി ആണ് ടോമോഗ്രാഫി.
activity;['ചുഴലിക്കാറ്റ്', 'ചക്രവാതം', 'സൈക്ലോൺ', 'cyclone'];ശക്തമായ കാറ്റും പേമാരിയും സൃഷ്ടിച്ചുകൊണ്ട് ഒരു ന്യൂനമർദ്ദ കേന്ദ്രത്തിനുചുറ്റും ചുഴറ്റിനിൽക്കുന്ന കൊടുങ്കാറ്റുകളുടെ ഒരു കൂട്ടമാണ് ചുഴലിക്കാറ്റ്.
activity;['വൃത്തം', 'meter', 'കവിതകളും അവയുടെ വൃത്തങ്ങളും'];ഛന്ദശ്ശാസ്ത്രമനുസരിച്ച്, അക്ഷരങ്ങളെയോ മാത്രകളെയോ അടിസ്ഥാനമാക്കി പദ്യം നിർമ്മിക്കുന്ന തോതാണ് വൃത്തം.
activity;['കുരിശിന്റെ വഴി', 'stations of the cross', 'കുരിശിൻ്റെ വഴി', 'സ്ലീവാ പാത'];യേശു ക്രിസ്തുവിന്റെ പീഡാനുഭവത്തെയും കുരിശുമരണത്തെയും അനുസ്മരിക്കുന്ന പ്രാർത്ഥനാ സമാഹാരമാണ് കുരിശിന്റെ വഴി അഥവാ സ്ലീവാ പാത.
activity;['ടാനൻബർഗ് യുദ്ധങ്ങൾ', 'battle of tannenberg'];ബാൾട്ടിക് തീരത്തിനടുത്ത് ടാനൻബർഗ് എന്ന സ്ഥലത്തു നടന്ന ചരിത്ര പ്രാധാന്യമുള്ള രണ്ടു യുദ്ധങ്ങളാണ് ടാനൻബർഗ് യുദ്ധങ്ങൾ.
activity;['ബാക് ഗാമോൺ', 'backgammon', 'ബാക്ക് ഗമോൺ'];രണ്ട് കളിക്കാർ കളിക്കുന്ന ഒരു പലകക്കളിയാണ് ബാക് ഗാമോൺ.
activity;['ഷോർട്ട്ഫിലിം', 'short film'];ഒരു ഫീച്ചർ സിനിമയുടെ അത്ര നീളം ഇല്ലാത്ത ചെറിയ ചലച്ചിത്രങ്ങളെ ഷോർട്ട് ഫിലിം എന്ന് പറയുന്നു.ഷോർട്ട് ഫിലിമിൻറെ സമയദൈർഘ്യത്തെ കുറിച്ചു പൊതുസമ്മതമായ ഒരു അളവുകോൽ ഒന്നും ലഭ്യമല്ല.
activity;['റമ്മി', 'rummy'];രണ്ടോ അതിലധികമോ ആളുകൾക്ക് കളിക്കാവുന്ന ഒരു ചീട്ടുകളിയാണ് റമ്മി.
activity;['ചുംബനം', 'ഉമ്മ', 'മുത്തം', 'kiss'];ചുംബനം എന്നത് ചുണ്ട് കൊണ്ടുള്ള സപർശനം ആണ്‌.
activity;['സ്ഥൈര്യലേപനം', 'confirmation'];കത്തോലിക്കാസഭയിലെ കൂദാശകളിലൊന്നാണ് സ്ഥൈര്യലേപനം.
activity;['കാർബൺ പഴക്കനിർണ്ണയം', 'radiocarbon dating', 'കാർബൺ ഡേറ്റിങ്', 'carbon dating', 'കാർബൺ ഡേയ്റ്റിങ്ങ്', 'കാർബൺ ഡേറ്റിംഗ്'];പുരാതനമായ ഫോസിലുകളുടെ കാലപ്പഴക്കം നിർണ്ണയിക്കുന്നതിനുള്ള ഒരു രീതിയാണിത്.
activity;['ഒളിച്ചുകളി', 'hide-and-seek', 'hide and seek'];ലോകമാകമാനം കുട്ടികൾ കളിക്കുന്ന ഒരു കളിയാണ് ഒളിച്ചുകളി.
activity;['വോട്ട്', 'voting', 'സമ്മതിദാനം', 'vote'];പൊതുവായ ഒരു തീരുമാനം ഉണ്ടാക്കുവാനോ ഒന്നിലധികം ആൾക്കാരിൽ നിന്നും ഒരാളെയൊ ഒന്നിലധികം ആൾക്കാരെയോ തെരഞ്ഞെടുക്കുവാനോ വേണ്ടിയോ അല്ലെങ്കിൽ ഒരുകൂട്ടം ആൾക്കാർ പ്രത്യേകപദവിയിലേക്ക് ഒരാളെ ഒരു കൂട്ടം ആളുകളിൽ നിന്നും ഭൂരിപക്ഷസമ്മതപ്രകാരം ഒരാളെയൊ അല്ലെങ്കിൽ ആളുകളെയൊ തെരഞ്ഞെടുക്കുന്ന പ്രക്രിയയാണ് വോട്ടെടുപ്പ്.
activity;['സർ\u200cക്കസ്', 'circus', 'സർക്കസ്'];പരിശീലനം ലഭിച്ച മൃഗങ്ങളുടെയും പക്ഷികളുടെയും പ്രദർശനം, സൈക്കിൾ അഭ്യാസ പ്രകടനങ്ങൾ, സംഗീതജ്ഞർ, നർത്തകർ, മാന്ത്രികന്മാർ, അതുപോലെ മറ്റ് വസ്തു കൌശലങ്ങൾ, സ്റ്റണ്ട്-ഓറിയെന്റഡ് എന്നിവ ഉൾപ്പെടെയുള്ള പ്രകടനങ്ങളുമായി വിവിധ വിനോദ പരിപാടികൾ അവതരിപ്പിച്ച് നാടുനീളം സഞ്ചരിക്കുന്ന സംഘത്തെയാണ് സർക്കസ് എന്നു സാധാരണയായി പ്രതിപാദിക്കുന്നത്.
activity;['കടൽ\u200cക്കാറ്റ്'];പകൽ‌സമയത്ത് കടലിൽ‌നിന്നും കരയിലേയ്ക്ക് വീശുന്ന കാറ്റാണ് കടൽ‌ക്കാറ്റ്.
activity;['പ്രാഥമിക ഓഹരി വിൽപ്പന'];നിലവിൽ ഒരു സ്റ്റോക്ക് എക്സ്ചേഞ്ചിലും ലിസ്റ്റ് ചെയ്യപ്പെടാത്ത ഒരു കമ്പനി പൊതുജനങ്ങൾക്ക് ആദ്യമായി ഓഹരികളുടെ പുതിയ ഇഷ്യൂ ആയോ അല്ലെങ്കിൽ നിലവിലുള്ള ഓഹരികൾ വിൽക്കുന്നതിനായോ അല്ലെങ്കിൽ രണ്ടിനും കൂടിയോ വിൽപ്പന വാഗ്ദാനം നടത്തുന്നതാണ് പ്രാഥമിക ഓഹരി വിൽപ്പന അഥവാ എന്ന് പറയുന്നത്.
activity;['ടാപ് നൃത്തം', 'tap dance'];ഒരു അമേരിക്കൻ തിയെറ്റർ നൃത്തമാണ് ടാപ് നൃത്തം.
activity;['അനുഷ്ഠാനനൃത്തങ്ങൾ', 'ceremonial dance'];മതപരമോ സാമൂഹികമോ ആയ സംഭവങ്ങളുമായി ബന്ധപ്പെട്ട ആഘോഷങ്ങൾക്ക് അനുപേക്ഷണീയമായ ഒരു ചടങ്ങായി നടത്തുന്ന നൃത്തവിശേഷമാണ് അനുഷ്ഠാനനൃത്തങ്ങൾ.
activity;['മാമോഗ്രഫി', 'mammography'];എക്സ്റേ ഉപയോഗിച്ചു നടത്തുന്ന ഒരു സ്തനരോഗനിർണ്ണയ അല്ലെകിൽ സ്തനരോഗ സാധ്യത പഠന പരിശോധനയാണ് മാമോഗ്രഫി.
activity;['ഇറാൻ-ഇറാഖ് യുദ്ധം', 'iran–iraq war'];ഇറാനും ഇറാഖും തമ്മിൽ 1980 സെപ്റ്റംബർ 2ന് ആരംഭിച്ചു എട്ടുവർഷം നീണ്ട യുദ്ധമായിരുന്നു ഇറാൻ-ഇറാഖ് യുദ്ധം.
activity;['തെർമോപ്പിലി യുദ്ധം', 'battle of thermopylae'];സ്പാർട്ടയിലെ രാജാവ് ലിയോണിഡാസ് ഒന്നാമന്റെ നേതൃത്വത്തിലുള്ള ഗ്രീക്ക് നഗരം-സംസ്ഥാനങ്ങളും സെർക്സീസ് ഒന്നാമന്റെ അക്കീമെനിഡ് സാമ്രാജ്യവും തമ്മിലുള്ള യുദ്ധമാണ് തെർമോപ്പിലി.
activity;['നിരാഹാര സമരം', 'hunger strike'];രാഷ്ട്രീയ പ്രതിഷേധം എന്ന നിലയിലോ മറ്റുള്ളവരിൽ കുറ്റബോധം ജനിപ്പിക്കുക എന്ന ഉദ്ദേശത്തോടെയോ ഒരു പ്രത്യേക ലക്ഷ്യം സാധിക്കുക എന്ന ലക്ഷ്യത്തോടെ ആഹാരം ഉപേക്ഷിച്ചു ചെയ്യുന്ന സമാധാനപരമായ ഒരു സമരമുറയാണ് നിരാഹാര സമരം.
activity;['ഫുട്ബോൾ', 'ഫുട്ബോള്\u200d', 'കാൽപന്തുകളി', 'association football', 'football', 'soccer', 'അസ്സോസ്സിയേഷൻ ഫുട്ബോൾ', 'കാല്പന്തുകളി', 'ഫുട്\u200cബോൾ'];ലോകത്തിൽ ഏറ്റവും കൂടുതൽ ജനപ്രിയതയുള്ള കായിക വിനോദമാണ്‌ കാൽപന്തുകളി അഥവാ ഫുട്ബോൾ.
activity;['ചലച്ചിത്രം', 'film', 'ചലച്ചിത്രങ്ങൾ', 'സിനിമ', 'സിനിമകൾ'];നിശ്ചലചിത്രങ്ങളുടെ ഒരു ശ്രേണിയെ വളരെ പെട്ടെന്നു മാറ്റി മാറ്റി കാണിക്കുന്നതു വഴി ചലിക്കുന്ന ചിത്രങ്ങൾ സൃഷ്ടിക്കുന്ന ദൃശ്യ കലാരൂപമാണ് ചലച്ചിത്രം.
activity;['ബ്രേക്ക്\u200c ഡാൻസ്', 'b-boying', 'break dance'];ഹിപ് ഹോപ്‌ സംസ്ക്കാരത്തിന്റെ ഭാഗമായി അമേരിക്കയിലെ ആഫ്രോ അമേരിക്കൻ, ലാറ്റിനോ വംശജരായ ചെറുപ്പക്കാർ അവതരിപ്പിച്ചു തുടങ്ങിയ ഒരു തെരുവ് നൃത്ത രീതിയാണ് ബ്രേക്ക്‌ ഡാൻസ്, ബി ബോയിംഗ് അഥവാ ബ്രേക്ക് ഡാൻസിംഗ്.
activity;['റാപ്പ്', 'hip hop', 'hip hop music'];താളാത്മകമായി അർത്ഥത്തോടെ വാക്കുകൾ അടുത്തടുത് കോർത്തിണക്കി സംസാര ശൈലിയിൽ ഡ്രം ബീറ്റ് കൾക്കൊപ്പം ഹിപ് ഹോപ്‌ രീതിയിൽ അവതരിപ്പിക്കുന്ന പാശ്ചാത്യ കലാരൂപമാണ്‌ റാപ്പ് സംഗീതം അല്ലെങ്കിൽ ഹിപ് ഹോപ്‌ സംഗീതം.
activity;['ചെസ്സ്', 'chess', 'ചെസ്'];രണ്ടുപേർ തമ്മിൽ കളിക്കുന്ന ഒരു കളിയാണ് ചെസ്സ്.
activity;['പെഴ്സണൽ കമ്പ്യൂട്ടർ ഗെയിം', 'പിസി ഗെയിം', 'personal computer game', 'video game', 'കമ്പ്യൂട്ടർ ഗെയിം'];ഒരു പെഴ്സണൽ കമ്പ്യൂട്ടർ ഗെയിം എന്നാൽ പെഴ്സണൽ കമ്പ്യൂട്ടറിൽ കളിക്കാവുന്ന ഒരു വീഡിയോ ഗെയിം ആണ്.
activity;['വാട്ടർ പോളോ', 'water polo'];വെള്ളത്തിൽ കളിക്കുന്ന ഒരു കളിയാണ് വാട്ടർ പോളോ.
activity;['സ്ക്വാഷ്', 'squash'];രണ്ടോ നാലോ പേർ നാലുവശവും ചുവരുള്ള കോർട്ടിൽ റാക്കറ്റും പൊള്ളയായ റബ്ബർ പന്തും ഉപയോഗിച്ചു കളിക്കുന്ന കായിക വിനോദമാണ്‌ സ്ക്വാഷ്.
activity;['ബാസ്ക്കറ്റ്ബോൾ', 'ബാസ്ക്കറ്റ്ബോള്', 'basket ball', 'basketball', 'ബാസ്ക്കറ്റ് ബോൾ'];ദീർഘചതുരാകൃതിയിലുള്ള കളിക്കളത്തിൽ അഞ്ചുപേർ വീതമുള്ള രണ്ടു ടീമുകൾ കളിക്കുന്ന കായിക വിനോദമാണ് ബാസ്ക്കറ്റ്ബോൾ.
activity;['ബാഡ്മിന്റൺ', 'badminton', 'ഷട്ടിൽകോക്ക്'];റാക്കറ്റ് ഉപയോഗിച്ച് കളിക്കുന്ന ഒരു കായികവിനോദമാണ് ബാഡ്മിന്റൺ.
activity;['ഗോൾഫ്', 'golf', "ഗോൾഫ്'"];ഒരു കായിക വിനോദമാണ് ഗോൾഫ്.
activity;['ഐസ് ഹോക്കി', 'ice hockey'];ഐസ് പ്രതലത്തിൽ വടിയുപയോഗിച്ചുള്ള ഒരു പന്തുകളിയാണ് ഐസ് ഹോക്കി.
activity;['ക്രിക്കറ്റ്', 'cricket', 'ക്രിക്കറ്റ്\u200c'];പതിനൊന്നുപേർ വീതമുള്ള രണ്ടു ടീമുകൾ കളിക്കുന്ന സംഘകായിക വിനോദമാണു ക്രിക്കറ്റ്.
