abstract-quality;['προσωπικότητα', 'ατομικότητα'];Προσωπικότητα είναι το σύνολο των ιδιαίτερων ψυχικών και πνευματικών χαρακτηριστικών και των τρόπων συμπεριφοράς ενός ατόμου.
abstract-region;['τανυστής', 'tensor ανάλυση', 'τανυστές'];Oι τανυστές είναι γεωμετρικά αντικείμενα που μπορούν να θεωρηθούν ως γενικευμένα διανύσματα.
abstract-region;['πολυώνυμο', 'πολυωνυμική συνάρτηση', 'πολυώνυμα', 'multinomial', 'πολυώνυμο έκφραση'];Στα μαθηματικά, τα πολυώνυμα είναι η απλούστερη τάξη μαθηματικών εκφράσεων.
abstract-region;['όριο', 'περιορίσει σημείο', 'σημείο συσσώρευσης'];Με τον όρο «όριο» στα Μαθηματικά, νοείται η διαρκής προσέγγιση ενός σημείου ή, διαφορετικά, η διαρκής μείωση μιας απόστασης, χωρίς όμως ποτέ αυτή να μηδενίζεται.
abstract-region;['γινόμενο', 'προϊόν', 'μαθηματικό γινόμενο'];Το γινόμενο είναι το αποτέλεσμα του πολλαπλασιασμού ενός συνόλου αριθμών.
abstract-region;['τυχαία μεταβλητή', 'μεταβλητή ευκαιρία', 'περιγραφικές', 'στοχαστική μεταβλητή', 'τυχαία περιγραφικές', 'τυχαίες μεταβλητές'];Στη θεωρία πιθανοτήτων, μια τυχαία μεταβλητή είναι μια μεταβλητή που η τιμή της υπόκειται σε διακυμάνσεις λόγω τύχης.
abstract-region;['γινόμενο διανυσμάτων', 'διανυσματικό γινόμενο', 'διασχίζουν το προϊόν', 'προϊόν διάνυσμα', 'προϊόν φορέα'];Στα μαθηματικά, το εξωτερικό γινόμενο, ή αλλιώς διανυσματικό γινόμενο είναι μια δυαδική λειτουργία, σε δύο διανύσματα στον τρισδιάστατο χώρο και παριστάνονται με το σύμβολο ×.
abstract-region;['πολλαπλάσιο', 'πολλαπλούς'];Στα μαθηματικά, το πολλαπλάσιο είναι το γινόμενο οποιασδήποτε ποσότητας και ενός ακέραιου αριθμού.
abstract-region;['ελάχιστο κοινό πολλαπλάσιο', 'εκπ', 'lcm'];Το Ελάχιστο κοινό πολλαπλάσιο
abstract-region;['σειρές fourier', 'σειρές φουριέ', 'σειρά fourier', 'σειρά φουριέ', 'σειρών fourier', 'συντελεστές fourier', 'συντελεστής fourier'];Στα μαθηματικά, μια σειρά Fourier είναι ένας τρόπος για να περιγραφεί ένα κύμα που μοιάζει να λειτουργεί ως ένας συνδυασμός απλών ημιτονοειδών κυμάτων.
activity;['ράγκμπι', 'ράγκμπι φούτμπολ', 'ράγκμπυ', 'rugger'];Το ράγκμπι ή ράγκμπι φούτμπολ αποτελεί μία μορφή ποδοσφαίρου που αναπτύχθηκε στο δημόσιο σχολείο του Ράγκμπι στο Γουόρικσιρ, ως μία από τις πολλές παραλλαγές του ποδοσφαίρου που παίχτηκαν σε δημόσια σχολεία της Αγγλίας τον 19ο αιώνα.
activity;['σιάτσου', 'acupressure', 'accupressure', 'g-jo'];Το σιάτσου είναι μια μέθοδος χειρομάλαξης που ενισχύει την ευεξία.
activity;['βελονισμός', 'stylostixis'];Βελονισμός ονομάζεται μια μέθοδος εναλλακτικής ιατρικής η οποία κατατάσσεται στις ψευδοεπιστήμες.
activity;['ηλεκτρονικό ταχυδρομείο', 'ηλ. ταχ.', 'e-mail', 'email', 'ηλεκτρονική αλληλογραφία', 'αλληλογραφίας internet'];Το ηλεκτρονικό ταχυδρομείο είναι μια Υπηρεσία του Διαδικτύου, η οποία επιτρέπει τη συγγραφή, αποστολή, λήψη και αποθήκευση μηνυμάτων με χρήση ηλεκτρονικών συστημάτων τηλεπικοινωνιών.
activity;['παραγωγή'];Γενικά στην οικονομία με τον όρο παραγωγή χαρακτηρίζεται η δημιουργία αγαθών, ή υπηρεσιών και η αύξηση της χρησιμότητας αυτών στην ικανοποίηση των ανθρώπινων αναγκών.
activity;['διαμόρφωση σήματος', 'διαμόρφωση', 'orthogonal frequency division multiplexing', 'αναλογικές διαμορφώσεις', 'αναλογική διαμόρφωση', 'ψηφιακές διαμορφώσεις', 'διαμορφωτή'];Στον τομέα των ηλεκτρονικών διαμόρφωση είναι η διαδικασία της αλλαγής ενός ή περισσότερων χαρακτηριστικών μιας περιοδικής κυματομορφής υψηλής συχνότητας, οριζόμενο ως φέρον σήμα, βάσει ενός άλλου αυξομειούμενου σήματος.
activity;['αντιπλημμυρικός έλεγχος', 'τον έλεγχο των πλημμυρών', 'προστασία από τις πλημμύρες', 'πρόληψη των πλημμυρών'];Αντιπλημμυρικός έλεγχος είναι μια μέθοδος που χρησιμοποιείται για να μειωθούν ή να αποτραπούν οι επιζήμιες επιπτώσεις των νερών της Πλημμύρας.
activity;['εξέγερση των χωρικών', 'εξέγερση του γουάτ τάιλερ', 'μεγάλος ξεσηκωμός', 'εξέγερση αγροτών', 'μεγάλη επανάσταση'];Η Εξέγερση των Χωρικών, γνωστή επίσης ως η Εξέγερση του Ουάτ Τάιλερ ή η Μεγάλη Εξέγερση, ήταν μια μείζονα εξέγερση σε μεγάλα τμήματα της Αγγλίας το 1381.
activity;['τρωικός πόλεμος', 'τρωϊκός πόλεμος'];Ο Τρωικός Πόλεμος ήταν μία δεκαετής, εμφύλια πολεμική σύγκρουση ανάμεσα στους Έλληνες, με αντίπαλα στρατόπεδα τους Αχαιούς και τους Τρώες.
activity;['γκο', 'πηγαίνετε παιχνίδι'];Το γκο είναι ένα στρατηγικό επιτραπέζιο παιχνίδι που ξεκίνησε από την Κίνα.
activity;['σόγκι', 'shogi'];Το σόγκι ή σ'οόγκι ],είναι το παραδοσιακό ιαπωνικό σκάκι.
activity;['αγωγή', 'δικαστική υπόθεση', 'μήνυση', 'δίκη', 'δοκιμή', 'δοκιμασία', 'εξέταση', 'υπόθεση', 'causa', 'αγωγές', 'αιτία', 'αιτιότητα', 'αιτιώδη', 'αστική αγωγή', 'αστική υπόθεση', 'διαδίκων', 'μήνυσε', 'νομική διαμάχη', 'νομική υπόθεση', 'περίπτωση', 'σύστημα αιτία'];Αγωγή είναι το κύριο ένδικο βοήθημα με το οποίο ζητεί κάποιος να υπαχθεί μια διαφορά προς επίλυση στα πολιτικά δικαστήρια.
activity;['αριθμός', 'γραμματικός αριθμός', 'paucal', 'τον αριθμό'];Τα πτωτικά μέρη του λόγου, δηλαδή αυτά που κλίνονται απαντώνται συνήθως σε δύο αριθμούς : Όταν μιλούμε για ένα πράγμα, χρησιμοποιείται ενικός αριθμός,.
activity;['πεδίο χαμηλού βαρομετρικού', 'κυκλώνας', 'περιδινητής', 'βαρομετρικό χαμηλό', 'χαμηλό βαρομετρικό', 'κυκλωνική', 'κυκλώνα', 'κυκλώνες'];Το πεδίο χαμηλού βαρομετρικού ορίζεται ως μια περιοχή όπου επικρατούν χαμηλότερες τιμές ατμοσφαιρικής πίεσης από τις γειτονικές περιοχές.
activity;['αντικυκλώνας', 'πεδίο υψηλού βαρομετρικού', 'υψηλό βαρομετρικό', 'βαρομετρικό υψηλό', 'αντι-κυκλώνα', 'αντικυκλωνικές', 'αντικυκλώνα', 'αντικύκλωνας'];Το πεδίο υψηλού βαρομετρικού ορίζεται ως μια περιοχή όπου επικρατούν υψηλότερες τιμές ατμοσφαιρικής πίεσης από τις γειτονικές περιοχές.
activity;['μέτρο', 'μετρική', 'ποιητικό μέτρο', 'ποσοτικό μέτρο'];Μετρική λέγεται η επιστήμη που εξετάζει και ερευνά τους νόμους και τους κανόνες που διέπουν τη στιχουργική τέχνη.
activity;['οσιοποίηση', 'αγιοποίηση', 'οσία'];Η οσιοποίηση είναι μια αναγνώριση που παρέχεται από την Καθολική Εκκλησία της εισόδου ενός αποθανόντος προσώπου στον Παράδεισο και την ικανότητα να μεσολαβήσει για λογαριασμό των ατόμων που προσεύχονται στο όνομά του.
activity;['μεξικανική επανάσταση'];Η Μεξικανική Επανάσταση, γνωστή και ως Μεξικανικός Εμφύλιος Πόλεμος, ήταν ένας μεγάλος ένοπλος αγώνας που διήρκεσε περίπου από το 1910 έως το 1920 και άλλαξε ριζικά την μεξικάνικη κουλτούρα και την κυβέρνηση.
activity;['βαλς', 'χορεύω'];Το βαλς είναι δυτικός χορός για ζευγάρια σε ρυθμό 3/4.
activity;['χειλικό βάλσαμο', 'lip balm', 'βάλσαμο για τα χείλη'];Το βάλσαμο χειλιών ή βάλσαμο για τα χείλη
activity;['μάχη της ισσού', 'ισσός', 'ίσσος'];Πόλη της Κιλικίας, κοντά στην τοποθεσία της μεγάλης μάχης μεταξύ του Δαρείου Γ και του Αλέξανδρου το 333 π.Χ., από την οποία ο Δαρείος τράπηκε σε φυγή αφήνοντας την γυναίκα του και άλλα μέλη της άμεσης οικογένειας του του ως αιχμαλώτους στα χέρια του Αλέξανδρου.
activity;['μάχη της ισσού', 'ισσός', 'ίσσος'];Η Μάχη της Ισσού ήταν η σημαντική μάχη που έδωσε ο Αλέξανδρος Γ΄ το 333 π.Χ. στο στενό που διαμορφωνόταν εκείνη την εποχή μεταξύ όρους Ἁμανός και Ισσικού κόλπου, κοντά στις Κιλίκιες πύλες, κατά του Δαρείου Γ' μεγάλου βασιλέα της αυτοκρατορίας των Αχαιμενιδών.
activity;['μάχη της ιψού', 'ιψό'];Η μάχη της Ιψού ήταν μάχη της εποχής των Διαδόχων του Μ. Αλεξάνδρου, η οποία δόθηκε στην περιοχή της Φρυγίας, στη Μικρά Ασία.
activity;['μάχη της ματζέντα', 'μάχη της magenta'];Η Μάχη της Ματζέντα έλαβε χώρα στις 4 Ιουνίου 1859 κατά την διάρκεια του Δεύτερου Ιταλικού Πόλεμου της Ανεξαρτησίας, με αποτέλεσμα τη νίκη της Γαλλίας-Σαρδηνίας, υπό τις διαταγές του Ναπολέοντα Γ΄, ενάντια στην Αυστριακή Αυτοκρατορία.
activity;['καυδιανά δίκρανα', 'caudine forks'];Τα Καυδιανά δίκρανα είναι μια στενωπός στη Σαμνίτιδα, στην Ιταλία, ανάμεσα στις απόκρημνες πλαγιές δυο ορέων της οροσειράς των σαμνιτικών Απεννίνων, κοντά στην πόλη Καύδιον.
activity;['μάχη του μαραθώνα'];Η Μάχη του Μαραθώνα, που διεξήχθη τον Αύγουστο ή τον Σεπτέμβριο του 490 π.Χ, αποτελεί σύγκρουση μεταξύ των Ελλήνων και των Περσών κατά την πρώτη εισβολή των Περσών στην Ελλάδα.
activity;['μάχη του τευτοβούργιου δρυμού', 'μάχη του βάρου', 'teutoburger wald', 'μάχη του teutoburger wald'];Μάχη του Τευτοβούργιου Δρυμού ονομάζεται η σύγκρουση ανάμεσα σε γερμανικά φύλα και τον ρωμαϊκό στρατό, η οποία έλαβε χώρα το Σεπτέμβριο του 9 μ.Χ. Επικεφαλής των πρώτων ήταν ο Αρμίνιος και των δεύτερων ο Πόπλιος Κουϊντίλιος Βάρος.
activity;['μάχη του βαγκράμ', 'βάγκραμ', 'η μάχη του βάγκραμ', 'μάχη του wagram'];Η μάχη του Βαγκράμ ήταν μια από τις πιο σημαντικές στρατιωτικές συγκρούσεις των Ναπολεόντειων Πολέμων και αποτέλεσε μια αποφασιστική νίκη για την "Μεγάλη Στρατιά" του Ναπολέοντα Α΄ της Γαλλίας εναντίον του αυστριακού στρατού υπό τη διοίκηση του αρχιδούκα Κάρολου.
activity;['μάχη του ροκρουά', 'rocroi', 'μάχη rocroi'];Η Μάχη του Ροκρουά στις 19 Μαΐου 1643 ήταν μια σημαντική πολεμική σύγκρουση που κατέληξε στη νίκη του γαλλικού στρατού υπό τον Δούκα ντ΄ Ανγκιέν εναντίον του Ισπανικού Στρατού υπό τον στρατηγό Φρανθίσκο δε Μέλο, μόλις πέντε μέρες μετά την ανάρρηση του Λουδοβίκου ΙΔ΄ στο θρόνο της Γαλλίας, προς το τέλος του Τριακονταετή Πολέμου.
activity;['μάχη του μπόιν', 'μάχη του μπόυν', 'boyne', 'μάχη του boyne'];Η Μάχη του Μπόιν διεξήχθη το 1690 μεταξύ των δύο αντίπαλων διεκδικητών των θρόνων της Αγγλίας, της Σκωτίας και της Ιρλανδίας - του Καθολικού Ιακώβου Ζ΄ και Β΄ και του Προτεστάντη Γουλιέλμου Γ΄ και Β΄ - πέρα από τον Ποταμό Μπόιν, κοντά στην Ντρόεντε, στην ανατολική ακτή της Ιρλανδίας.
activity;['μάχη του τάνενμπεργκ', 'η μάχη του τάνενμπεργκ', 'τάνενμπεργκ', 'μάχη του τάννενμπεργκ', 'tannenberg', 'μάχη του tannenberg'];Η μάχη του Τάνενμπεργκ διαδραματίστηκε στο ανατολικό μέτωπο του Α' παγκοσμίου πολέμου, κοντά στην πόλη Άλλενστάϊν της τότε Πρωσίας που σήμερα ανήκει στο έδαφος της Πολωνίας.
activity;['μάχη του βερντέν', 'βερντέν'];Η μάχη του Βερντέν ήταν μια από τις κρισιμότερες μάχες του Α' παγκόσμιου πόλεμου και έλαβε χώρα στο δυτικό μέτωπο.
activity;['μάχη του γκέτισμπεργκ', 'μάχη του γκέττυσμπεργκ', 'μάχη του gettysburg'];Η Μάχη του Γκέτισμπεργκ, που έλαβε χώρα μέσα και γύρω από την πόλη του Γκέτισμπεργκ, ως μέρος της Εκστρατείας του Γκέτισμπεργκ, ήταν η μάχη με τον μεγαλύτερο αριθμό απωλειών στον Αμερικανικό Εμφύλιο Πόλεμο.ΟΙ δυο αντιμαχόμενες πλευρές συναντήθηκαν την 1η Ιουλίου και η σύγκρουση διήρκεσε ως την 3η Ιουλίου 1863.
activity;['ενδοτροπική ζώνη σύγκλισης'];Η ενδοτροπική ζώνη σύγκλισης είναι ζώνη της Γης γύρω από τον ισημερινό όπου συγκλίνουν οι θερμοί και υγροί αληγείς άνεμοι των δύο ημισφαιρίων.
activity;['τάβλι'];Το τάβλι είναι επιτραπέζιο παιχνίδι για δύο παίκτες, παραλλαγή του οποίου είναι το δυτικό τάβλι.
activity;['ταινία μικρού μήκους', 'μικρού μήκους ταινία', 'δύο reeler', 'κινουμένων σχεδίων μικρού μήκους', 'σύντομο θέμα', 'ταινίες μικρού μήκους'];Ταινία μικρού μήκους λέγεται το κινηματογραφικό έργο μικρής διαρκείας, ανεξαρτήτως του περιεχομένου του ή του καλλιτεχνικού του είδους.
activity;['μάχη της οκινάουα', 'okinawa εκστρατεία'];Η Μάχη της Οκινάουα είναι πολεμική σύγκρουση που έλαβε χώρα κατά τη διάρκεια του Β’ Π.Π. στο πλαίσιο των εχθροπραξιών του Ειρηνικού Ωκεανού, στο ομώνυμο νησί της Ιαπωνίας, μεταξύ ναυτικών - αποβατικών και αεροπορικών δυνάμεων των ΗΠΑ, τις οποίες ενίσχυσαν και Βρετανικές μονάδες από τη μία και Ιαπωνικών στρατιωτικών τμημάτων με τη βοήθεια αεροπορίας αλλά και Ιαπώνων πολιτών, από την άλλη.
activity;['μπακαρά', 'μπακαράς', 'chemin de fer', 'μπακκαράς'];Το Μπακαρά είναι ένα από τα παλαιότερα παιχνίδια καζίνο στον κόσμο.
activity;['φιλί', 'ασπασμός', 'φίλημα', 'φιλιά'];Το φιλί είναι το άγγιγμα των χειλιών σε μια επιφάνεια.
activity;['ντάμα', 'παιχνίδι ντάμα', 'σχέδια'];Η ντάμα είναι επιτραπέζιο παιχνίδι στρατηγικής με πιόνια, που παίζεται με δύο παίκτες.
activity;['ραδιοχρονολόγηση άνθρακα 14', 'ραδιοχρονολόγηση άνθρακα-14', 'ραδιοχρονολόγηση άνθρακα', 'ραδιοχρονολόγηση με άνθρακα', 'ραδιοχρονολόγηση', 'άνθρακα-14 χρονολόγηση', 'χρονολόγηση άνθρακα', 'c14 χρονολόγηση', 'άνθρακα 14 χρονολόγηση', 'άνθρακα χρονολογείται', 'ραδιενεργό άνθρακα χρονολογούνται', 'ραδιόφωνο χρονολόγηση άνθρακα', 'χρονολόγηση c14'];Η ραδιοχρονολόγηση είναι ραδιομετρική μέθοδος χρονολόγησης με τη χρήση του ραδιενεργού άνθρακα-14.
activity;['κρυφτό', 'απόκρυψη-και-επιδιώκει', 'απόκρυψη-και-επιδιώκουν', 'απόκρυψη και πάω να αναζητήσω'];Το κρυφτό ή κρυφτούλι είναι παιδικό ομαδικό παιχνίδι, στο οποίο ο ένας παίκτης της ομάδας προσπαθεί να βρει τους υπόλοιπους οι οποίοι έχουν κρυφτεί.
activity;['κουτσό', 'κουτσο', 'πηδητό'];Το κουτσό είναι ένα παραδοσιακό παιδικό παιχνίδι.
