geographical-object;['ameerikaa kibbaa', 'south america'];Ardii
information-object;['afaan oromoo'];Afaan Oromoo
information-realization;['sheekkoo', 'afoola', 'durdurii', 'oduu durii', 'sheeko sheekko'];Afaan Oromoo
information-realization;['muuziqaa'];Akaakuu aarti sagalee fi callisuu fayyadamuun
locative-role;['ediirne'];Magaalaa Marmara keessaa, Tarkii
method;['dimookiraasii'];Sirna mootummaa kan lammiilen kallattin ykn bakka bu'oota filun qaama bulchiinsa kan yeroo garii "Caalmaan bulchu" jedhamu uummatuu dha
physical-object;['vaakiyuum tuubii'];Meeshaa elektirooniksii
political-geographic-object;['ediirne'];Magaalaa Marmara keessaa, Tarkii
political-geographic-object;['aparthaid', 'appaartaayidii', 'apartheid'];QananiAhmed
political-geographic-object;['bogotá'];Magaalaa guddoo Laatin Amerikaa keessaa
political-geographic-object;['itoophiyaa', 'itoopiyaa'];Odui f odefanno
