activity;['e-pos', 'elektroniese pos', 'epos', 'e-mail', 'eposleser', 'vonkpos', 'e-posse', 'internet pos'];Listado de requeridos
activity;['veldslag van thermopylai', 'slag van thermopylae', 'slag van thermopylai', 'veldslag van thermopylae', 'thermopylae'];Veldslag
activity;['sokker', 'sokkerspeler', 'beserings tyd', 'football association', 'na ekstra tyd', 'oponthoud tyd', 'sokkerspan', 'vereniging sokkerspeler'];Spansport tussen twee spanne wat beskou word as die gewildste sportsoort ter wêreld
activity;['staatsgreep', 'militêre staatsgreep', 'staatsgrepe', 'militêre staatsgreep het het', 'paleis staatsgreep', 'putsch', "staatsgreep-d'etat"];''n snelle politieke handeling waarby ''n persoon of groep op ''n nie-reëlmatige metode mag oor ''n land verkry
activity;['geweld', 'gewelddadige'];Onregmatige gebruik van mag met die uitoefen van fisiese krag
activity;['monetization', 'te'];Wikimedia dubbelsinnigheidsblad
activity;['skubaduik', 'duik', 'scuba-duik', 'scuba duik'];Onderwaterduik met kunslonge
activity;['russiese rewolusie', 'russiese revolusie', 'russiese rewolusie van 1917', 'oktober-rewolusie'];Rewolusionêre omwenteling in Rusland wat die Kommuniste aan die bewind geplaas het
activity;['spektroskopie', 'spektroskopiese analise', 'atoom spektrale lyn', 'atoomspektra', 'elektromagnetiese spektroskopie', 'laser-spektroskopie', 'optiese spektroskopie', 'spectrography', 'spectroscopist', 'spektrografiese ontleding', 'spektrometrie', 'spektroskopiese', 'spektrum analise'];Analitiese metode
activity;['motreën', 'motregenen'];Ligte vloeibare neerslag
activity;['reën', 'reënval', 'reenstorm kan hanteer', 'reën storm', 'reënstorm'];Vloeibare water in die vorm van druppels wat uit atmosferiese dampe gekondenseer en gepresipiteer het.
agentive-figure;['beperkte maatskappy', 'ltd', 'beperkte maatskappye', 'ld.', 'private beperkte maatskappy', 'private maatskappy beperk deur aandele'];Wikimedia dubbelsinnigheidsblad
agentive-figure;['orpheus', 'orfeus'];Legendariese musikant in die Griekse mitologie
agentive-figure;['houri'];Wikimedia lysartikel
agentive-figure;['kerk'];Gemeenskap van die gelowiges wat hulle geloof in Jesus Christus bely
agentive-figure;['divan'];Wikimedia lysartikel
agentive-figure;['gemenebes van onafhanklike state', 'gos', 'cis'];Streeksorganisasie wat bestaan uit voormalige republieke van die Sowjetunie
agentive-figure;['bende', 'bende kultuur', 'bende oorlogvoering', 'bendebedrywighede', 'bendegeweld', 'bendelid', 'bendes', 'jeug bendes', 'jeugbendes', 'straat bende', 'straat bendes'];Gewelddadige/kriminele groep wat beheer oor ''n gebied uitoefen
agentive-figure;['europese unie', 'eu', 'europese ekonomiese gemeenskap', '🇪🇺', 'e.u.', 'eu-27', 'europese gemeenskap', 'eeg', 'common market', 'die gemeenskaplike mark', 'e.u', 'eg', 'europese economische gemeenskap', 'gemeenskaplike mark'];Internasionale organisasie van 27 Europese lande
agentive-figure;['vakbond', 'unie', 'vakbonde', 'arbeid leier', 'arbeid organisasie', 'arbeid organisasies', 'onderwysers se unie', 'vakbonden', 'vakbondlede', 'vakbondlid'];Organisasie om die belangstellings van ’n versameling werkers te bevorder en beskerm
agentive-figure;['hindoeïsme', 'hindoe', 'hindoeisme', 'hindu', 'hindoe-godsdiens', 'hindoe-kultuur', 'sanatana dharma'];'n Dominante religie
agentive-figure;['sowjetunie', 'unie van sosialistiese sowjetrepublieke', 'sowjet-unie', 'ussr', 'cccp', 'soviet', 'soviet unie', 'sowjet', 'u.s.s.r.', 'rusland', 'unie van sosialistiese sowjet-republieke'];Was 'n staat wat bestaan het in Noord-Eurasië vanaf 1922 tot 1991
agentive-physical-object;['katdoring', 'asparagus setaceus', 'katstert', 'asparagussnijgroen', 'aspersies plumosus', 'aspersies uil'];Suider-Afrikaanse aspersiesoort wat soos ''n varing lyk
agentive-physical-object;['kairi'];Wikimedia lysartikel
agentive-physical-object;['kniphofia', 'vuurpyle', 'tritoma'];plant genus
agentive-physical-object;['water kastanje plant'];Wikimedia dubbelsinnigheidsblad
agentive-physical-object;['kultivar', 'kultivars'];Plant of plantgroep geselekteer vir sekere eienskappe
agentive-physical-object;['amaryllis belladonna', 'belladonnalelie', 'maartlelie', 'belladonna lily'];plantspesie
agentive-physical-object;['hibried', 'kruising', 'baster', 'gekruis', 'interfertility', 'intergeneric baster', 'interspesifieke baster', 'kruisteel', 'kruisteling', 'mensgemaakte hibried', 'natuurlike baster', 'plantbiotegnologie', 'planteteelt', 'planttelersreg'];Afstammeling van ''n kruising tussen plante of diere
agentive-physical-object;['kaapse appelliefie', 'physalis peruviana', 'kaap appelliefie'];uitheemse plantspesie
agentive-physical-object;['mens', 'homo', 'homo sapiens sapiens', 'aardbewoner', 'mensekind', 'menslike wese', 'persoon', 'sondaar', 'sterfling', 'wêreldburger', 'homo sapiens', 'mense', 'menslike', 'menslike spesie'];Tweevoetige primaat van die soogdiergenus Homo en die spesie Homo sapiens
agentive-physical-object;['padda', 'skurwepadda', 'anura', 'bufonidae', 'anuran', 'paddas', 'anurans', 'bacterie', 'kikkerdril', 'padda padda', 'salientian'];tipe padda
agentive-physical-object;['dagga', 'cannabis', 'marijuana', 'stoner'];Geharde struikagtige plant
agentive-physical-object;['gloriosa superba', 'vlamlelie', 'geelboslelie', 'rooiboslelie', 'vuurlelie', 'gloriosa', 'heerlikheid lelie', 'klimoplelie', 'kruipende lelie'];plantspesie
agentive-physical-object;['polyprionidae', 'wrakvis', 'polyprion americanus', 'wreckfish', 'klip bas'];Vis wat voorkom in al die oseane
agentive-physical-object;['pienkvarkoor', 'zantedeschia rehmannii', 'pienk calla', 'zantedeschia rehmanii'];plant spesie
agentive-physical-object;['edelhert', 'cervus elaphus', 'red deer', 'elaphus'];Soort takbok
agentive-physical-object;['erica arborea', 'boom heath'];plantspesie
agentive-physical-object;['moeraseik', 'quercus palustris', 'naaldeik', 'pen eikebome', 'pin oak'];Plantspesie
agentive-physical-object;['hind'];Vroulike voornaam
agentive-physical-object;['stercorariidae', 'roofmeeu', 'bonxie', 'roofmeeue'];Seevoël familie
agentive-physical-object;['turkse eik', 'moseik', 'quercuscerrisl', 'europese kalkoen eikebome'];Plantspesie
agentive-physical-object;['kaapse stokroos', 'stokroos', 'sparrmannia africana', 'sparmannia africana'];(Kaapse stokroos)
agentive-physical-object;['seekoei', 'hippopotamus amphibius', 'hippopotamus', 'seekoeie', 'amphibius', 'rivier perd'];Groot soogdier in Afrika
agentive-physical-object;['steeleik', 'quercus robur', 'europese eik', 'aan beskerming eikebome', 'beskerming eikebome', 'beskerming oak', 'engels eikebome', 'engels oak', 'gemeenskaplike eikebome', 'gemeenskaplike terpentynboom', 'zomereik'];Plantspesie
agentive-physical-object;['kurkeik', 'quercus suber', 'cork oak'];Plantspesie
agentive-physical-object;['seringboom', 'melia azedarach', 'maksering', 'bessieboom', 'kaapse sering', 'sering', 'azedarach', 'azederach', 'chinaberry', 'chinaberry boom', 'koelreuteria paniculata', 'melia azederach'];Boomspesie
agentive-physical-object;['watereik', 'quercus nigra', 'water eikebome', 'buidelrat terpentynboom'];Plantspesie
agentive-physical-object;['somereend', 'anas querquedula', 'spatula querquedula', 'garganey', 'zomertaling'];voëlspesie
