abstract-quality;['индивидуалдық'];Индивидуалдық - 1.
abstract-region;['тензор'];Тензор (лат.
abstract-region;['көпмүшелік', 'көпмүше', 'полином'];Бір айнымалылы көпмүшелік, полином деп математикада келесі функцияны айтады
abstract-region;['шек', 'жинақтылық'];Шек - математиканың негізгі ұғымдарының бірі.
abstract-region;['квадраттық функция', 'квадрат функция'];Квадраттық функция деп мына түрде беруге болатын функцияны айтады f = a x 2 + b x + c {\displaystyle f=ax^{2}+bx+c~}, мұнда a ≠ 0 {\displaystyle a\neq 0~}.
abstract-region;['бином'];Бином - екі мүшелік, демек тек қана екі мүшеден тұратын көпмүшелік.
abstract-region;['операнд', 'operand'];Операнд
abstract-region;['кездейсоқ шама'];Кездейсоқ шама – ықтималдық теориясының негізгі ұғымдарының бірі.Кездейсоқ шама – жағдайға тәуелді белгілі бір ықтималдығы бар әр түрлі мән алатын қандай да бір шама.
abstract-region;['векторлық көбейтінді', 'векторлық көбейту'];a {\displaystyle \mathbf {a} } векторы мен b {\displaystyle \mathbf {b} } векторының R 3 {\displaystyle \mathbb {R} ^{3}} кеңістігіндегі векторлық көбейтіндісі деп келесі шарттарды қанағаттандарытын c {\displaystyle \mathbf {c} } векторын айтады: c {\displaystyle \mathbf {c} } векторының ұзындығы a {\displaystyle \mathbf {a} } және b {\displaystyle \mathbf {b} } векторларының ұзындықтарының және олардың арасындағы φ {\displaystyle \varphi } бұрышының синусының көбейтіндісіне тең: | c | = | a | | b | sin ⁡ φ {\displaystyle \left|\mathbf {c} \right|=\left|\mathbf {a} \right|\left|\mathbf {b} \right|\sin \varphi } . c {\displaystyle \mathbf {c} } векторы әр a {\displaystyle \mathbf {a} } және b {\displaystyle \mathbf {b} } векторларына ортогональ . c {\displaystyle \mathbf {c} } векторыны a b c {\displaystyle \mathbf {abc} } векторлар үштігі оң болатындай бағытталған. R 7 {\displaystyle \mathbb {R} ^{7}} кеңістігі үшін a, b, c {\displaystyle \mathbf {a,b,c} } векторлар үштігінің ассоциативтігі орындалу қажет.Белгілеуі: c = [ a b ] = [ a, b ] = a × b {\displaystyle \mathbf {c} =\left[\mathbf {a} \mathbf {b} \right]=\left[\mathbf {a},\.\mathbf {b} \right]=\mathbf {a} \times \mathbf {b} } Векторлық көбейтіндіні алғаш рет 1846 жылы енгізген — У. Гамильтон.
abstract-region;['ең кіші ортақ еселік'];Ең Кіші Ортақ Еселік, екі не бірнеше натурал санның әрқайсысына бөлінетін ең кіші оң сан.
abstract-region;['фурье қатары'];Фурье қатары - [а,b] кесіндісінде ортонормаланған φ1, φ2,...,φn,...
activity;['акупунктура'];Акупунктура.
activity;['электронды пошта', 'e-mail', 'email', 'е-пошта', 'э-пошта', 'электронды почта', 'электрондық пошта'];Электронды пошта
activity;['компьютер беттеуі'];Компьютер беттеуі
activity;['өнім'];Өнім– 1) белгілі бір уақыт аралығында дүние жүзінде, елде, кәсіпорында, т.б.
activity;['автомодуляция', 'модуляция'];Автомодуляция - оптикалық резонаторға мөлдірлігі жарық сәулелерінің әсерінен өзгеретін элементтерді енгізу арқылы оның мерейлігінің пассивті басқарылуы.
activity;['автомодуляция', 'модуляция'];Модуляция – қандай да бір стационар физикалық процесті сипаттайтын параметрлердің уақытқа байланысты берілген заңдылық бойынша өзгеруі.
activity;['уот тайлер көтерілісі'];Уот Тайлер көтерілісі - орта ғасырдағы Англияда феодалдарға қарсы ең ірі шаруалар көтерілісі.
activity;['троя соғысы'];ТРОЯ СОҒЫСЫ, аңыз бойынша ежелгі грек қала-мемлекеттері мен Кіші Азияда орналасқан Троя қаласы арасында болған.
activity;['циклон', 'циклондар'];1.
activity;['антициклон'];Антициклон – біркелкі қысым сызықтарымен тұйықталған, атмосфералық қысымы жоғары аймақ, яғни жоғарғы қысым жүйесі.
activity;['вальс'];Вальс(фр.
activity;['флодден түбіндегі шайқас'];Флодден түбіндегі шайқас — Итальяндық соғыс кезіндегі Англия мен Шотландия әскерлері арасындағы шайқас.
activity;['марафон шайқасы'];Марафон шайқасы —Грек-парсы соғыстарындағы
activity;['экваторлық белдеу', 'конвергенцияның тропикаралық зонасы'];Конвергенцияның тропикаралық зонасы - екі Жарты шардың паcсаттарының арасындағы немесе пассат пен муссон арасындағы не екі Жарты шардьщ циркуляциялық жүйелерінің арасындағы өтпелі зона.
activity;['экваторлық белдеу', 'конвергенцияның тропикаралық зонасы'];Экваторлық белдеу – Жердің экваторлық өңірін қамтитын, екі субэкваторлық белдеу аралығындағы табиғи белдеу.
activity;['нарды'];Нарды
activity;['қасиетті май жағу'];Қасиетті май жағу - қасиетті жағудын құпия, діни негізі ерекше тәсілмен тазартылған май жағу.
activity;['бюллетень', 'униноминалды дауыс беру'];Қоғамдық маңызы бар істер, орын алған оқиғалар туралы қысқаша ресми хабарлама.
activity;['бюллетень', 'униноминалды дауыс беру'];Униноминалды дауыс беру - бірмандатты округтарда партиялар ұсынған немесе ешкімге тәуелсіз, өзін-өзі ұсынған жекелеген ұміткерлерге дауыс беру.
activity;['баптистер', 'баптизм', 'баптист'];Баптистер – христиандық протестанттық діни ағым.
activity;['цирк'];Цирк(лат.
activity;['полемика'];Полемика - [еж.
activity;['бриз', 'бриздер'];Бриз (фр.
activity;['ipo'];IPO
activity;['семинар'];Семинар — практикалық оқу сабақтарының бір түрі.
activity;['аустерлиц шайқасы'];Аустерлиц шайқасы - үшінші анти-француз коалициясының әскерлеріне қарсы Наполеон армиясының шешуші шайқасы.
activity;['аштық жариялау'];Аштық жариялау -билік әрекетіне наразылық ретінде немесе оған қойған талаптарын бекіту үшін тамақ ішуден бас тарту. тұткындағылардың, қызметкерлердің экономикалық және саяси құқықтары және т.б.
activity;['карнавал'];Карнавал – халық думаны, сауық шеруі.
activity;['үкім'];Үкім — соттық қылмыстық істі сотта талқылау нәтижесінде шығарған және кінәсіздікті немесе кінәліге жазалау шарасын белгілейтін, сондай-ақ сотталушыны кінәсіз немесе кінәлі деп танудың басқа да салдарын белгілейтін шешім.
activity;['футбол'];Футбол — (ағылш.
activity;['кино'];Кино
activity;['снукер', 'snooker'];Снукер
activity;['брейк-данс'];= Тарихы =
activity;['анафема'];Анафема (гр.
activity;['шахмат'];Шахмат — ақыл-ой спорт түрі.
activity;['крокет', 'cróquet'];Крокет, ойыншы ағаш балғамен өзінің шарын алаңға біркелкі тәртіппен қойылған бірнеше кедергілердің қатарынан өткізуге негізделген ойын.
activity;['таға лақтыру'];Таға лақтыру, екі немесе төрт ойыншыдан тұратын ойын.
activity;['лакросс', 'lacrosse'];Лакросс
activity;['компьютер ойыны', 'компьютерлік ойын', 'видео ойын', 'бейне ойын'];Компьютерлік ойын — ойнауға арналған компьютерлік бағдарлама.
activity;['су добы'];СУ ДОБЫ – суда өткізілетін командалық ойын.
activity;['сквош', 'squash'];Сквош — доп және ракетка қолданатын жабық кеңістікте ойнайтын спорт түрі.
activity;['баскетбол'];Үлгі:Sport Баскетбол
activity;['бадминтон', 'bádminton'];Бадминтон – воланмен және ракеткамен ойналатын спорт түрі.
activity;['гольф'];Гольф (ағыл.
activity;['үстел ойындары', 'үстел үстіндегі ойындар'];Үстел ойындары
activity;['шайбалы хоккей', 'мұзды хоккей'];Шайбалы хоккей шайбамен мұз үстінде ойналатын командалық спорт ойыны.
activity;['крикет'];Крикет
activity;['бейсбол'];Бейсбол
activity;['карта ойыны'];Карта ойыны — карталарды қолданып ойнайтын ойын.
activity;['теннис'];Теннис - бірге бір немесе екіге екі ойналатын спорт түрі.
activity;['стол теннисі', 'үстел теннисі'];Үстел теннисі – белгілі ғимарат ішінде, арнайы ойын үстелінде арнайы ракеткамен ойналатын, шапшаңдыққа бағытталған спорт түрі.
activity;['субвенция'];Субвенция
activity;['суға секіру'];Суға секіру су спорты түрлерінің бірі.
activity;['автоматтандыру'];Автоматтандыру — техникалық құрал-жабдықтарды, сондай-ақ энергияны, материалды және ақпаратты алу, түрлендіру, жеткізу, пайдалану процестеріне адамның тікелей не ішінара қатысуын босататын экономикалық-материалдық тәсілдермен басқару жүйесін пайдалану.
activity;['арпалыс', 'айқас', 'шайқас', 'ұрыс'];Арпалыс - құрлықта, әуеде, теңізде майданның мақсатына және уақытына қарай өз ара байланысты жүргізілетін ұрыс қимылдарының жиынтығы.
activity;['виртуалды шындық'];Виртуалды шындық
activity;['айкидо', 'aikidó'];Айкидо — негізін Морихеи Уешиба қалаған шығыс жекпе-жегінің бір түрі.
activity;['арбитражер'];Арбитражер
activity;['таэквондо', 'тхэквондо', 'таеквондо'];Тхэквондо
activity;['ауа массалары'];Ауа массалары – тропосфераның көлбеу бағытта біртұтас болып қозғалатын ірі, біртекті бөліктері.
activity;['банкрот'];Банкрот ( итал.
activity;['плебисцит', 'референдум'];Плебисцит -
activity;['жыныстық акт', 'жыныстық қатынас', 'коитус'];Жыныстық акт жыныстық қатынасқа дәстүрлі көзқарасты қауымда — екі адамның жыныстық қажеттіліктерін өтеу үшін немесе ұрпақты жалғастыру үшін жыныстық қатынас мүшелері арқылы жыныстық қатынасқа түсуі.
activity;['көз тию'];Көз тию – дәстүрлі қазақ қоғамындағы наным-сенім түрі.
activity;['пальпация'];Пальпация
activity;['диатермия'];Диатермия.
activity;['джиу-джитсу'];Джиу-джитсу
activity;['амфибрахий'];Амфибрахий
activity;['анапест'];Анапест - Көне дүние метрикасында қалыптасқан, орыс поэзиясында силлабо-тоникалық өлең жүйесінде қолданылатын өлшемнің бірі, үшбуынды ырғақтық өрнек.
activity;['экуменизм'];Экуменизм
activity;['гиперорта'];ГИПЕРОРТА, ГИПЕРМЕДИА - мәтіннен басқа да мәліметтерді көрсететін, гипермәтінге қарағанда кеңейтілген мультимедиалық ақпаратгы экранда көрсетуді ұйымдастыру тәсілі.
activity;['концерт'];Концерт (нем.
activity;['пантомима'];Пантомима
activity;['халық санағы'];Халық санағы - белгілі бір уақыт шеңберінде бүкіл елдің халқының немесе оның бір бөлігінің демографиялық, экономикалық, әлеуметтік сипаттағы ақпаратын жинау, өңдеу, жариялау, тарату мақсатындағы жалпымемлекеттік статистикалық шаралар.
activity;['мюзикл'];Мюзикл (ағылш.
activity;['мазурка'];Мазурка — поляктың халық биі.
activity;['репетиция'];Репетиция
activity;['дуэль'];Дуэльдер тарихы сонау Геродот заманына кетеді.
activity;['болжам'];Болжам (немесе болжау) -
activity;['бессемерлеу'];Бессемерлеу - сұйық шойынды отын жұмсамай-ақ болатқа айналдыру тәсілдерінің бірі.
activity;['блицкриг'];Блицкриг (нем.
activity;['панацея'];Панаце́я — бұл мифологиялық, әмбебап,барлық аурудң емдеуші болып табылады.
activity;['төлеу сөз'];Төлеу сөз- көркем шығармада кейіпкердің сөзін айтылған қалпын сақтамай, тек мағынасын ғана жеткізетін сөздер.
activity;['төл сөз'];Төл сөз — бөгде сөздің еш өзгеріссіз, түпнұсқасы сақтала отырып қолданылған түрі.
activity;['муссон', 'муссондар'];Муссон (фр.
activity;['кабаре'];Кабаре (франц.
activity;['психоанализ'];Психоанализ — Австрия ғалымы Зигмунд Фрейд қалыптастырған XX ғасыр мәдениетінің барлық саласына зор ықпал еткен психологиялық ілім және психиатрияны емдеу әдіснамасы.
activity;['ситуациялық комедия'];Ситуациялық комедия немесе қысқаша ситко́м
activity;['дзюдо', 'дзю-до', 'дзүдо'];Дзю-До – спорт түрі, жапондардың ұлттық күрес ойыны.
activity;['гимнастика'];Гимнастика – арнайы жаттығулар жүйесінен тұратын, адам денсаулығын нығайту және оның денесінің үйлесімді дамуы үшін қолданылатын дене шынықтыру мен әдістемелік тәсілдер.
activity;['ертегі'];Ертегі – фольклордың негізгі жанрларының бірі.
activity;['мистраль', 'mistrál'];Басқа мағыналар үшін Мистраль деген бетті қараңыз.
activity;['классикалық би'];Классикалық Би–би өнеріндегі канонға айналған көркемдік тәсілдер жүйесі.
activity;['халық биі'];Халық биі — өзінің табиғи ортасында орындалатын фольклорлық би, өзіне әртүрлі дәстүрлі қозғалыс, ырғақтар, костюмдерді қамтиді.
activity;['бельканто', 'bel canto'];Бельканто
activity;['мемлекеттік төңкеріс'];Мемлекеттік төңкеріс — біреудің күшпен және конституцияны бұзу жолымен конституциялық құрылысты құлату немесе өзгерту, немесе мемлекеттік билікті басып алуы
activity;['геомагниттік дауыл', 'магниттік дауыл'];Магниттік дауыл — Жердің магнит өрісінің күшті ұйтқуы.
activity;['трахеостомия'];Трахеостомия — хирургиялық операция: кеңірдек аузының пайда болуы үшін кеңірдектің кесілгеп жеріне терісін жапсырып, кеңірдек саңылауын жабу.
activity;['ампутация'];Ампутация
activity;['нетбол'];Нетбол - баскетболдан шыққан спорттың шапшаң түрі.
activity;['гидропоника'];Гидропоника
activity;['балет'];Балет (франц.
activity;['вазелин'];Вазелин — минералдық май мен қатты көмірсутектердің бір текті май тәрізді қоспасы.
activity;['рок-музыка', 'рок-н-ролл'];Рок-музыка
activity;['рок-музыка', 'рок-н-ролл'];Рок-н-ролл
activity;['сабақ', 'дәріс'];Сабақ — бір пәнді оқытуға арналған оқу сағаты. мектептегі оқу жұмысын ұйымдастырудың негізгі түрі.
activity;['водевиль', 'варьете'];Водевиль (фр.
activity;['ревю'];Ревю(фр.
activity;['бірлескен кәсіпорын'];Бірлескен кәсіпорын — жұмысына шет елдердің фирмалары немесе мемлекет ішіндегі басқа өндіріс орындары мен фирмалар қатысатын, ұйымдық жағынан біртұтас, ортақ мүдделі мекеме ретінде рәсімделген кәсіпорын.
activity;['сайлау'];Сайлау — сайланбалы мемлекеттік лауазымдарға адам таңдау науқаны.
activity;['азамат соғысы', 'азаматтық соғыс'];Азамат соғысы — мемлекет ішіндегі әлеуметтік топтар мен таптар, діни ағымдар мен кландар арасындағы өкімет билігі жолында жүргізетін қарулы күрес.
activity;['франк-прусс соғысы'];1870—1871 жылдардағы франк-прусс соғысы — бір жағынан III Наполеонның империясы және басқа жағынан герман мемлекеттері мен олардың басындағы еуропалық гегемонияға талпынған Пруссия арасындағы әскери қақтығыс.
activity;['корей соғысы'];Корей соғысы
activity;['екінші дүниежүзілік соғыс', 'ii дүниежүзілік соғыс'];Екінші Дүниежүзілік соғыс — дүние жүзіне үстемдік жасау үшін Германия, Италия, Жапония тарапынан басталған соғыс.
activity;['бірінші дүниежүзілік соғыс', '1 дүниежүзілік соғыс', 'i дүниежүзілік соғыс', 'дүниежүзілік соғыс, i'];Бірінші дүниежізілік соғыстың шығу себептері және оның сипаты Империалистік дәуірде жеке елдердің біркелкі дамымауының нәтижесінде бірінші дүниежүзілік соғыс болды.
activity;['қырым соғысы'];Басқа мағыналар үшін Қырым деген бетті қараңыз.
activity;['халықаралық қақтығыстар'];Халықаралық қақтығыстар - XX ғасыр халықаралық қақтығыстарға толы болды.
activity;['шығанақ соғысы'];Шығанақ соғысы немесе Парсы шығанағындағы соғыс
activity;['қоршау'];Қоршау — жою немесе тұтқындау максатында қарсыластың белгілі бір бөлігін басқа әскерлерінен оқшаулау.
activity;['фён'];Фён (нем.
activity;['ашығу', 'ораза'];Ашығу — тағамның не оның құраушыларының жоқтығынан немесе жеткіліксіздігінен, сондай-ақ тағамның дұрыс қорытылмауынан болатын организмнің жағдайы.
activity;['мобилизация'];Мобилизация
activity;['демобилизация'];Демобилизация -
activity;['қарусыздандыру'];Қарусыздандыру – мемлекеттің немесе оның белгілі бір аумағының қару-жарағын толық немесе белгілі мөлшерде шектеу.
activity;['білім беру', 'дидактика'];Білім беру — тиісті оқу орны арқылы ғылыми мағлұмат беріп, адамның танымын, білімін, дағдысын, дүниеге көзқарасын жетілдіру процесі. қоғам мүшелерінің мәдениетін дамытудың негізгі шарты. мақсаты - қоғам мүшелерінің адамгершілік, интектуалды, мәдени дамуында және олардың денесінің дамуында, кәсіптік біліктілігінде жоғары деңгейге қол жеткізу болып табылатын тәрбие мен оқытудың үздіксіз процесі. жүйеге келтірілген білім, іскерлік дағды және ойлау тәсілдері көлемін меңгеру процесі мен нәтижесі.
activity;['білім беру', 'дидактика'];Дидактика
activity;['шовинизм', 'шовинист'];Шовинизм (фр.
activity;['халықаралық қатынастарды демократизациялау'];Халықаралық қатынастарды демократизациялау -бүкіл адамзат тағдырымен тығыз байланысты мәселе. оның өзектілігі мен шешімін табу қажеттігі қазіргі әлемдегі халықаралық қатынастар саласындағы қарама-қайшылықтардың ширығуында, жаңа аса қауіпті қақтығыстардың туындауында жатыр.
activity;['спорт'];Спорт (фр.
activity;['демалу'];Демалу - нәтижесінде ағзаның әл-қуатын қалпына келтіру және жұмысқа қабілетін қайтару үшін пайдаланатын тыныштық күйі.
activity;['бейғам тынығу'];Бейғам тынығу — жұмыс істеу қабілетін қалпына келтіру мақсатында жұмыс істемейтін уақытта немесе жұмыс арасындағы үзілістерде қимылдың барлық түрін құрт тоқтатып, босаңсып, тыныштық жағдайға қошу.
activity;['уағыз'];Уағыз – ислам дінінде Алланың барлығы мен бірлігі, дін шындығы жайлы және адамдарды дінге шақыру мақсатында айтылатын насихат сөздер.
activity;['синхрондау'];Синхрондау — 1
activity;['ария'];Ария (итал.
