abstract-region;['geometrische reihe', 'geometrischen reihe'];Zahlenfolge, deren Glieder die Summe der ersten n Glieder einer geometrischen Folge sind
abstract-region;['summe', 'gesamtbetrag', 'gesamtsumme', 'höhe', 'insgesamt'];Gesamtheit von zwei oder mehr Mengen.
abstract-region;['produkt', 'produktfolge', 'produktzeichen', 'unendliches produkt', '∏', 'mathematische produkt'];Das Ergebnis der Multiplikation von zwei oder mehr Zahlen.
activity;['arbeitslosengeld', 'pogey', 'pogy'];Geld, das Arbeitslose vom Staat oder von einer Versicherung erhalten.
activity;['go', 'weiqi', 'baduk', 'goban', 'gospiel', 'selbstmord', 'wei-chi', "wei ch'i", '围棋', 'go-spiel'];Ein ursprünglich aus China stammendes Brettspiel.
activity;['beichte', 'bußsakrament'];Das Bekennen seiner Sünden und Fehler gegenüber einem Priester, um das Sakrament der Absolution zu erhalten.
activity;['seligsprechung', 'beatifikation', 'seliggesprochen', 'ruf der heiligkeit', 'selige', 'seligsprechungsprozess'];In der katholischen, anglikanischen und orthodoxen Kirche die Erklärung, dass eine Person in den Kreis der Seligen aufgenommen wurde und Gebete von Gläubigen erhört.
activity;['walzer', 'valse'];Ein hauptsächlich in geschlossener Position ausgeführter Tanz im 3/4 Takt.
activity;['innertropische konvergenzzone', 'doldrums', 'intertropische konvergenzzone', 'kalmenzone', 'innertropische konvergenz', 'inter-tropical convergence zone', 'inter tropic conversion', 'äquatoriale tiefdruckrinne', 'äquatorialer tiefdruckgürtel', 'tiefdruckrinne', 'äquatorialzone'];Region am Äquator, die durch niedrigen Druck und leicht wechselnde Winde gekennzeichnet ist.
activity;['fehde', 'feindschaft', 'blutrache', 'vendetta', 'animosität', 'gegnerschaft', 'erbfeindschaft', 'fehden', 'privaten krieg'];Gewalttätige, mehrere Jahre dauernde Auseinandersetzung zwischen zwei Familien oder Sippen.
activity;['kämpfen'];An einer köperlichen Auseinandersetzung beteiligt bzw. in sie einbezogen sein.
activity;['kurzfilm', 'kurzspielfilm', 'kurzfilme', 'film kurz'];Film, der nicht lange dauert, normalerweise ist er nicht länger als 15 Minuten.
activity;['kuss', 'busserl', 'bussel', 'bussi', 'schmatz', 'küssen', 'begrüßungskuss', 'knutschen', 'philematologie', 'wangenkuss', 'proseccoküßchen', 'bruderkuss', 'florentinischer kuss', 'judaskuss', 'kuß', 'schwesternkuss', 'seelenkuss', 'todeskuss', 'zungenkuss', 'buss'];Berührung mit den Lippen als Zeichen von Liebe oder Zuneigung.
activity;['unternehmenskauf', 'übernahme', 'akquisition eines unternehmens', 'firmenübernahme', 'freundliche übernahme', 'unternehmensakquisition', 'unternehmensverkauf', 'unternehmensübernahme', 'feindliche übernahmen', 'übernahmen'];Der Kauf einer Firma durch eine andere.
