activity;['baletas', 'baleto teatras', 'baleto', 'klasikinio šokio', 'koncertas šokis', 'showdance', 'teatro šokio', 'veiklos šokio', 'šokio teatras'];Išvystytos kompozicijos šokis vienam arba keliems atlikėjams. Skirstomos į moteriškas ir vyriškas, terre a terre ir šuolines.
activity;['rokas', 'rokenrolas', 'roko muzika', 'rock', 'rock n roll', 'rock and roll', "rock'n'roll", "rock'n roll", 'rock-n-roll', "rock 'n' roll", 'rock roll', 'rokenrolo', 'roko', 'roko muzikantas', 'roko muzikos'];Vieną pirmųjų roko grupių Tarybų Sąjungoje .
activity;['antrasis pasaulinis karas', '2pk', 'antras pasaulinis karas', 'ii pasaulinis karas', 'iipk', 'nacių okupacijos', 'world war 2'];Kitaip dar žinoma kaip Fau-1.
activity;['programavimas', 'kompiuterių programavimo', 'kompiuterių programavimas', 'programinės įrangos programavimo'];Atliekančia pavienę operaciją, prasmė panašiai kaip matematikoje.
activity;['mokslinis tyrimas', 'moksliniai tyrimai', 'mokslo tyrimai', 'mokslo tyrimas', 'akademinių tyrimų', 'originalių tyrimų'];Mokslinė taikomoji veikla.
activity;['asimiliacija', 'assimilis'];Maistinių medžiagų pavertimas skysčiu ar kieta kūno dalimi virškinimo ir kitų procesų metu.
activity;['stovykla', 'kempingas', 'bivouacking', 'kempingas kelionę', 'stovyklavietė', 'tinklinis'];Laikino apsistojimo vieta
activity;['gamyba', 'gamina', 'gamintojais', 'gamintojų', 'gamybos', 'gamybos įmonė', 'metalo gamyba'];Sukurta patikrinti produkto (gaminio) funkcionalumą prie tam tikrų sudėtingų (žalingų) sąlygų.
activity;['gamyba', 'gamina', 'gamintojais', 'gamintojų', 'gamybos', 'gamybos įmonė', 'metalo gamyba'];Sukurta patikrinti produkto (gaminio) funkcionalumą prie tam tikrų sudėtingų (žalingų) sąlygų.
agentive-figure;['narcizas', 'narkisas'];Afroditės nubaustas įsimylėti savo atvaizdą.
agentive-figure;['nemėjos liūtas'];Mitinė pabaisa.
agentive-figure;['chimeržuvės', 'chimaeriformes', 'holocephali', 'chimera'];Kremzlinių žuvų būrys.
agentive-figure;['helenė', 'elena', 'helen', 'helen of troy'];Graikų mitologijos personažas.
agentive-figure;['achilas'];Kitas yra Balius.
agentive-figure;['valstybė', 'nacija', 'tauta', 'šalis', 'tautybė', 'tautos', 'valstybės', 'deklaratyvaus valstybingumo teorijos', 'kūno politiškas', 'nacionaliniu', 'politinės visuomenės', 'res publica', 'suvereni valstybė', 'tautų'];Stipri valstybė per savo rezidentą tvarko silpnesnėms šalims užsienio politiką ir kontroliuoja vidaus politiką.
agentive-figure;['sparnas'];Aviacijos dalinys kai kurių valstybių oro pajėgose. Paprastai atitinka kitų šalių sparną.
agentive-figure;['korpusas', 'kariuomenės korpusas'];Karinis vienetas.
agentive-figure;['akademija', 'universitetas', 'akademijos', 'akademijų', 'garbės visuomenė'];Mokslo įstaiga.
agentive-figure;['arabų lyga', 'arabiškų šalių lyga', 'arabų valstybių lyga', 'arabų šalių lyga', 'arabų lygos', 'arabų valstybių lygos'];Regioninė arabiškų šalių politinė sąjunga
agentive-figure;['įgula', 'ekipažas', 'dirbti šaliai'];Laivo įgula.
agentive-figure;['sovietų sąjunga', 'tarybų socialistinių respublikų sąjunga', 'tarybų sąjunga', 'ssrs', 'cccp', 'sovietai', 'sovietų socialistinių respublikų sąjunga', 'sssr', 'tarybų sajunga', 'tsr sąjunga', 'tsrs', 'тsrs', 'sovietų sąjungos'];Kosminės programos pavadinimu ir metais buvo nugabentos į Mėnulį ir Venerą. Pvz., TSRS kosminio aparato „ Venera-3 "kosminis vimpelas -LSB- http://epizodsspace.testpilot.ru/bibl/venera/08.jpg], kosminės programos Luna-9 (1966) vimpelas -LSB- http://www.musaelian.ru/image237.htm].
agentive-physical-object;['lošimo automatas', 'monetų automatas', 'lošimo automatai', 'lošimų automatai', 'lošimo automatų', 'automatas', 'moneta mašina', 'pachislot', 'pokerio mašina'];Skirtas azartiniams žaidimams žaisti.
agentive-physical-object;['žiedas', 'gėlė', 'žiedai', 'gėlių', 'gėlės'];Kai kurių augalų dauginimosi organas.
agentive-physical-object;['rožė', 'rožinę', 'rosa odorata'];Erškėčio (Rosa) genties dekoratyvinis augalas.
agentive-physical-object;['šalavijas', 'salvia'];Bendras genties pavadinimas.
agentive-physical-object;['lyrauodegiai', 'lyrauodeginiai', 'menura', 'menuridae', 'lyra'];Kurių uodega kiek primena lyrą.
agentive-physical-object;['kolorado vabalas', 'leptinotarsa decemlineata', 'dešimtajuostis bulviagraužis', 'bulvių klaidą', 'vabalas'];Lapgraužių šeimos vabalas.
agentive-physical-object;['galvijai', 'naminis jautis', 'galvìjai', 'bos primigenius taurus', 'bos taurus', 'karvė', 'bos taurus taurus', 'galvijas', 'galvijų', 'karvių', 'karvės', 'buliai', 'jaučių'];Ypač patinai.
agentive-physical-object;['katė', 'naminė katė', 'felis silvestris catus', 'katės', 'felis catus', 'housecat', 'tiesa katė'];Naminis gyvūnas.
agentive-physical-object;['galvijai', 'naminis jautis', 'galvìjai', 'bos primigenius taurus', 'bos taurus', 'karvė', 'bos taurus taurus', 'galvijas', 'galvijų', 'karvių', 'karvės', 'buliai', 'jaučių'];Ypač patinai.
agentive-physical-object;['lynas', 'tinca tinca', 'tinca', 'lynai'];Karpžuvių būrio žuvis | žuvys | žuvis.
agentive-physical-object;['vabalas', 'vabalai', 'coleoptera', 'coleopterist', 'tralo dalyje tvirtinamas padengimas', 'vabalo'];Vabzdžių klasės būrys.
agentive-physical-object;['chameleonai', 'chameleonas', 'chamaeleonidae'];Driežų pobūrio šeima.
agentive-physical-object;['šernas', 'sus scrofa', 'laukinių šernas', 'laukinių kiaulių', 'scrofa'];Kiaulinių šeimos žinduolis.
agentive-physical-object;['vilkdalgis', 'iris'];Vilkdalginių šeimos augalų gentis.
agentive-physical-object;['dagilis', 'carduelis carduelis'];Kikilinių šeimos paukštis.
agentive-physical-object;['kūltupiai', 'oenanthe', 'wheatear'];Paukščių gentis.
agentive-physical-object;['chimeržuvės', 'chimaeriformes', 'holocephali', 'chimera'];Kremzlinių žuvų būrys.
agentive-physical-object;['arklys', 'naminis arklys', 'equus caballus', 'caballus'];Skirtas jodinėjimui | Jojimas | jodinėjimui.
amount-of-matter;['cheminis junginys', 'cheminių junginių', 'junginys'];Sudaryta iš vienos rūšies molekulių, kurias sudaro dviejų ar daugiau cheminių elementų atomai.
amount-of-matter;['atp', "adenozin-5'-trifosfatas", "adenozin 5' trifosfatas", 'adenozintrifosfatas', 'adenozino trifosfatas'];Adenozin 5' trifosfatas (C10H16N5O13P3)
amount-of-matter;['argininas', '2-amino-5-guanidinpentano rūgštis', 'arginino', 'l-argininas'];Viena iš dvidešimties dažniausių amino rūgščių Žemėje.
amount-of-matter;['alaninas', 'alanino', 'd-alanino', 'l-alaninas'];Viena iš dvidešimties dažniausių aminorūgščių | aminorūgštis | aminorūgščių.
amount-of-matter;['nitroglicerinas', 'nitroglicerolis', 'nitroglicerino', 'trinitroglycerin'];Glicerolio trinitratas, trinitroglicerolis) -- bespalvis (laikomas ilgainiui pagelsta), bekvapis, nuodingas skystis.
amount-of-matter;['talis', 'atominis skaičius 81', 'tl'];Cheminis elementas.
amount-of-matter;['prometis', 'pm', 'atominis skaičius 61'];Kurio numeris periodinėje cheminių elementų lentelėje | Periodinė elementų lentelė | periodinėje cheminių elementų lentelėje -- 61.
amount-of-matter;['dubnis', 'hanis', 'dubnium', 'atominis skaičius 105', 'elementas 105', 'hahnium'];Cheminis elementas.
amount-of-matter;['anglis', 'c', 'anglies', 'anglies atomas', 'anglies atomo', 'angliukai', 'atominis skaičius 6'];Cheminis elementas.
amount-of-matter;['cianidas', 'cianido', 'cianidų', 'ciano'];Ciano grupė
amount-of-matter;['antikūnas', 'imunoglobulinai', 'antikūnai', 'antikūniai', 'antikūnis', 'imuninė reakcija', 'imunoglobulinas', 'antikūnų', 'immunoglobin', 'kintamojo domeno'];Kurios susidaro organizme, į jį patekus svetimų medžiagų (mikroorganizmų, svetimų baltymų).
amount-of-matter;['džinas', 'gin'];Alkoholinis gėrimas.
biological-object;['užkrūčio liauka', 'čiobrialiaukė', 'tarpuplaučio liauka'];Esanti krūtinės ląstoje, už krūtinkaulio.
biological-object;['plaučių alveolė', 'alveolių', 'alveolę', 'oro ląstelių', 'oro maišelių', 'oro maišelį'];Kuriame vyksta dujų apykaita.
biological-object;['lęšiukas', 'akies lęšis'];Akies dalis.
biological-object;['trachėja', 'kvėplė', 'trachea', 'trachėjos'];Kvėpavimo vamzdelis.
biological-object;['antena', 'antennomere', 'antennule', 'antenos', 'flagellomere'];Plonas darinys, kuriuo liečiant gaunama informacija.
biological-object;['žiedas', 'gėlė', 'žiedai', 'gėlių', 'gėlės'];Kai kurių augalų dauginimosi organas.
biological-object;['rapsas', 'rapsai', 'brassica napus', 'brassica', 'rapsų', 'aliejinių rapsų'];Bastutinių (Brassicaceae) šeimos vertinga aliejinė kultūra.
biological-object;['atlantas', 'c1', 'átlas', 'atlasas slankstelio', 'atlasą'];Pirmasis kaklo slankstelis.
biological-object;['adomo obuolys', 'gerklų iškyšulys', 'skydliaukės kremzlės', 'gerklų dėmesio'];Vyrų lytinės brandos požymis.
biological-object;['tinklainė', 'retina', 'akies tinklainė', 'tinklaines', 'tinklainės'];Gležna akies plėvelė, kurioje fokusuojamas vaizdas.
biological-object;['gerklė', 'ryklė', 'žiotys', 'gerklės', 'gerkles'];Kuria ertmė susisiekia su rykle | ryklė | rykle.
biological-object;['kaulinis dubuo', 'dubuo', 'dubens', 'dubens juosta', 'dubens arka'];Esantis stuburo atramos taške.
chemical-object;['radikalas', 'laisvasis radikalas', 'laisvųjų radikalų', 'deguonies radikalų', 'deguonies radikalus'];Molekulių atomų grupė.
chemical-object;['jonas', 'anijonai', 'anijonas', 'katijonai', 'katijonas', 'jonų', 'anijonų', 'dianion', 'joninio', 'katijonų', 'nejoninės'];Esantis 1 g ar 1 cm ³ jonito.
chemical-object;['antikūnas', 'imunoglobulinai', 'antikūnai', 'antikūniai', 'antikūnis', 'imuninė reakcija', 'imunoglobulinas', 'antikūnų', 'immunoglobin', 'kintamojo domeno'];Kurios susidaro organizme, į jį patekus svetimų medžiagų (mikroorganizmų, svetimų baltymų).
cognitive-event;['indukcija', 'indukcinis metodas', 'indukcinė logika', 'apibendrinimas', 'indukcinis samprotavimas', 'indukcinės logikos'];Kai ištyrus kai kuriuos vienos klasės objektus ir nustačius, kad jie turi tam tikrą savybę, padaroma apibendrinančio pobūdžio išvada, kad tą savybę turi visi tos klasės objektai.
cognitive-event;['atmintis', 'atsiminimas', 'prisiminimas', 'trumpalaikė ir ilgalaikė atmintis', 'atminties', 'prisimenant', 'prisiminimus', 'žmogaus atmintį'];Kai sistema išsaugo informaciją.
cognitive-event;['naujasis kursas', 'new deal'];JAV prezidento Franklino Ruzvelto 1933
course;['jungtis', 'apatinė jungtis', 'konjunkcija', 'viršutinė jungtis', 'kartu'];Astronomijoje | Astronomija | astronomijoje
course;['banga', 'bangų'];Energijos perdavimo būdas.
dependent-place;['apsidė', 'apside', 'apsidal', 'apsis', 'chevet'];Tiek išorinė) pastato dalis (niša), dengta puskupoliu.
dependent-place;['vamzdžio žiotys', 'pistoletas snukis', 'snukio'];Pro kur iš jo išlekia kulka ar sviedinys.
dependent-place;['litosfera', 'geosfera', 'geosferos', 'litosferos', 'kontinentinės litosferos', 'lithospheric', 'vandenyno litosferos'];Iš graikų kalbos „ akmeninis rutulys ".
ecological-collective;['miškas', 'giria', 'miškai', 'miško', 'miške', 'mišką', 'spygliuočių miško', 'spygliuočių miškų'];Kurio svarbiausią dalį sudaro sumedėję augalai.
event;['el ninjo', 'el niño'];Necikliškas Ramiojo vandenyno ekvatorinės dalies vandenyno srovių pasikeitimas.
event;['mechaninis judėjimas', 'judėjimo'];Kaip jis nagrinėjimas fizikoje | fizika | fizikoje.
event;['jūros banga', 'bangos', 'banga', 'juda ketera,', 'jūros bangos', 'vandens bangų', 'vandenyno paviršiaus bangos', 'vandenyno paviršiaus bangų', 'vėjo banga', 'vėjo bangos'];Jūrų ir vandenynų paviršinės bangos.
functional-matter;['dietileteris', 'etilo eteris', 'etoksietanas', 'divinyl eteris', 'ethoxyethane', 'etilo eterio', 'vinilo eterio'];Stipraus kvapo skystis.
functional-matter;['kreida'];Nuosėdinės uolienos pavadinimas.
functional-matter;['burė', 'burės'];Kaip laivo dalis.
functional-matter;['lsd', 'lizergo rūgšties dietilamidas', 'rūgšties kelionę'];Psichotropinė medžiaga lizergo rūgšties dietilamidas.
functional-matter;['sprogstamosios medžiagos', 'aukštos sprogstamųjų', 'pirminė sprogmenų', 'sprogimo', 'sprogmenų', 'sprogstamųjų medžiagų'];Sukurti sprogdinimams vykdyti.
functional-matter;['tricikliniai antidepresantai', 'tricikliai antidepresantai', 'triciklių antidepresantų', 'tricikliai', 'triciklių', 'triciklių antidepresantų narkotikų'];Antidepresantų grupė.
functional-matter;['siena', 'sienna'];Toks pigmentas.
functional-matter;['džinas', 'gin'];Alkoholinis gėrimas.
geographical-object;['kampečės įlanka', 'golfo de campeche', 'įlanka kampečė'];Meksikos įlankos dalis.
geographical-object;['ežeras', 'ežerų', 'gėlavandenis ežeras', 'natūralus ežero'];Natūralus vandens telkinys.
geographical-object;['po', 'po upė', 'po upės'];Ilgiausia Italijos upė.
geographical-object;['gvinėjos įlanka'];Prie kurios šliejasi šis regionas.
geographical-object;['rona', 'ronos'];Tekanti per Šveicariją ir Prancūziją.
geographical-object;['sulavesis', 'celebeso', 'sulawesi'];Sulavesyje (Indonezija) naudojama kalba.
geographical-object;['jukatano pusiasalis'];Pusiasalis Centrinėje Amerikoje.
geographical-object;['kamčiatkos pusiasalis', 'kamčiatka pusiasalis'];Pusiasalis Azijoje.
geographical-object;['pirėnų pusiasalis', 'iberijos pusiasalis'];Dabartinė Ispanija ir Portugalija.
geographical-object;['karelija', 'karelijos žemė'];Kraštas, kuriame gyvena (ar istoriškai gyveno) karelai, karelų kraštas.
geographical-object;['niagara', 'niagaros krioklys', 'niagaros upės'];Upė JAV ir Kanadoje.
geographical-object;['izeras', 'isere', 'isere upės'];Prancūzijos upė.
geographical-object;['volga'];Viena didžiausių Rusijos upių.
geographical-object;['parana'];Pietų Amerikos upė.
geographical-object;['korėjos pusiasalis', 'korėja', 'pietų korėja', '"han-gook', 'dae-han-min-gook'];Pak Se Ri) arba Park (pvz., Park Chan Ho).
geographical-object;['dunojus', 'donau', 'danau', 'dunojaus'];Viena didžiausių Europos upių.
geographical-object;['zelandija', 'seeland', 'sjælland'];Danijai priklausanti sala.
information-object;['logotipas', 'logo'];Grafinis prekinio ženklo ar etiketės elementas.
information-object;['sigma', 'σ', 'pusmēnessveidīgs sigma'];Graikų abėcėlės raidė.
information-object;['h'];Lotynų kalbos ir kitų kalbų lotyniškais rašmenimis raidė.
information-object;['z', 'ezed', 'izzard', 'tailed z', 'zed', 'zee'];Lotynų kalbos ir kitų kalbų lotyniškais rašmenimis raidė
information-realization;['programinė įranga', 'kompiuterinė programa', 'programa', 'programos', 'programinės įrangos programa', 'kompiuterių programinė įranga', 'modulinė programavimo', 'modulis', 'moduliškumu', 'programinės įrangos', 'programinės įrangos sistema,', 'programinės įrangos sistemų', 'programinės įrangos technologija'];Procedūrų, taisyklių visuma arba tos visumos dalis kartu su atitinkama dokumentacija.
information-realization;['knyga', 'knygelė', 'knygos', 'knygų'];Jų rinkinys.
information-realization;['natūrinis logaritmas', 'napierian logaritmas', 'natūraliojo logaritmo', 'natūralusis logaritmas'];Skaičiaus logaritmas pagrindu e.
information-realization;['muzika', 'muzikos'];Diatoninis funkcionalumas.
information-realization;['baudžiamoji teisė', 'kriminalinė teisė', 'baudžiamosios teisės'];Teisės šaka
information-realization;['biblija', 'raštas', 'šventraštis', 'šventasis raštas', 'šventas raštas', 'šventojo rašto', 'biblijos', 'bibliją', 'gera knyga', 'krikščionių biblija', 'krikščionių rašto', 'religinių tekstų', 'šventoji knyga', 'šventąjį raštą'];Evangelija pagal Joną.
language;['jidiš', 'jidiš kalba'];Kodas pagal ISO 639-1 standartą.
language;['malajalių kalba', 'malajalam kalba', 'malajam kalba', 'malajali', 'malajalių', 'malayam', 'malyalam'];Kodas pagal ISO 639-1 standartą.
language;['kanadų kalba', 'kanadų'];Kodas pagal ISO 639-1 standartą.
language;['mongolų kalba', 'mongolų kalbos', 'mong.', 'mongolic', 'mongolic kalba'];Kodas pagal ISO 639-1 standartą.
language;['c'];C++, C # | C sharp | C # -- programavimo kalbos
language;['bengalų kalba', 'bangla', 'bengalų'];Kodas pagal ISO 639-2 ir ISO 639-3 standartus.
language;['osetinų kalba', 'osetijos kalba', 'ossete', 'ossetic', 'ossetic kalba'];Kodas pagal ISO 639-1 standartą.
language;['pascal', 'paskalis'];Programavimo kalba.
language;['gruzinų kalba'];Kodas pagal ISO 639-2 ir ISO 639-3 standartus.
language;['farerų kalba', 'farerų', 'farerų salų'];Kodas pagal ISO 639-1 standartą.
language;['norvegų kalba', 'norvegų', 'samnorsk'];Kodas pagal ISO 639-1 standartą.
language;['danų kalba', 'da', 'dan', 'danų', 'danijos'];Kodas pagal ISO 639-1 standartą.
language;['islandų kalba', 'islandų'];Kodas pagal ISO 639-2 ir ISO 639-3 standartus.
language;['švedų kalba', 'švedų'];Kodas pagal ISO 639-1 standartą.
