activity;['εξέγερση των χωρικών', 'εξέγερση του γουάτ τάιλερ', 'μεγάλος ξεσηκωμός', 'εξέγερση αγροτών', 'μεγάλη επανάσταση'];Μείζων εξέγερση σε μεγάλα τμήματα της Αγγλίας το 1381
activity;['τρωικός πόλεμος', 'τρωϊκός πόλεμος'];Αρχαίος πόλεμος
activity;['αριθμός', 'γραμματικός αριθμός', 'paucal', 'τον αριθμό'];Στη γραμματική
activity;['μάχη της ισσού', 'ισσός', 'ίσσος'];Μάχη της αρχαιότητος
activity;['μάχη της ιψού', 'ιψό'];Ιστορική μάχη στη Μικρά Ασία
activity;['ντάμα', 'παιχνίδι ντάμα', 'σχέδια'];Παιχνίδι
activity;['διακεκομμένη συνουσία', 'διακοπτόμενη συνουσία', 'τράβηγμα', 'μέθοδος απόσυρση', 'τραβώντας προς τα έξω'];Απόσυρση του πέους από την κόλπο, κατά την σεξουαλική πράξη, πριν την εκσπερμάτιση με σκοπό την αποφυγή εγκυμοσύνης
activity;['θαλάσσια αύρα', 'μπάτης', 'παράκτια αύρα', 'αύρα της γης', 'αύρα της θάλασσας', 'θαλασσινή αύρα'];Άνεμος που πνέει από τη θάλασσα προς τη ξηρά
activity;['διαμάχη', 'σύγκρουση', 'φιλονικία', 'έριδα', 'διένεξη', 'διαφορά απόψεων'];Οποιαδήποτε κατάσταση ή συμπεριφορά κατέναντι εμπλεκομένων μερών
activity;['μάχη των θερμοπυλών', 'θερμοπύλες'];Διεξήχθη το 480 π.Χ
activity;['ντοκιμαντέρ', 'δραματοποιημένο ντοκιμαντέρ', 'ντοκυμαντέρ', 'ντοκυμανταίρ', 'ταινία τεκμηρίωσης', 'infotainment', 'δράμα-ντοκιμαντέρ', 'ντοκιμαντέρ δράμα', 'σειρά ντοκιμαντέρ', 'ταινία ντοκιμαντέρ'];Είδος κινηματογραφικής ταινίας που πραγματεύεται ιστορικά, πολιτικά, καλλιτεχνικά ή άλλα θέματα, για την παρουσίαση των οποίων βασίζεται σε πραγματικά περιστατικά και αποδεικτικά στοιχεία
activity;['ποδόσφαιρο', 'μπάλα', 'football', 'ο αριθμός των ποδοσφαιριστών', 'ποδοσφαιριστής', 'ποδόσφαιρο συλλόγων', 'ένωση ποδοσφαίρου', 'ποδοσφαίρου', 'ποδοσφαιρική ομάδα', 'ποδοσφαιριστής ένωση', 'χρόνο διακοπής'];Ομαδικό άθλημα
activity;['ταινία', 'φιλμ', 'κινηματογράφος', 'επιφάνεια', 'μεμβράνη', 'υμένιο', 'κινηματογραφική ταινία', 'έργο', 'κινηματογραφικό έργο', 'film', 'έβδομη τέχνη', 'κινηματογραφία', 'σινεμά', 'κινούμενη εικόνα', 'ταινίες', 'δείχνουν εικόνα', 'θεατρική ταινία', 'κίνηση-εικόνα', 'κίνηση-εικόνα δείχνουν', 'κινηματογραφικών ταινιών', 'κινούμενης εικόνας', 'κινούμενης εικόνας εμφάνιση', 'μεγάλη οθόνη', 'σημαντική κινηματογραφική ταινία'];Αλληλουχία εικόνων που δίνουν την εντύπωση κίνησης
activity;['break dance', 'b-boy', 'break-dance', 'breakdance', 'breakdancer', 'breakdancing', 'β-boying', 'β-αγόρια', 'σπάσει χορό', 'χορευτής διάλειμμα', 'χορό διάλειμμα'];Είδος χωρού
activity;['χιπ χοπ', 'xιπ χοπ', 'χιπ χοπ μουσική', 'hip-hop', 'hip-hop ομάδα', 'hip hop', 'καλλιτέχνης hip-hop', 'μουσική hip-hop', 'μουσική ραπ', 'ομάδα ραπ', 'ραπ', 'ραπ μουσική'];Μουσικό είδος
activity;['μυστήριο της καθολικής εκκλησίας'];επτά ορατά τελετουργικά, τα οποία οι Καθολικοί βλέπουν ως σημάδια της παρουσίας του Θεού, που αποτελούνται από: μύηση (βάπτισμα, επιβεβαίωση, Ευχαριστία), επούλωση (συμφιλίωση, χρίσιμο των ασθενών) και υπηρεσία (ιερή τάξη, γάμος)
activity;['σκάκι', 'παιχνίδι σκάκι'];Επιτραπέζιο Παιχνίδι
activity;['βιντεοπαιχνίδι', 'παιχνίδι υπολογιστή', 'ηλεκτρονικό παιχνίδι', 'παιχνίδι υπολογιστών', 'βιντεοπαιχνίδια', 'video game', 'ηλεκτρονικά παιχνίδια', 'παιχνίδια υπολογιστών', 'videogame', 'βίντεο-παιχνίδι', 'βιντεοπαιχνιδιών', 'διαδραστικό παιχνίδι', 'ηλεκτρονική ψυχαγωγία', 'παιχνίδι στον υπολογιστή', 'παιχνίδια στον υπολογιστή', 'προσωπική παιχνίδι στον υπολογιστή'];Ηλεκτρονικό παιχνίδι που παίζεται σε προσωπικούς υπολογιστές
activity;['βιντεοπαιχνίδι', 'παιχνίδι υπολογιστή', 'ηλεκτρονικό παιχνίδι', 'παιχνίδι υπολογιστών', 'βιντεοπαιχνίδια', 'video game', 'ηλεκτρονικά παιχνίδια', 'παιχνίδια υπολογιστών', 'videogame', 'βίντεο-παιχνίδι', 'βιντεοπαιχνιδιών', 'διαδραστικό παιχνίδι', 'ηλεκτρονική ψυχαγωγία', 'παιχνίδι στον υπολογιστή', 'παιχνίδια στον υπολογιστή', 'προσωπική παιχνίδι στον υπολογιστή'];Ηλεκτρονικό παιχνίδι που περιλαμβάνει αλληλεπίδραση σε ένα περιβάλλον χρήστη δημιουργώντας μια οπτική αναπαράσταση σε συσκευή βίντεο
activity;['υδατοσφαίριση', 'γουότερ πόλο', 'πόλο', 'water polo'];Ομαδικό άθλημα
activity;['γκολφ', 'γκόλφ', 'παιχνίδι γκολφ', 'τουρνουά γκολφ'];Ατομικό άθλημα
activity;['τένις', 'αντισφαίριση', 'αντισφαίριση σε χλοοτάπητα', 'τέννις', 'τένις γκαζόν', 'αντισφαίρισης'];Άθλημα
