abstract-region;['бисёръузва', 'бисёрузва', 'полином'];Бисёръузва́
activity;['валс'];Валс
activity;['франсиско', 'francisco lopez alfaro'];Франсиско Хавйер Лопес Алфаро — футболбози испанӣ, маснадашро анҷом додааст, нимҳимоятгари марказӣ, муррабӣ.
activity;['бӯса', 'бӯсса', 'муччӣ'];Бӯса ё бӯсидан - тамоси лаб бо ҷойи дигар аст, ки маъмулан барои ибрози муҳаббат, нишон додани эҳтиром ва ё ба унвони салом ва худоҳофизӣ истифода мешавад.
activity;['овоздиҳӣ'];Овоздиҳӣ — давраи ҷамъбастии интихобот буда, шаҳрванд бо гирифтани бюллетен ва ё истифодаи мошинаи овоздиҳӣ дар як вақт ва ё такроран ба амал мебарорад.
activity;['сирк', 'ҳунарманди сирк'];Сирк — маънои калимаи "сирк" давра буда, саҳнаи давраи сирк, ки дар он ҳунармандон баромад мекунанд, ба дарозии 13-метр барои давиши аспон сохта шудааст.
activity;['ҷанги эрон ва ироқ'];Ҷанги Эрон ва Ироқ ҷанге аст ки аз 22 сентябр, 1980 то 20 август, 1988 байни ду кишвар, Эрон ва Ироқ, ҷараён дошт.
activity;['намоиш'];Намоиш, қисми мукаммали парда дар опера ва тамошоҳои саҳнавист.
activity;['гуруснанишинӣ'];Гуруснанишинӣ, эътисоби ғизо — аз хӯрок рӯ гардондан ба аломати эътироз.
activity;['филми мустанад', 'кинои ҳуҷҷатӣ', 'кинорепортаж'];Филми мустанад
activity;['ҳукм'];Ҳукм - қарори суд мебошад, ки дар мачлиси судӣ оид ба масъалаи гунаҳкор будан ё набудани судшаванда ва дар бораи татбиқ кардан ё накардани ҷазо дар ҳаққи ӯ бароварда шудаасг.
activity;['футбол'];Футбол — навъи варзиши даставист, ки ҳадафаш ба миқдори бештар ба дарвозаи ҳариф ворид сохтани тӯб мебошад, Дар айни замон аз ҳама маъмултарин намуди варзиш дар рӯи олам аст.
activity;['филм', 'кино', 'кинофилм', 'синамо'];Филм — асари аудиовизуалӣ дар шакли бадеӣ, хроникавию ҳуҷҷатӣ, илмию оммавӣ, таълимӣ, тасвирӣ, телевизионӣ ё дар шаклҳои дигар дар асоси тахайюли эҷодӣ офарида шуда, аз тасвири дар плёнкаи кино ё дар дигар намуди ҳомилҳо ва кадрҳои пайдарҳаму доир ба як мавзӯи том ба ҳам васлшуда акс ёфтааст, иборат буда, барои дарк намудан тавассути воситаҳои дахлдори техникӣ таъйин гардидааст.
activity;['рақси брейк'];Рақси брейк сабки маҳбуби рақси хиёбонӣ аст.
activity;['шоҳмот', 'шатранҷ', 'шатранҷбозӣ', 'шохмот', 'шоҳмотбозӣ'];Шатранҷ ва ё шоҳмот — бозии завқовари рӯимизӣ мебошад.
activity;['лакрос', 'lacrosse'];Лакрос
activity;['бозиҳои компутарӣ', 'бози бо компутар', 'бози бо компютр'];Бози бо компутар — ин бозиест ки онро дар компутар дар амал татбиқ мекунанд, ва онро барои бачаҳо ва маюбон бароварда шудааст.
activity;['баскетбол'];Баскетбол — бозии варзишии даставӣ.
activity;['бадминтон', 'bádminton'];Бадминтон
activity;['голф'];Голф - як намуди варзиш, ки дар ҷои кушода бозӣ карда мешавад.
activity;['теннис'];Теннис - бозии варзишиест, ки иштирокчиёни он дар майдончаи махсус - корт мекӯшанд бо ракетка тӯбчаро аз садди тӯри гузаронида соҳиби холҳои зарури шаванд.
activity;['овоздиҳии умумихалқӣ', 'раъйпурсӣ', 'ҳамапурсӣ', 'плебисит'];Овоздиҳии умумихалқӣ, ҳамапурсӣ, раъйпурсӣ — яке аз падидаҳои муҳими демократияи бевосита ба шумор рафта, оид ба масъалаҳои муҳими ҳаёти ҷамъиятию давлатӣ гузаронида мешавад.
activity;['фотиҳатӯй'];Фотиҳатӯй, ноншиканон - маросими фотиҳа дар хонаи духтардор баргузор мегардад.
activity;['консерт'];Консерт —
activity;['барӯйхатгирии аҳолӣ', 'саршуморӣ'];Шаблон:Underlinked БАРӮЙХАТГИРЍИ АҲОЛӢ,
activity;['оруғ задан'];Оруғ задан иборат аз берун додани гази мавҷуд дар дастгоҳ гуориш аз роҳ даҳон аст.
