abstract-quality;['identitet', 'individualitet', 'personalitet', 'identiteti personal', 'identitetit', 'identitetit personal'];Që mund të ketë fuqi a të veprojë më vonë. i mundshëm.
activity;['kryqëzatë e tretë'];Mënyrë lozonjare e të sjellurit e cila nxit apo tenton të ngjall tërheqje seksuale të dy personave.
activity;['lis pendens', 'pendens lis'];Administrata me e vogël e një krahinë.
activity;['liturgjia', 'liturgji', 'liturgist', 'liturgjike', 'liturgjitë'];Ngrehinë e lehtë, e mbuluar me xham ose me lëndë plastike të tejdukshme, në të cilën rriten në të ngrohtë bimë të ndryshme. perimore e mbuluar.
activity;['liturgjia', 'liturgji', 'liturgist', 'liturgjike', 'liturgjitë'];Tërësia e enëve prej qelqi. enë të ndryshme prej qelqi.
activity;['demob', 'demobbed', 'demobilizuar', 'çmobilizim', 'çmobilizuar'];Një e çarë e vogël(për të futur një monedhë ose për të depozituar letra,vrima e kutisë postare).
activity;['demob', 'demobbed', 'demobilizuar', 'çmobilizim', 'çmobilizuar'];Rruga e kafsheve.
activity;['dhurojë', 'dhuruar', 'donacion'];Nj pergjigje qe vjen si pasoje e një pyetjeje,kritike.
activity;['delegacion', 'delegimin', 'delegimit', 'relegating'];Sukses i dukshëm.
agentive-figure;['partia demokratike-republikane', 'adams-clay republikan', 'demokratike-partia republikane', 'demokratike-republikane'];Kontrolli i një aktiviteti kryhet nga një grup i specializuar.
agentive-figure;['partia demokratike-republikane', 'adams-clay republikan', 'demokratike-partia republikane', 'demokratike-republikane'];Një lidhje ndërmjet organizmave të gjalla ( në veçanti midis njerëzve ).
agentive-figure;['homo sapien cognatus', 'bigfoot', 'sasquatch'];Një interes në tokë e aftë për tu trashëguar.
agentive-figure;['fantazmë', 'bubë', 'flama', 'gogol', 'hije', 'stihji'];Bëhet më pak në sasi dhe intesitet.
agentive-figure;['fantazmë', 'bubë', 'flama', 'gogol', 'hije', 'stihji'];Shlyej ngadalë.
agentive-figure;['fantazmë', 'bubë', 'flama', 'gogol', 'hije', 'stihji'];Të jesh e zënë me organizime të këndshme dëfryese.
agentive-figure;['fantazmë', 'bubë', 'flama', 'gogol', 'hije', 'stihji'];Gjykoj në detaje një subjekt duke e analizuar në mënyrë tillë për të zbuluar elemente të rëndësishme brenda tij.
agentive-figure;['fantazmë', 'bubë', 'flama', 'gogol', 'hije', 'stihji'];Je me inat.
agentive-figure;['fantazmë', 'bubë', 'flama', 'gogol', 'hije', 'stihji'];Bëhem me inat.
agentive-figure;['fantazmë', 'bubë', 'flama', 'gogol', 'hije', 'stihji'];Një pjerrësi ose një kthesë në pozicion vertikal.
agentive-physical-object;['citrus ×aurantium', 'aurantium agrume', 'aurantium citrus', 'bigarade', 'marmelatë portokalli', 'pemë e hidhur portokalli', 'portokalli hidhur', 'seviljes portokalli'];Një emocion i provuar qe vjen nga pjesëmarrja ne një rrezik.
agentive-physical-object;['delphinium', 'zhabinë'];The ratio of the focal length to the diameter of a (camera) lens system.
agentive-physical-object;['kniphofia uvaria', 'bimore poker'];100 vjet.
agentive-physical-object;['paspalum distichum', 'knotgrass'];Cipë ose ind i hollë, që vesh a mbulon një organ të frymorëve, një farë, qelizën etj.. lëkurëz.
agentive-physical-object;['penstemon barbatus', 'arta-mjekër penstemon'];A substancë e lëngshme me një temperaturë presioni.
agentive-physical-object;['hardhucë', 'hardhuci', 'hardhucat', 'lizards'];Që sjell përfundimin a rrjedhimin e dëshiruar, i dobishëm, i vlefshëm.
agentive-physical-object;['hardhucë', 'hardhuci', 'hardhucat', 'lizards'];Një arritje e shquar.
agentive-physical-object;['delonix regia', 'pompoz', 'gulmohar', 'mbretërore poinciana', 'pallua lule', 'poinciana regia', 'pompoz gotike', 'royal poinciana'];Një dokument legal i një shoqerie.
agentive-physical-object;['kohleria'];Janë gjallesa një qelizore.
agentive-physical-object;['liza', 'mugil liza', 'soiuy liza'];Tërësia e njohurive dhe e shprehive që jepen me sistem e sipas një programi në shkolla e kurse të ndryshme për të mësuar.
agentive-physical-object;['liza', 'mugil liza', 'soiuy liza'];Profesioni i të mësuarit ( zakonisht në shkolla , gjimnaze apo universitete).
agentive-physical-object;['liza', 'mugil liza', 'soiuy liza'];Dikush qe edukon njerëz te rinj.
agentive-physical-object;['kogia breviceps', 'balenë xhuxh spermës'];Që përdoret ose që hyn në punë për t'u mbrojtur nga një rrezik, nga një sëmundje etj.. që bëhet ose që përdoret për të mbrojtur dikë a diçka.
agentive-physical-object;['ovis canadensis', 'bighorn dele', 'rocky mountain bighorn', 'rocky mountain dele'];Thurimë e bërë me purteka, me thupra a me driza rreth e përqark një kopshti, një are, një oborri etj.
amount-of-matter;['oksigjenit të lëngshme'];Molekulë. atom ose një pjesë përbërëse e tij. thërrmijë.
amount-of-matter;['teknetiumi', 'teknec', 'tc', 'technetium', 'numri atomik 43'];Rënie në tokë e çdo lloj forme uji ( reshje shiu, dëborë , mjegull.
amount-of-matter;['tantal', 'tantali', 'ta', 'falemnderit', 'numri atomik 73'];Trajnim sistematik i përsëritur shumë herë.
amount-of-matter;['rutherfordiumi', 'raderfordium', 'rutherfordium', 'elementi 104', 'numri atomik 104', 'unnilquadium', 'unq'];Dyqan ku shiten sende të vogla të përdorimit të përditshëm vetjak a sende të vogla zbukurimi prej metali, prej qelqi, prej briri, prej lënde plastike etj. ose çikërrima të tjera.
amount-of-matter;['talium', 'taliumi', 'numri atomik 81', 'tl'];Gjë fort e bukur.
amount-of-matter;['liquid'];Veprimi i ndërtimit të diçkaje (si një pjesë makinerie).
amount-of-matter;['liquid'];Një grup personash te mbledhur sebashku per te njëjtin qellim.
amount-of-matter;['disprosiumi', 'disporz', 'dy', 'dysprosiumi', 'dysprosium', 'numri atomik 66'];Forca e ushtruar mbi njësi të sipërfaqes ajrore. e matur në paskal(njësia matëse).
amount-of-matter;['acid thiocyanic'];Lidhje e pashkëputur.
amount-of-matter;['acid thiocyanic'];Një periudhë kohe e vazhdueshme.
biological-object;['kurrizit sperme'];Të gjitha mjetet e ndryshme kozmetike të cilat përdoren për të bërë grimin.
biological-object;['mëlçia', 'biopsia e melçisë', 'mëlçisë', 'hepatike', 'jobesimtarë'];Aftësi mendore për të arsyetuar e për të gjykuar, forca e arsyes a e gjykimit. shkalla që ka arritur njeriu në zhvillimin mendor.
biological-object;['mëlçia', 'biopsia e melçisë', 'mëlçisë', 'hepatike', 'jobesimtarë'];Aftësia për të kuptuar shpejt.eksperienca të ndihmon t'i kuptosh gjërat.
biological-object;['mëlçia', 'biopsia e melçisë', 'mëlçisë', 'hepatike', 'jobesimtarë'];Një informacion per një event te specifikuar.
biological-object;['mëlçia', 'biopsia e melçisë', 'mëlçisë', 'hepatike', 'jobesimtarë'];Që të tërheq vëmendjen a që meriton vëmendjen, që të ngjall interes. që ia vlen ta dish, që ka rëndësi ose që na duket i tillë. që na pëlqen, tërheqës.
biological-object;['mëlçia', 'biopsia e melçisë', 'mëlçisë', 'hepatike', 'jobesimtarë'];Një grup njerëzish qe kanë te njëjtin fushe aktiviteti.
biological-object;['fletë trekëndësh'];Pajisje prej metali, shpesh e zbukuruar me abazhurë etj., që shërben për të mbajtur llambat e dritës.
