agentive-physical-object;['زرک'];زرک
agentive-physical-object;['خر', 'equus asinus'];اهلی حیوان
agentive-physical-object;['خوځندکې', 'حشره\u200e', 'insecta', 'خزدکې'];کوچنی الوتونکی او غیر الوتونکی حیوانات
event;['quadrati afat'];Qudrati afat
information-realization;['سيند'];د وييونو، اصطلاحگانو او د هغوی د ماناگانو يوه ټولگه
information-realization;['کفري ویناوي'];کفري کړنلاره
language;['دري ژبه', 'دري'];ځکه چه دا ژبه په افغانستان کي ډير کم ويونکي لري. نو ځکه دویمه رسمی ژبه ټاکل شوي.
language;['پښتو ژبه', 'پښتو', 'پښتو\u200e'];وزات مخابرات
language;['نېدرلنډي', 'نېدرلنډي ژبه'];نېدرلنډي چې هالنډي هم نومېږي يوه غربي جرمنيکه ژبه ده
physical-object;['مخابرات'];مخابرات
physical-object;['گرځنده غږلېږدی', 'ګرځنده غږلېږدی', 'ګرځنده ټيلفون\u200e', 'مبايل'];نه غږيدونکى
political-geographic-object;['پاکستان', 'پاکستان\u200e', 'pakistan'];جمهوریت په آسیا کې
political-geographic-object;['افغانستان', 'افغانستان\u200e', 'dê afghānistān islāmī jumhūriyat', 'د افغانستان اسلامی جمهوریت', 'د افغانستان اسلامي جمهوريت'];جمهوریت په جنوبي اسیا کې
political-geographic-object;['لویزیانا', 'louisiana'];ایالت په سویلی متحده ایالاتو کښی
quality;['وازګه'];وزن داسې تعريف کيږي لرلو نور د بدن غوړ څخه دی د امکان روغ
region;['د مراکش درهم'];مراکش یو مسلمان افریقي هېواد دی د مراکش کرنسي ته مراکشي درهم ویل کېږي
situation;['کفري ویناوي'];کفري کړنلاره
socially-constructed-person;['dante gabriel rossetti'];د ويکيمېډيا نامبهم مخ
socially-constructed-person;['والي'];حکومتی چارواکې
taxonomic-collective;['charales'];د ويکيمېډيا وېشنيزه
temporal-region;['6 جنوري'];نېټه
