agentive-figure;['organizacija', 'formiranje', 'osnivanje', 'osnutak', 'uspostava', 'uspostavljanje', 'ustanovljavanje', 'ustanovljenje', 'organizacije'];Društvena skupina uspostavljena radi koordiniranog ostvarivanja zacrtanih namjera, zadataka ili ciljeva
agentive-figure;['država', 'suverena država', 'zemlji', 'nacija', 'narod', 'puk', 'pučanstvo', 'stanovništvo', 'zemlja', 'deklarativnoj teoriji državnosti', 'države', 'nacije', 'nacionalno', 'političko tijelo', 'političkog društva', 'res publica', 'suverenih država'];Ljudi koji čine populaciju neke zemlje ili pripadnike neke nacije
agentive-physical-object;['čovjekoliki majmuni', 'hominoidea', 'hominoidi', 'čovjekoliki majmun', 'opice', 'majmuna', 'majmun', 'hominoids'];Pripadnik natporodice Hominoidea (čovjekoliki majmuni). srednje velike do velike životinje, imaju pokretljiva ramena, sinuse, nemaju rep, dobri su penjači (osim gorila i ljudi). imaju razvijen mozak i kompleksno ponašanje. svejedi su, nastanjuju tropske šume, a rasprostranjeni su u Africi i Aziji (ne uključujući rasprostranjenost ljudi). uključuje gibone, gorile, čimpanze, orangutane i ljude
agentive-physical-object;['plamenjača duhana', 'peronospora tabacina', 'plava plijesan gljivice'];Vrsta peronospore koja napada lišće duhana stvarajući plavo-zeleni pokrov
agentive-physical-object;['kit', 'kitova', 'cetacea', 'kitova sisavac'];Pripadnik reda Cetacea (kitovi). veliki sisavac potpuno prilagođeni životu u vodi, prednji udovi su preobraženi u peraje, a stražnji su reducirani, ima debeli sloj potkožnog masnog tkiva i promijenjen dišni i krvožilni sustav. većina ih živi u moru. hrane se raznoliko (od planktona do tuljana) i rasprostranjeni su kozmopolitski. žive u skupinama od 10- 50 jedinki s razvijenim međuodnosima, i uglavnom imaju po jedno mladunče
amount-of-matter;['punč'];Vruće ili hladno alkoholno piće koje se priprema od ruma, vina, čaja, šećera i limuna ili naranče
amount-of-matter;['kuhano vino', 'gløgg'];Kuhani alkoholni napitak napravljen od vina s dodatkom šećera i raznih začina (poput klinčića, cimeta ili limunovog soka)
biological-object;['ljudska probava', 'probavnog trakta', 'probavni trakt', 'crijeva', 'gi trakta', 'alimentarni trakt', 'gastrointestinalni trakt', 'gi trakt', 'probavni sistem', 'probavni sustav', 'crijevnu sluznicu', 'digestivnom traktu', 'gastro-intestinalni', 'ljudskog probavnog trakta', 'probavni cijev', 'probavni kanal', 'probavnih organa', 'probavnog', 'probavnog sustava', 'probavnom lumen'];Cjevasti sustav mišića i sluznih membrana od usta do anusa koji služi probavi
dependent-place;['procjep', 'provrt', 'pukotina', 'rascjep', 'rupa', 'usjeklina', 'zasjeklina', 'scissure'];Dugačak i uzak otvor
functional-matter;['punč'];Vruće ili hladno alkoholno piće koje se priprema od ruma, vina, čaja, šećera i limuna ili naranče
