activity;['demob', 'demobbed', 'demobilizuar', 'çmobilizim', 'çmobilizuar'];Ai futi letrën tek virma e kutisë postare.
activity;['demob', 'demobbed', 'demobilizuar', 'çmobilizim', 'çmobilizuar'];Ai ndoqi shtegun e drerit per te arritur ne majë.
activity;['dhurojë', 'dhuruar', 'donacion'];Prita disa dite per një pergjigje.
activity;['dhurojë', 'dhuruar', 'donacion'];Ai i shkruajti pergjigje disa prej kritikuesve.
activity;['delegacion', 'delegimin', 'delegimit', 'relegating'];Ajo këngë ishte hiti i tij i parë i cili i dha shtysë fillimit të karrierës së tij si artist.
activity;['delegacion', 'delegimin', 'delegimit', 'relegating'];Ai show ishte një potere e vërtet.
agentive-figure;['partia demokratike-republikane', 'adams-clay republikan', 'demokratike-partia republikane', 'demokratike-republikane'];Ajo ka krijuar marrëdhënie të mira sociale me çdo pjesëtar të stafit kërkimor.
agentive-figure;['fantazmë', 'bubë', 'flama', 'gogol', 'hije', 'stihji'];Analizo motivet e tua reale.
agentive-figure;['fantazmë', 'bubë', 'flama', 'gogol', 'hije', 'stihji'];Muzika dëfreu gjithë të ftuarit.
agentive-figure;['fantazmë', 'bubë', 'flama', 'gogol', 'hije', 'stihji'];Analizo një sonet të Shekspir.
agentive-figure;['fantazmë', 'bubë', 'flama', 'gogol', 'hije', 'stihji'];Lajmi ia shtoj zemëratën.
agentive-figure;['fantazmë', 'bubë', 'flama', 'gogol', 'hije', 'stihji'];Ai inatoset lehtë.
agentive-figure;['fantazmë', 'bubë', 'flama', 'gogol', 'hije', 'stihji'];Parmakët kishin një pjerrësi të madhe.
agentive-figure;['fantazmë', 'bubë', 'flama', 'gogol', 'hije', 'stihji'];Stuhia u qetësua.
agentive-figure;['fantazmë', 'bubë', 'flama', 'gogol', 'hije', 'stihji'];Shiu u pakësua pas katër orësh.
agentive-physical-object;['hardhucë', 'hardhuci', 'hardhucat', 'lizards'];Ai performoi një akt heroik te shkëlqyer.
agentive-physical-object;['hardhucë', 'hardhuci', 'hardhucat', 'lizards'];Libri ishte arritja e saj më e mirë.
agentive-physical-object;['liza', 'mugil liza', 'soiuy liza'];Ai kishte arsimim të plotë dhe për këtë arsye ishte shumë i qartë.
agentive-physical-object;['kogia breviceps', 'balenë xhuxh spermës'];Dylli shërben si mbrojës për lulet.
amount-of-matter;['tantal', 'tantali', 'ta', 'falemnderit', 'numri atomik 73'];Stërvitja të bën perfekt.
amount-of-matter;['talium', 'taliumi', 'numri atomik 81', 'tl'];Kjo shkretëtirë është përrallë e vërtetë.
amount-of-matter;['disprosiumi', 'disporz', 'dy', 'dysprosiumi', 'dysprosium', 'numri atomik 66'];Gaz i kompresuar i cili tendos një shtypje të madhe.
biological-object;['mëlçia', 'biopsia e melçisë', 'mëlçisë', 'hepatike', 'jobesimtarë'];Interesi i hekurt e ndaloi prodhimin.
biological-object;['mëlçia', 'biopsia e melçisë', 'mëlçisë', 'hepatike', 'jobesimtarë'];Ata presin te reja mbi ngjarjet e fundit.
biological-object;['mëlçia', 'biopsia e melçisë', 'mëlçisë', 'hepatike', 'jobesimtarë'];Ata nuk thanë asnjë gjë interesante.
biological-object;['mëlçia', 'biopsia e melçisë', 'mëlçisë', 'hepatike', 'jobesimtarë'];Ngjyrat primare janë interesante në një dhomë.
biological-object;['qelizë e spermës', 'spermatozoan', 'spermatozoid', 'spermatozoidi', 'spermë', 'spermës'];Gjej pak kohë sa të nuhasësh trëndafilat.
biological-object;['qelizë e spermës', 'spermatozoan', 'spermatozoid', 'spermatozoidi', 'spermë', 'spermës'];Nuk pata kohë t'i përfundoja disa gjëra.
biological-object;['qelizë e spermës', 'spermatozoan', 'spermatozoid', 'spermatozoidi', 'spermë', 'spermës'];Ai më mori më shumë se gjysmën e kohës time.
course;['eklips hënor', 'eklipset hënor'];Puna është shpëtimi i llojit njerëzor.
course;['eklips hënor', 'eklipset hënor'];Detyra e një kirurgu është të shpëtimi i jetëve.
functional-matter;['ushqime ushqimi'];Ne u përpoqëm të mbledhim paratë të cilat ai na i kishte borxh.
information-encoding-system;['mënyra e të folurit'];Studentët u shpërblyen për arritjen rezultative të projektit të tyre.
information-encoding-system;['mënyra e të folurit'];Një histori Franceze.
information-encoding-system;['mënyra e të folurit'];Ai dhe disa te dhëna te dobishme per vrasjen e mbrëmshme.
information-encoding-system;['mënyra e të folurit'];Relacion i ndërmarrjes per vitin e shkuar.
information-object;['bashkëtingëllore të lëngët', 'bashkëtingëlloreve të lëngshme'];Ata e kritikuan gjykimin tim kontestues.
information-object;['la', 'lah'];Ka një pyetje ne lidhje me trajnimin.
information-object;['la', 'lah'];Do te behet një kërkim per te gjithë te pranishmit.
information-realization;['tridhjetë e dytë shënim', 'demisemiquaver'];Gjykata ishte në shitje para se të bëhej reformimi i kodit ligjor.
locative-role;['lund'];Është një detaj i bukur.
locative-role;['lund'];Disa nga hollësitë janë të ngjashme.
locative-role;['lund'];Detajet e informacionit.
non-agentive-physical-object;['spot mëlçisë'];Një ftese per drekë.
non-agentive-physical-object;['spot mëlçisë'];Ajo e grisi ftesen e dasmes.
non-agentive-physical-object;['trikotazh'];Ekzistenca mijëvjeçare.
non-physical-collection;['fantazmë', 'fantazmat', 'wraith'];Kandidati shprehu idetë e tij republikane.
non-physical-collection;['fantazmë', 'fantazmat', 'wraith'];Bursa u rrit me 24 pikë sot.
non-physical-collection;['fantazmë', 'fantazmat', 'wraith'];Loja e kumarit është një rrezik shumë i madh.
non-physical-collection;['fantazmë', 'fantazmat', 'wraith'];Të lutem mos e publiko faktin që ai ka AIDS.
phenomenon;['lëngu', 'fazën lëngshme', 'gjendje të lëngët', 'lëngjeve', 'të lëngshme'];Një shprehje e fytyrës e trishtuar.
phenomenon;['lëngu', 'fazën lëngshme', 'gjendje të lëngët', 'lëngjeve', 'të lëngshme'];Një pamje triumfi.
phenomenon;['lëngu', 'fazën lëngshme', 'gjendje të lëngët', 'lëngjeve', 'të lëngshme'];Një fytyrë e inatosur.
phenomenon;['lëngu', 'fazën lëngshme', 'gjendje të lëngët', 'lëngjeve', 'të lëngshme'];Ai studioi çdo aspekt të pyetjes.
phenomenon;['lëngu', 'fazën lëngshme', 'gjendje të lëngët', 'lëngjeve', 'të lëngshme'];Ata bën pyetje te drejta ne mbledhje.
physical-body;['delta ray'];Është një familjar.
physical-body;['delta ray'];Është një njëri i afërt i joni.
physical-object;['shkop kontrollit', 'joysticks', 'levë', 'shkop'];Një lutje per te ndalur luftimin.
physical-object;['shkop kontrollit', 'joysticks', 'levë', 'shkop'];Një apel per ndihme.
physical-object;['shkop kontrollit', 'joysticks', 'levë', 'shkop'];Një apel per njerëzit te ruajnë qetësin.
physical-object;['trikotazh'];Ekzistenca mijëvjeçare.
political-geographic-object;['lund'];Është një detaj i bukur.
political-geographic-object;['lund'];Disa nga hollësitë janë të ngjashme.
political-geographic-object;['lund'];Detajet e informacionit.
political-geographic-object;['luiziana', 'louisiana', 'pelikani shtetit'];Yjet e atletikes kanë bere shumë leke duke nënshkruar kontrata te ndryshme.
political-geographic-object;['luiziana', 'louisiana', 'pelikani shtetit'];Ai pa me vëmendje avokatin e pales kundërshtare.
political-geographic-object;['kuala lumpur'];Djali u ndëshkua për veprimin harbut që kreu përpara të atit.
political-geographic-object;['lubjana', 'lubljana', 'lubjanë', 'ljubljana'];Ajo përdori ngjyra të ndryshme për zbukurime.
quality;['standardi i arit'];Jetesë e rregullt.
quality;['standardi i arit'];Ai shpresonte për një jetë më të mirë në australi.
quality;['standardi i arit'];Bateria ka një jetëgjatësi të vogël.
quality;['standardi i arit'];Ai jetoi një jetë të gjatë dhe të lumtur.
quality;['standardi i arit'];Unë e kisha njohur atë gjatë gjithë jetës së tij.
quality;['jolikuide', 'jolikuidetit'];Bëri një përpjekje për të mbledhur gjithë materialet që i duheshin.
quality;['jolikuide', 'jolikuidetit'];I uroj fat në tentativën e tij të rradhës.
region;['kwanza'];Kur shkuam në plazh morëm dhe tendën.
relation;['kundërti'];Ndihme dhe perkrahje për shtresat e varfera te shoqerise.
situation;['liste', 'listimi'];Ai bëri një shprehje për të tërhequr vëmendjen.
situation;['liste', 'listimi'];Ata bën një lëvizje pa vlerë për pushtet.
situation;['bighead'];Pranohen vetem pjesëtaret e grupit.
situation;['bighead'];Pjesëtar i shkolles.
situation;['goldbricking', 'goofing off', 'shmangien nga', 'slacking'];Një linjë ushtarësh po perparonin drejt nesh.
situation;['goldbricking', 'goofing off', 'shmangien nga', 'slacking'];Ata ishin rreshtuar ne resht per sulm.
socially-constructed-person;['llew llaw gyffes'];Ju e zotëroni shumë mirë gjuhën frënge.
socially-constructed-person;['gotfried leibniz', 'gotfrid lajbnici', 'lajbnici', 'gottfried wilhelm leibnitz', 'gottfried wilhelm leibniz', 'leibnitz', 'leibniz'];Shfaqja e sytheve ishte një shenjë e dukshme e ardhjes së pranverës.
socially-constructed-person;['ministër', 'ministër i qeverisë', 'ministri'];Ata kaluan një verë zvarritëse në breg.
socially-constructed-person;['fanatik', 'fanatizmit'];Një zonjushe e re ne moshë 18.
socially-constructed-person;['zot', 'saklas', 'yaldabaoth'];Pinguinet jetojnë ne krahinën polare.
socially-constructed-person;['joshëse', 'femme fatale', 'femme zgjohu'];Kjo punë do të na kërkoj më shumë se një orë kohë.
socially-constructed-person;['ghostwriter', 'ghostwrite', 'ghostwriting', 'shkrimtar fantazmë'];Ai e ofendoi atë me atë vërejtje të ashpër.
socially-constructed-person;['ghostwriter', 'ghostwrite', 'ghostwriting', 'shkrimtar fantazmë'];Edituesi e përmirësoi dorëshkrimin me ndryshimet e vogla që i bëri.
