activity;['керимсел'];Ысык шамал
activity;['баскынчылык', 'агрессия'];эларалык укук боюнча, БУУ уставына каршы келчү, куралдуу күч колдонуу менен жасалган баардык укук бузуулар
agentive-physical-object;['эшек', 'equus asinus'];Жаныбар болуп эсептелет
agentive-physical-object;['aгa'];курбака
amount-of-matter;['галогендер'];Уяты жок
classification-system;['html', 'hypertext markup language'];Белгилөө тили
geographical-object;['жаңы каледония'];Wikimedia категориясы
phenomenon;['керимсел'];Ысык шамал
political-geographic-object;['чад', 'чад республикасы'];Африкадагы өлкө
political-geographic-object;['кыргызстан', 'kyrgyz respublikasy', 'кыргыз республикасы', 'кыргыз', 'kyrgyzstan respublikasy', 'кыргыз республикасы, kyrgyz respublikasy', 'кр'];Орто-Азиядагы өлкө
simple-collection;['арстан жылдызы', '♌'];түндүк жарым шардагы зодиактык топ жылдыз
situation;['экзема'];өнөкөт, жугуштуу эмес тери оорусу
situation;['сарык'];Сарык
socially-constructed-person;['махатма ганди'];Индиялык саясий жана диний лидери
socially-constructed-person;['мухаммед', 'мухаммед пайгамбар'];Арабтын саясий лидери жана Исламдын негиздөөчүсү
socially-constructed-person;['дааватчы', 'үгүттөөчү'];Элдерге даават кылган адам
taxonomic-collective;['орхидейлер'];гүлдүү өсүмдүктөрдүн бүлөсү
taxonomic-collective;['гелициддер', 'helicidae'];Үлүлдөрдүн бир тукуму
taxonomic-collective;['charales'];Wikimedia категориясы
theory;['атайын салыштырмалуулук теориясы'];Ар кандай физикалык процесстердин мейкиндик-убакыт касиеттеринин физикалык теориясы.
