activity;['warrana adunya 1'];Waraana Addunyaa 1ffaa akkasumas Great War fi Waraana waraana hunda dhaabuu (The War To End All Wars) kan jedhamu waraana biyyoota addunyaa baay'ee jidduutti godhame yoo ta'u, kan itti geggeeffames Awurooppaa keessatti bara 1914-1918tti.
activity;['bashannana'];Bashannanni hojii yeroo boqonnaa ofii hojjatani.
activity;['x-rays'];X-rays yokan Rontgen rays kan jedhamu kuni gossa Electromagnetic radiation yoo ta'u, Wavelengthiin issa 10-0.01 Nanometers fi Frequency issa immo 30 hanga 30,000 PHz ta'a.
activity;['aartii'];Aartiin hojii ilmaan namaa ballaa fi bu'aa hojiiwwan kanaa kan qabatudha, yeroo hedduu dandeetii yaaduu ykn ogumma harkaa qabata.
activity;['u.s. civil war'];American Civil War (1861–1865) kuni warrana gudda Yunaayitid Isteetsi jiddutti godhame yoo ta'u, kunis kan ta'e immo * "Union" fi * Yunaayitid Isteetsi Kibbaa kudhan-tokko kan kopha ta'u mirgaa akka qaban kan iffaa godhaani maqqa Confederate States of America jedhamun kan ofii wammani, kan President Jefferson Davis kan geggefamanin jiddutti warrani geggefame.
agentive-figure;['dragon'];Dragon iin bineensa lubbu qabu kan yaddan ni jirra jedhame yadattamu, akkasumas gudda fi serpent jabba yokan reptile "magic" yokan "spirit" qabbu jedhame yaddatama.
agentive-figure;['nasa'];NASA (National Aeronautics and Space Administratrion) kuni agentii United States Federal Government yoo ta'u, dirqamma wa'e space ummatta USA qaba.
agentive-figure;['islaamaa', 'islaama'];Islaamaa amantii Waaqa tokko jedhurratti hundaa'e fi amantii Abraamii yoo ta'u Quraanaa, kan amantoota Islaamaatiin jecha Waaqaa qabate jedhamee amanamuu, fi barsiisaa fi jireenya fakkeenyaa kan Mahaammadii irratti hundaa'a. Mahaammad raajii dhumaati jedhamee amanama.
agentive-physical-object;['binensotta', 'animalia', 'bineensotaa'];Binensotti qoqqodama organizimotta kessaattii guggudo kan ta'aan kessa tokko yoo ta'uu, kan qoqqodamus akkaa kingdom Animalia yokan Metazoa ta'eet.
agentive-physical-object;['kompitara'];Kompitarri meeshaa hunda galeessa kan saganteeffamee (programmed) hojiiwwan qooyyabaa fi yaayaa ofumasaa hojjachu danda'u dha.
agentive-physical-object;['harre diidoo', 'zebra'];Harre diidoon gossa Farda yoo ta'u, warra Equidae jedhamanii jalatti qodama.
agentive-physical-object;['hosiftotta', 'hoosiftoota', 'mammalia', 'mammals'];Hosiftotta (mammals) (class Mammalia) kan jedhamani dhigaa-ho'a kan qaban, binensotta spinal-qabatotta ta'an fi kan itti bekamaan immo dubrii isaani anaan mammary gland kessatti burqisisuu fi akkasumas rifensaa, lafee gurra jiddu kan dhaga'uf tajajilamaan fi samuu isaani kessatti kutta neocortex jedhamu qabu.
agentive-physical-object;['qeerransa', 'panthera tigris'];Gosoota Qeerransaa
agentive-physical-object;['whale shark'];whale shark, kan gossa Rhincodon typus ta'e, gossa shark yoo filter feeding nyattu kan dafe nyachu hin dandenne fi gossa qurxumi yerro dheraaf jirrachu danda'u dha.
amount-of-matter;['buna', 'qishira'];Bunni biqiltuu naanno oo'aatti biqilu yoo ta'u akka nama jajjabeessuuf dhugama.
amount-of-matter;['bishaan', 'h₂o'];Bishaan keemikaala beekkamaa ta'e kan lubbu qabeeyyii gosa hundaaf barbaachisaa ta'e dha.
amount-of-matter;['ozone'];Ozone (O3) kan jedhamu molekula atomi-sadii qabu, kan atomotta oxygenaa sadii ofii kessa qabu dha.
amount-of-matter;['mitteenii'];Mitteeniin kampaawondii keemikaalaa yoo ta'u foormulaan keemikaalaa isaa CH4 (atamii kaarbonii tokkoo fi atamii hayidiroojinii afur).
amount-of-matter;['globulins', 'giloobiyuliin'];Giloobiyuliin kan jedhamu kun gosa pirootiinii serum keessatti argaman lamaan keessaa tokko dha, kan biraa immo albiyumiinii dha.
amount-of-matter;['fibrinogen', 'faayibrinoojiin'];Faayibiriinin gosa pirootiinii yoo ta'u dalagaan isaas itituu dhiigaa (walitti qabama dhigaa kan yerro bayyee yoo namii dhiga'u ta'u - blood clot) keessatti dha.
amount-of-matter;['carbon dioxide', "kaarbon daayi'oksaayidii", 'co2'];Kaarbon daayi'oksaayidiin kuniin kompaawondii keemikaalaa kan atamii kaarben tokko fi ooksijiinii (oxygen) lama of keessa qaba.
amount-of-matter;['oxygen', 'ooksijiinii', 'o'];Saayinsii keessatti, ooksijiiniin elementiikeemikaala yoo ta'u mallattoo kemikala O qaba. lakkoofsi atamii ooksijiinii 8.
amount-of-matter;['dna'];Deoxyribonucleic Acid yokan DNA kan jedhamu kunii gossa Nucleic Acid yoo ta'u genetic instruction guddina fi jirenya waantotta lubbu qabanifi fayyadu ofi kessa qaba.
amount-of-matter;['human serum albumin', 'albiyumiin'];Albumin (Afaan Latin albus irra kan dhufee yoo ta'u hikaanis adii jechuu dha) kunii immo gossa protein hunda kan makamu (solubility) bishaan kessa gudda, fesashi sodaa bayye qabu kessatti kan hanga ta'en makamu danda'u fi kan coagulation (protein denaturation) ho'a qabu.
amount-of-matter;['faayibriin', 'fibrin'];Faayibriiniin gosa pirootiinii yoo ta'u dalagaan isaas itituu dhiigaa (blood clot), walitti qabama dhiigaa kan yeroo baayyee yoo namnii dhiigu ummamu, kessatti dha.
amount-of-matter;['carbohydrate'];Carbohydrates yokan saccharides (Afaan Greek σάκχαρον kun jechuni immo "sugar") molecules salpha yoo ta'an fakkin issani straight-chain aldehydes yokan ketones yoo ta'an hydroxyl bayye offitti darame qaba.
amount-of-matter;['pirootiinii'];Pirootiinii kompaawondii orgaanikii guddaa yoo ta'an of keessatti immo aminoo asidii qabu, aminoo asidoonni immo akka cancalaa kan walitti qabatanii yoo ta'an, kan isaan walitti qabuus peptide bondii jiddu carboxyl fi amino group (kan dhihoo xaxama aminoo asidii keessa tokkotti argamaniin) walitti qabama.
amount-of-matter;['lipid', 'lippiid'];Lipidonni kuniin amphiphilic kan ta'anii fi organic compoundii hydrocarbon ofii kessa qabanii dha.are an amphiphilic class of hydrocarbon-containing organic compounds.
amount-of-matter;['aminoo asidii', 'amino acid'];chemistry kessatti, amino acidiin molekulii amine fi carboxyl functional group kan ofii kessa qaba.
biological-object;['tiruu', 'tirru'];Tiruun qaama lubbu qabeeyyii lafee dugdaa qabanii fi bineensota biraa tokko tokko keessatti argamu.
biological-object;['gill'];Gilliin qamaa nafa binensota bishaan-kessa bayee kessatti argamu dha.
biological-object;['kalee', 'kallee'];Barnoota qorannoo qaama (anatomy) keessatti, urinary system kan jedhamu kaleen xurii dhiigaa keessa jiru (kan akka yuuriyaa) baase, bishaan wajjin, akka fincaanitti baasa.
biological-object;['connective tissue'];Connective tissue kan jedhamu kunii gossa qoqqodama tissue afuurenni kessa tokko dha, kan hafaan sadeen immo epithelial, muscle, fi nervous tissue.
biological-object;['cartilage'];Cartilageiin gossa connective tissue walitti qabame dha.
chemical-object;['globulins', 'giloobiyuliin'];Giloobiyuliin kan jedhamu kun gosa pirootiinii serum keessatti argaman lamaan keessaa tokko dha, kan biraa immo albiyumiinii dha.
chemical-object;['fibrinogen', 'faayibrinoojiin'];Faayibiriinin gosa pirootiinii yoo ta'u dalagaan isaas itituu dhiigaa (walitti qabama dhigaa kan yerro bayyee yoo namii dhiga'u ta'u - blood clot) keessatti dha.
chemical-object;['human serum albumin', 'albiyumiin'];Albumin (Afaan Latin albus irra kan dhufee yoo ta'u hikaanis adii jechuu dha) kunii immo gossa protein hunda kan makamu (solubility) bishaan kessa gudda, fesashi sodaa bayye qabu kessatti kan hanga ta'en makamu danda'u fi kan coagulation (protein denaturation) ho'a qabu.
chemical-object;['faayibriin', 'fibrin'];Faayibriiniin gosa pirootiinii yoo ta'u dalagaan isaas itituu dhiigaa (blood clot), walitti qabama dhiigaa kan yeroo baayyee yoo namnii dhiigu ummamu, kessatti dha.
chemical-object;['pirootiinii'];Pirootiinii kompaawondii orgaanikii guddaa yoo ta'an of keessatti immo aminoo asidii qabu, aminoo asidoonni immo akka cancalaa kan walitti qabatanii yoo ta'an, kan isaan walitti qabuus peptide bondii jiddu carboxyl fi amino group (kan dhihoo xaxama aminoo asidii keessa tokkotti argamaniin) walitti qabama.
classification-system;['dhaha'];Dhahaan sirna ittiin guyyoota fedhii hawaasummaa, amantii, daldalaa ykn bulchiinsatiif akka mijatuuf qindeessani.
