abstract-quality;['kişilik', 'kişiliği'];Kişilik, yetenek ve özellikleriyle toplumsal yaşamda etkili olan insanı, kendine özgü ve benzersiz bir varlık olarak dile getiren kavram.
abstract-quality;['kişisel kimlik', 'personal identity', 'bireysellik'];Kişisel kimlik, herhangi bir bireyin hangi koşullar ve durumlar dahilinde bir ‘kişi’ sayılabileceğini, 'kişi kimliğine' sahip olabileceğini konu alan felsefî meseledir.
abstract-region;['tensör', 'tensör analizi'];Matematikte, tensör, çok boyutlu verinin simgelenebildiği geometrik bir nesnedir.
abstract-region;['geometrik seri', 'geometrik dizi'];Matematikte geometrik seri art arda gelen iki terimi arasında sabit bir oran bulunan seridir.
abstract-region;['polinom', 'çokterimli', 'değişkenli polinom', 'multinomial', 'polinom fonksiyonu', 'polinom ifadesi'];Matematikte, bir polinom belirli sayıda bağımsız değişken ve sabit sayıdan oluşan bir ifadedir.
abstract-region;['limit', 'birikim noktası', 'noktası sınırlamak'];Limit kelime Latince Limes ya da Limites 'den gelmekte olup sınır, uç nokta anlamdadır.
abstract-region;['skins'];Skins, amerikan rapçi XXXTentacion'un üçüncü stüdyo albümü.
abstract-region;['skaler', 'sayısal'];Fizikte, bir skaler, vektörden farklı olarak, koordinat sisteminin döndürülmesi veya değiştirilmesi, herhangi bir Lorentz dönüşümü ya da uzay-zaman dönüşümü sonucunda değişmeyen basit bir fiziksel niceliktir.
abstract-region;['rassal değişken', 'rastgele değişken', 'rastsal değişken', 'değişken', 'rasgele değişken', 'stokastik değişken', 'şans değişkeni'];Rassal değişken kavramının geliştirilmesi ile, sezgi yoluyla anlaşılan şans kavramı, soyutlaştırarak teorik matematik analiz alanına sokulmuş ve bu geliştirilen matematik kavram ile olasılık kuramı ve matematiksel istatistiğin temeli kurulmuştur.
abstract-region;['çapraz çarpım', 'vektör çapraz ürün', 'vektör ürün', 'çapraz ürün', 'ürünün çapraz'];Matematikte çapraz çarpım veya yöney çarpımı üç boyutlu uzayda iki yöney ile yapılan bir işlemdir.
