activity;['e-mail', 'e-post', 'elektronische post', '📧', 'e-briaf', 'elektrobriaf', 'email'];Service im Internetz
activity;['fasching', 'fosching und fosanocht', 'fosanacht', 'fosanocht', 'fosching', 'fosenocht', 'fåsching'];Zeit vum Oschamigga
activity;['fuim'];Bewegte Buidln
activity;['bö'];Heftige Luftbewegung vo kuaza Daua
activity;['photographie', 'fotografie'];olle Sachan, wo unbewegte Buidln rauskema
activity;['handweak'];Oabatn, wo a Produkt af Nochfrog individuej heagstejd oda a Deanst peasenli ausgfiahd wead
activity;['sezessionsgriag', 'amerikanischa biagakriag', 'amerikanischa biagagriag', 'amerikanischer bürgerkrieg', 'sezessionskriag'];Biagakriag in Amerika
agentive-figure;['stoot', 'lånd', 'staat', 'stååd', 'stååt'];bolitische Oadnung, de wo a gmoasoms ois Stootsgebiad ogrenzts Territorium, a dazuaghearigs Stootsvoik und a Mochtausibung iwa des umfosst
agentive-figure;['dridds reich', 'drittes reich', 'deitsches reich 1933–1945'];Deitschland vo 1933 bis 1945 während da Zeid vo da nationalsozialistischn Heaschoft
agentive-physical-object;['analogcomputer', 'analogrächner'];Computer, wo Berechnige uf dr Grundlag vo mechanische oder elektrische Vorgäng bzw. Abbildige mache, wo gliichartig wirke zu de Problem wo s z löse git
agentive-physical-object;['computer', 'rechna', 'rächner', 'kompiuta', 'kompjuta', 'kompjuuta', 'pc'];Apparat, wo Date mithilf vo programmierbare Algorithme cha verarbeite
agentive-physical-object;['hanf ois rauschmiddl'];Vawendung vo Produckt d weiblichn Hanfpflanzn ois Rauschmiddl
agentive-physical-object;['darth vader', 'anakin skywalker'];Figua im Star Wars Universum
agentive-physical-object;['knofe', 'allium sativum', 'knoblauch', 'knofl'];Art von an Lauch
amount-of-matter;['kupfa', 'cu'];chemischs Element mid dem Symboi Cu und d Oadnungszoi 29
amount-of-matter;['chrom', 'cr'];chemischs Element mid dem Symboi Cr und d Oadnungszoi 24
amount-of-matter;['iridium'];chemischs Element d iwagangsmetalle mid d Oadnungszoi 77
amount-of-matter;['vanadium'];Chemischs Element mid dem Symbol V und d Oadnungszoi 23
amount-of-matter;['goid', 'goed', 'gold', 'golt'];Edlmetall, chemischs Element mid dem Symboi AU und d Oadnungszoi 79
amount-of-matter;['calcium', 'ca', 'kalzium'];Chemischs Element mid dem Somboi Ca und d Oadnungszoi 20
amount-of-matter;['schwefl'];chemischs Element mid dem Symboi S und d Oadnungszoi 16
amount-of-matter;['metoi', 'metall', 'metalle'];chemischs Element
amount-of-matter;['edlgase'];Gruppm im Periodnsysdem dea Elemente, de insgesamt 7 Elemente umfosst
amount-of-matter;['buddä milsch', 'buttr'];Nahrungsmittel
ecological-collective;['woid', 'wäida', 'busch', 'wald'];Familiennåmen
event;['knell'];Schreibnam
