activity;['bataja dë hastings'];Ra bataja dë Hastings a r'é staita combattùa dër 1066 a anviron 13 kilométer dal pais dë Hastings, antra r'armà d' Aròld II, re d'Anghilterra, e Ghijèlm, duca ëd Normàndia për ër còntrol dër tròno anglèis.
agentive-physical-object;['sciurus carolinensis'];La vinvèra ciamà edcò schërieul gris nordamerican, da confonde nènt con ël schërieul comun, ò russ a l'é un mamìfer dla famija dij roditor, dël genèr Sciuris == Spantié == Soà rèis a l'é la banda atlantica dl'America settentrionala, anviron dal Neuv Brunswick an Canadà a la Florida e 'l Texas.
agentive-physical-object;['melia', 'zea mays'];La melia o meria è a l'è na pianta erbacea anual dla famija dle Poaceae, tribù dle Maydeae.
language;['lenga sukur'];Lenga Sukur
language;['lenga somrai'];Lenga Somrai
language;['c'];C a l'é ën lengage ëd programassion inventà për programé ël sistema operativ UNIX. A l'è ën lengage imperativ.
language;['lenga osetin-a', 'lenga osetin'];Lenga Osetin
language;['lenga tera'];Lenga Tera
language;['lenga antich slav ëd gesia'];Lenga antich slav ëd Gesia
language;['lenga polonèisa', 'polonèis', 'lenga polaca'];Lenga polaca
language;['lenga ceca'];Lenga ceca
language;['lenga slovaca'];Lenga slovaca
language;['lenga russa', 'russi'];Lenga russa
physical-object;['sàber'];Ël sàber a l'é n'arma bianca con la lama gàucia a un sol fil dovrà dai repart ëd cavalerìa.
physical-object;['motòrin'];Ël Motòrin a l'é un veìcol a doi roe e për dovrelo a venta pijesse la patent AM ch'as peul pijesse nen prima dj quatordes agn.
political-geographic-object;['dipartiment fransèis'];Ij dipartiment a son division aministrative dla Fransa e ëd vàire colònie fransèise, un pòch com le contee anglèise.
socially-constructed-person;['lyndon b. johnson'];]]
socially-constructed-person;['bëcché'];Ël bëcché a l'é tradissionalment na përson-a ancaricà ëd l'abatiment dj'animaj për la preparassion ëd la carn e dij sò derivà, e a la fin, për la vèndita.
socially-constructed-person;['fré'];Ël fré a l'é na përson-a ch'a crea dj'oget ëd fer e d'assel, dovrand principalment dj'utiss për martlé, gaucé, tajé o comsëssìa anformé ël metal quand ch'as treuva pa ant un ëstat lìquid.
socially-constructed-person;['isaac newton'];Commons
taxonomic-collective;['cantharellus'];=== Cantharellus ===
temporal-region;['magg'];﻿
temporal-region;['avril'];﻿
