activity;['നിയമ വ്യവഹാരം', 'കേസ്'];കോടതിയാൽ തീർപ്പ് കല്പിക്കുന്ന രണ്ട് കക്ഷികൾ തമ്മിലുള്ള തർക്കം
activity;['വൃത്തം', 'meter', 'കവിതകളും അവയുടെ വൃത്തങ്ങളും'];പദ്യം നിർമ്മിക്കുന്ന തോതാണ്
activity;['റമ്മി', 'rummy'];രണ്ടോ അതിലധികമോ ആളുകൾക്ക് കളിക്കാവുന്ന ഒരു ചീട്ടുകളിയാണ് റമ്മി
activity;['yandravalkrika'];Mechanization
activity;['ലൈംഗികബന്ധം', 'sex', 'sexual intercourse', 'ലൈംഗിക ബന്ധം', 'ലൈംഗികം', 'ലൈംഗികത', 'ലൈംഗികവേഴ്ച', 'ലൈംഗീകത', 'സംഭോഗം', 'സുരതം', 'സെക്സ്'];പ്രത്യുദ്പാദനരീതികളും ആസ്വാദനവുമായി ബന്ധപ്പെട്ട ജൈവിക ചോദന
activity;['നിയമ വ്യവഹാരം', 'കേസ്'];കോടതിയാൽ തീർപ്പ് കല്പിക്കുന്ന രണ്ട് കക്ഷികൾ തമ്മിലുള്ള തർക്കം
activity;['ആർത്തവചക്രവും സുരക്ഷിതകാലവും', 'സുരക്ഷിതകാലം', 'calendar-based contraceptive methods'];അണ്ഡവിസർ‌ജനം നടക്കാൻ സാധ്യതയുള്ള ഈ ദിനങ്ങളെ ഒഴിവാക്കിയാൽ മറ്റു ദിവസങ്ങളെ താരതമ്യേന സുരക്ഷിത കാലമെന്ന് (Safe period) പറയാം.
activity;['ഉന്നത വിദ്യാഭ്യാസം', 'കോളേജ് വിദ്യാഭ്യാസം', 'സർവ്വകലാശാലാ വിദ്യാഭ്യാസം'];കോളേജുകളിലും സർവ്വകലാശാലകളിലും പോലെയുള്ള പരിശീലന സ്ഥാപനം
activity;['എനിമ', 'enema'];മലദ്വാരത്തിലൂടെ വെള്ളം കയറ്റി വയറുശുദ്ധമാക്കുന്നതിനുള്ള പ്രക്രിയ
activity;['ഹിസ്ട്രക്ടമി ശസ്ത്രക്രിയ', 'ഹിസ്ട്രക്ടമി'];ഗർഭപാത്രം പൂർണ്ണമായോ, ഭാഗികമായോ നീക്കം ചെയ്യുന്ന ശസ്ത്രക്രിയയാണ് ഹിസ്ട്രക്ടമി
activity;['അക്രെഡിറ്റേഷൻ', 'accreditation'];വിക്കിപീഡിയ വിവക്ഷ താൾ
activity;['ancient olympic'];Ancient olympic events
agentive-figure;['ചിമേരസ്', 'എലി മത്സ്യം', 'മുയൽ മത്സ്യം'];തരുണാസ്ഥി മത്സ്യം
agentive-figure;['കു ക്ലക്സ് ക്ലാൻ', 'ku klux klan'];അമേരിക്കൻ ഐക്യനാടുകളിൽ രൂപം കൊണ്ട പ്രൊട്ടസ്റ്റന്റ് ക്രിസ്ത്യൻ സംഘടന
agentive-figure;['യൂറോപ്യൻ യൂണിയൻ', '🇪🇺', 'european union', 'യുറോപ്യൻ യൂണിയൻ', 'യൂറോപ്യൻ യൂനിയൻ'];യൂറോപ്യൻ വൻ‌കരയിലെ 27 രാജ്യങ്ങൾ ചേർന്നുള്ള സംഘരാഷ്ട്രം
agentive-figure;['ഐക്യരാഷ്ട്രസഭ', 'un', 'united nations', 'ഐക്യ രാഷ്ട്ര സംഘടന', 'ഐക്യരാഷ്ട്ര സംഘടന', 'ഐക്യരാഷ്ട്ര സഭ', 'ഐക്യരാ\u200dഷ്ട്രസംഘടന', 'യു. എൻ.', 'യു. എൻ. പൊതുസഭ', 'യു.എൻ', 'യു.എൻ.'];ലോകരാഷ്ട്രങ്ങളുടെ സഖ്യം
agentive-figure;['യതി', 'yeti'];നേപ്പാൾ, ടിബറ്റ് എന്നിവിടങ്ങളിലെ ഉണ്ടെന്ന് വിശ്വസിക്കുന്ന ഹിമകുരങ്ങ് പോലുള്ള ജീവി
agentive-figure;['ഇസ്\u200cലാം', 'ഇസ്ലാം', 'islam', 'islamism', 'അൽ-ഇസ്\u200cലാം', 'ഇസ്ലാം മതം', 'ഇസ്ലാംമതം', 'ഇസ്ളാം', 'ഇസ്\u200cലാം മതം', 'ഇസ്\u200c\u200c\u200cലാം', 'ഇസ്\u200c\u200c\u200c\u200cലാം', 'ഇസ്\u200c\u200c\u200c\u200c\u200cലാം', 'ഇസ്\u200c\u200c\u200c\u200c\u200c\u200c\u200c\u200cലാം', 'ഇ\u200cസ്\u200cലാം', 'ഇ\u200c\u200cസ്ലാം', 'ഇ\u200c\u200c\u200cസ്ലാം', 'ഇ\u200c\u200c\u200c\u200cസ്ലാം', 'ഇ\u200c\u200c\u200c\u200c\u200cസ്ലാം', 'മഇ്ഷറ', 'മഇ്സറ', '\u200c\u200cഇസ്ലാം', '\u200c\u200c\u200c\u200c\u200c\u200c\u200c\u200c\u200c\u200cഇസ്ലാം'];ഏകദൈവവിശ്വാസത്തിലധിഷ്ഠിതമായ ഒരു മതമാണ്‌.
agentive-figure;['ഷിയാ ഇസ്\u200cലാം', 'ഷിയാ ഇസ്ലാം', 'shia muslim'];ഇസ്ലാം മതത്തിലെ ഒരു വിഭാഗമാണ്‌ ഷിയാ മുസ്ലീം സമൂഹം.
agentive-figure;['ഹിന്ദുമതം', 'ഹിന്ദു ധർമ്മം', 'ഹൈന്ദവത', 'hinduism', 'സനാതനധർമ്മം', 'ഹിന്ദു മതം', 'ഹിന്ദുയിസം', 'ഹൈന്ദവ വിഭാഗങ്ങൾ', 'ഹൈന്ദവം', '\u200c\u200c\u200c\u200cഹിന്ദു ധർമ്മം'];ഇന്ത്യയിൽ ഉണ്ടായ ഒരു മതവിശ്വാസം
agentive-physical-object;['ജെറ്റ് എൻ\u200cജിൻ', 'jet engine', 'ജെറ്റ് എഞ്ചിൻ'];ഉയർന്ന വേഗത്തിൽ വാതകങ്ങൾ പുറന്തള്ളി തള്ളൽ ബലം ഉണ്ടാക്കുന്ന യന്ത്രം
agentive-physical-object;['കമ്പ്യൂട്ടർ', 'computer', 'കംപ്യുട്ടർ', 'കംപ്യൂട്ടർ', 'ഗണികാരം', 'സംഗണകം'];ഒരു ഇലക്ട്രോണിക്ക് ഉപഗരണം
agentive-physical-object;['ചെറുനാരകം', 'ചെറുനാരങ്ങ', 'നാരകം', 'lime', 'ചെറു നാരങ്ങ', 'നാരങ്ങ'];ഒരു മഞ്ഞ സിട്രസ് ഫലം
agentive-physical-object;['ചെണ്ടുമല്ലി', 'ആഫ്രിക്കൻ ചെണ്ടുമല്ലി', 'ആഫ്രിക്കൻ മാരിഗോൾഡ്', 'tagetes erecta', 'ബന്തി', 'ബന്ദി', 'മല്ലിക', 'മല്ലികപ്പൂവ്'];ധാരാളം ശാഖകളോടുകൂടി വളരുന്ന ഒരു ചെണ്ടുമല്ലിയിനമാണ് ആഫ്രിക്കൻ മാരിഗോൾഡ്
agentive-physical-object;['വൃക്ഷം', 'മരം', 'tree'];ബഹുവർഷിയായ മരം
agentive-physical-object;['കണ്ടൽക്കാട്', 'mangrove', 'കണ്ടൽ', 'കണ്ടൽ കാടുകൾ', 'കണ്ടൽ ചെടി', 'കണ്ടൽ വനം', 'കണ്ടൽകാടുകൾ', 'കണ്ടൽകാട്', 'കണ്ടൽക്കാടുകൾ', 'കണ്ടൽവനം'];അഴിമുഖങ്ങളിലും ചതുപ്പുകളിലും കായലോരങ്ങളിലും വളരുന്ന വൃക്ഷങ്ങളും കുറ്റിച്ചെടികളും
agentive-physical-object;['വെള്ളാന', 'വെള്ളയാന'];വെളുത്ത നിറമുള്ള ആന
agentive-physical-object;['ഈസ്റ്റർ ലില്ലി', 'hippeastrum'];ഒരിനം സപുഷ്പി സസ്യം
agentive-physical-object;['പെട്രോൾ എഞ്ചിൻ'];ഗാസലീൻ അഥവാ പെട്രോൾ ഉപയോഗിച്ച് പ്രവർത്തിക്കാൻ രൂപകല്പന ചെയ്തിരിക്കുന്ന ആന്തരിക ജ്വലന യന്ത്രം
agentive-physical-object;['മനുഷ്യൻ', 'ഹോമോ', 'homo sapiens', 'homo', 'human', 'humans', 'മനുഷ്യർ', 'മാനവ വംശം'];ഹോമോ എന്ന ജെനുസിൽ ഇന്ന് ജീവിച്ചിരിക്കുന്ന ഏക ജീവിയാണ് മനുഷ്യൻ
agentive-physical-object;['ആട്', 'capra aegagrus hircus', 'goat', 'അജം', 'ആടുവളർത്തൽ'];പാലിനായി വളർത്തുന്ന സസ്തനി
